1570934400,0,23,2,"C8,C4,C5,C2;S4,S8,S3,S2;S6,S5,S7,S9;SK,DK,S10,SJ;C9,C10,C7,C3;CK,C6,DQ,CJ;D10,D6,DA,SQ;D8,D5,D7,SA;D4,HA,CQ,D2;HJ,HK,DJ,CA;H5,H3,HQ,H4;H9,H10,H7,D3;H8,H6,H2,D9"
1570934400,0,4,2,"C8,C4,C3,C2;S9,S6,S2,S7;S5,S3,S8,S10;C6,CA,C9,C5;SK,DA,SJ,S4;D2,D3,D5,D4;D10,D7,DK,SQ;D6,CK,DQ,SA;HJ,CJ,CQ,D8;H8,HA,C10,D9;H7,HK,C7,DJ;H5,H9,H2,H3;HQ,H4,H6,H10"
1570934400,0,0,2,"C6,C3,C7,C2;S6,S3,S7,S2;S9,S10,S8,SJ;C9,C5,DA,C4;C8,D10,CJ,C10;DK,CQ,D7,CK;D5,D8,D2,D3;S5,DJ,DQ,SQ;D6,D9,HA,CA;D4,H3,H2,H4;SA,H5,H7,H6;HJ,SK,H8,H9;S4,HK,H10,HQ"
1570934400,0,6,2,"C3,C4,C6,C2;S6,S3,S5,S4;S8,S7,S9,S10;S2,DA,SA,SJ;C9,C5,C8,C7;SK,D7,DK,SQ;CQ,DQ,C10,CK;CJ,D9,DJ,CA;D3,D5,D2,D4;H2,H5,H7,H8;HJ,D10,H6,H9;D8,H4,H10,HQ;D6,H3,HA,HK"
1570934400,0,0,2,"C6,C5,C4,C2;S6,S3,S4,S5;S2,S9,S10,SJ;C8,C3,C9,C7;DK,SA,S8,SQ;CK,C10,DQ,CJ;D6,D10,DA,S7;D3,D4,D9,SK;CQ,HA,D8,CA;D2,HQ,HK,D5;H8,HJ,H9,D7;H7,H4,H5,DJ;H6,H2,H3,H10"
1570934400,0,13,2,"C3,CQ,C5,C2;S5,S2,S3,S4;S9,S6,S8,SJ;SA,S10,S7,SK;C9,DA,C6,C4;D10,DQ,D9,SQ;D7,C8,C7,C10;D5,CJ,CA,CK;DK,D3,D6,D2;H6,H8,H3,H2;H9,HK,D4,D8;H7,HJ,HA,DJ;H5,H4,H10,HQ"
1570934400,0,0,2,"C3,C7,C5,C2;S8,S2,S3,S4;S5,S6,S10,SK;S7,D10,DK,SA;CJ,C6,C8,C9;D9,DQ,DA,S9;D8,D7,DJ,SJ;D4,D6,D3,SQ;CK,D2,CA,D5;HQ,H8,H2,H3;CQ,HA,H7,C4;H4,H6,HK,H9;H10,HJ,H5,C10"
1570934400,0,13,2,"C3,C9,C4,C2;C8,CJ,C5,C10;S4,DQ,S5,S2;S3,S7,DJ,S6;D10,SQ,S9,S8;CQ,CK,CA,C6;D4,D6,D3,D2;SJ,D7,DK,S10;D5,C7,DA,SK;H9,HA,D9,SA;H7,H8,HQ,D8;H5,H6,H10,HJ;H2,H4,H3,HK"
1570934400,0,4,2,"C4,C10,C3,C2;S8,S2,S5,SJ;CQ,C9,C8,CJ;S9,S3,DQ,S4;SA,D10,S7,S10;D7,DA,C5,C6;D6,D9,DJ,DK;H2,H8,H6,H3;SK,HA,D5,S6;HK,HQ,D8,SQ;H9,HJ,D4,C7;H7,H10,D3,CK;H5,H4,D2,CA"
1570934400,0,3,2,"C8,DK,C6,C2;S5,S4,S10,S6;S7,S8,S3,SJ;DA,S9,S2,SK;C10,D9,C7,C3;D5,D3,D7,D2;D4,SA,C9,C4;C5,HJ,SQ,CJ;CK,H10,HA,CA;D8,H9,HK,D6;H6,HQ,DQ,CQ;H4,H2,DJ,H3;H8,D10,H7,H5"
1570934400,0,0,2,"C3,C5,C4,C2;S9,S6,S5,S2;S7,S8,S10,SJ;DK,SK,S4,SQ;C10,C7,C8,CJ;D10,D4,D6,D2;SA,DJ,DA,S3;CK,D7,C9,C6;D5,HJ,DQ,D8;D9,D3,H10,CQ;H9,HQ,H6,CA;H8,H7,H3,HK;H4,H5,H2,HA"
1570934400,0,3,2,"C7,C3,C5,C2;S6,S2,S10,SJ;DJ,S3,SK,SA;C4,CQ,C6,C8;S7,D7,D9,S4;D2,D6,S5,S8;CJ,D4,SQ,S9;DA,C10,CA,CK;D8,D5,C9,D3;D10,HA,HK,DQ;H3,H4,H5,H6;H2,H7,H9,H8;HJ,DK,HQ,H10"
