1571925604,0,18,3,"C3,C4,C8,C2;S2,S7,S6,S8;SJ,S10,SQ,SA;C7,C5,C10,C9;H8,HA,S4,S5;H7,H6,S9,SK;D2,D7,D4,D3;CK,HK,CJ,C6;HQ,H4,H3,S3;D8,D6,D9,D5;HJ,D10,DA,DJ;DK,H5,H10,CQ;DQ,H2,H9,CA"
1571925604,0,3,3,"C6,C8,C3,C2;S3,S4,SQ,S5;S10,SJ,SK,SA;H10,C7,C5,C9;H7,HA,CQ,CK;D3,D4,HJ,D2;S2,HK,S6,S7;H6,D6,D7,D5;H9,S8,HQ,S9;D8,CA,D10,D9;DQ,DJ,CJ,DK;H5,H8,C10,DA;H3,H2,C4,H4"
1571925604,0,3,3,"C3,CA,C8,C2;S8,S3,S2,S4;S10,SQ,S9,SJ;SK,H10,HQ,SA;HA,CJ,C7,C4;C10,C6,HJ,CQ;C9,C5,H6,CK;D2,D4,D10,D3;H7,H8,HK,S5;H5,H4,H9,S6;H3,DA,DJ,S7;D6,DQ,D9,DK;D5,D7,D8,H2"
1571925604,0,3,3,"C5,C3,C6,C2;S5,S2,S7,S3;S10,S9,S4,SJ;HA,C4,C8,C7;CK,HQ,C10,C9;D3,D4,D10,D5;H10,H9,SQ,CJ;H5,H4,HJ,CQ;H3,DQ,H8,CA;DK,DJ,D7,DA;D9,SK,H7,H2;HK,D8,S8,SA;H6,D6,S6,D2"
1571925604,0,0,3,"C3,C5,C6,C2;S7,S2,HK,S3;S9,HJ,S10,SJ;S8,H10,S4,SQ;S6,H9,H6,SK;S5,H4,H2,SA;C4,C7,C8,C9;HQ,CJ,CK,C10;D7,D3,D6,D4;H8,CA,DA,CQ;D8,D9,D2,D10;DQ,DJ,H7,DK;D5,HA,H5,H3"
1571925604,0,3,3,"C3,C4,C7,C2;S2,S8,S3,S4;S6,S7,SJ,S9;C10,C5,SQ,C6;S5,S10,HA,SK;CJ,H8,C8,CQ;D10,D3,D4,D2;H5,HQ,HJ,SA;H4,CA,H10,C9;D8,HK,D5,D6;H9,DQ,D7,D9;DA,DJ,H7,DK;H3,CK,H2,H6"
1571925604,0,4,3,"C9,C5,C3,C2;S3,SQ,SK,S4;SJ,S10,HQ,SA;C10,CQ,C6,C4;H9,H6,S5,S2;S7,H7,H3,S8;DJ,D7,D8,D9;H5,DQ,HA,S6;D10,D5,H10,S9;CJ,C8,H8,CK;D6,D4,H2,H4;CA,D3,DA,HJ;C7,D2,DK,HK"
1571925604,0,3,3,"C4,C3,CJ,C2;S6,S4,SQ,S5;SK,S10,SJ,SA;CK,C5,C6,C7;S9,S3,HQ,S7;D9,D3,D4,D2;HJ,S8,HA,S2;H10,C10,CQ,CA;D5,DK,D6,D7;H6,HK,DQ,C8;H4,H7,DJ,C9;H3,H5,D10,H8;DA,H2,D8,H9"
1571925604,0,0,3,"C6,C7,C3,C2;S5,S6,S2,S7;S4,S3,S9,S10;C5,C4,C9,C8;HA,SJ,SK,S8;H9,HQ,SQ,SA;CJ,HJ,C10,CQ;DJ,D6,D5,D7;H6,H5,HK,CK;DA,H3,H10,CA;DK,DQ,H8,H2;H7,D3,D8,D9;H4,D2,D4,D10"
1571925604,0,14,3,"C6,C3,C4,C2;S5,S4,S3,S2;S7,S6,SQ,S8;C5,C7,C9,C10;H3,CQ,CK,CA;D7,DK,D2,D3;C8,HK,DQ,CJ;H2,H4,DJ,H5;H6,H7,D10,H8;D9,H9,D8,H10;D4,DA,SK,HJ;SA,D6,SJ,HQ;S10,D5,S9,HA"
1571925604,0,0,3,"C7,C8,CK,C2;S10,S3,S5,S2;SJ,S7,SQ,SK;CQ,C9,HK,C3;SA,S6,H9,S4;H10,CJ,HQ,CA;D5,D6,D3,D2;H8,HA,H7,C4;H4,HJ,DQ,C5;H2,H6,D8,C6;DA,DJ,D7,C10;DK,D9,S9,H3;D10,D4,S8,H5"
