1571926150,0,12,3,"CK,C10,CA,C2;S7,S4,S3,S2;SK,S5,S8,S9;C8,C7,C5,C9;C6,CQ,C3,CJ;SQ,HQ,S10,S6;D8,D9,D7,D10;D6,D3,D5,DJ;DA,D2,D4,DQ;H3,H9,H2,H4;HA,H7,H10,SJ;HJ,H6,DK,SA;H8,H5,C4,HK"
1571926150,0,13,3,"CK,CA,CQ,C2;S6,S3,S10,S4;S9,SJ,S2,SQ;C6,C4,C7,C3;HJ,S7,S8,SK;H8,S5,H9,SA;C5,C10,H7,CJ;D3,D4,D5,D2;DA,DJ,D6,D7;H6,DK,H3,H10;H5,D8,H2,HQ;H4,C9,D10,HK;DQ,C8,D9,HA"
1571926150,0,4,3,"C3,CK,CQ,C2;S4,S3,S6,S2;S8,S7,SJ,S9;S10,S5,SK,SQ;C4,HA,C10,C5;HJ,HQ,HK,SA;D4,D10,D2,D3;H5,H8,C7,C6;C9,H3,H6,C8;H2,DQ,H9,CJ;DK,D9,H7,CA;DJ,D8,D7,DA;D6,D5,H4,H10"
1571926150,0,0,3,"CA,CQ,C9,C2;S6,S8,S5,S9;S4,S10,S3,SJ;SK,SQ,H8,SA;C8,C4,C3,C5;D4,D2,D3,D5;D9,D8,D6,D7;H5,H10,HA,S2;DK,H7,HQ,S7;C10,C7,HJ,C6;H6,H2,HK,CJ;H3,DA,H9,CK;D10,DJ,H4,DQ"
1571926150,0,2,3,"CK,CA,CJ,C2;S2,S7,S8,S9;SK,S6,SQ,SA;C4,C5,C3,C6;HQ,C10,HJ,CQ;D3,DJ,D7,D2;S4,HA,H10,S3;H3,H9,HK,S5;D10,H7,H8,S10;D9,H5,H6,SJ;D8,DQ,C9,DK;D6,D4,C8,DA;D5,H4,C7,H2"
1571926150,0,20,3,"CA,C5,CJ,C2;S4,S3,S7,S2;H6,S6,S9,S8;HK,DQ,S10,SJ;H10,D9,S5,SQ;H9,D7,SK,SA;C4,C3,HA,C6;C7,C9,HQ,C8;H7,HJ,C10,CQ;H2,H8,H3,CK;D3,D10,D8,D2;DA,D5,DK,H4;DJ,D4,D6,H5"
1571926150,0,8,3,"CA,C10,CK,C2;S5,S7,S3,S8;S4,S9,S2,S10;SQ,S6,SK,SA;C8,CJ,C5,CQ;D8,D4,D5,D6;C9,C4,HK,C3;D3,DJ,DA,D2;HA,H8,HQ,C6;HJ,D10,H7,C7;H2,D9,H3,H4;H10,D7,H5,H6;SJ,DK,H9,DQ"
1571926150,0,0,3,"C4,CK,CQ,C2;S3,S5,S7,S8;S10,S4,SJ,SQ;C10,C5,SK,C3;SA,S6,HQ,S2;HK,C7,H10,C6;H7,CJ,H4,C8;H3,C9,DA,CA;DK,H2,DJ,H5;D10,H6,D7,H8;D9,DQ,D6,H9;D8,D4,D3,HJ;D5,D2,S9,HA"
1571926150,0,9,3,"CK,CA,DA,C2;S4,S9,S3,S2;SJ,S5,SQ,SK;S10,HJ,S8,SA;C5,C4,HQ,C3;C10,H6,C7,C6;DK,C8,C9,CJ;D2,D6,D3,D4;D10,DJ,D7,D8;D9,HA,HK,DQ;D5,H4,H5,H2;H10,S7,H9,CQ;H3,S6,H7,H8"
1571926150,0,20,3,"CK,C10,CA,C2;S4,S7,S2,S3;S5,S9,S6,S8;C5,C4,C7,C6;HQ,S10,SQ,SK;H4,HK,SJ,SA;D4,D2,D7,D3;HJ,C8,C3,C9;H10,CJ,H9,CQ;D6,D5,DQ,D8;H6,H8,H3,H2;DK,H7,DJ,D9;H5,HA,D10,DA"
1571926150,0,0,3,"CQ,CJ,CK,C2;S3,S4,S2,S5;HA,S9,S7,S6;SJ,SQ,H10,SK;C4,C10,C8,C3;H3,HQ,S8,S10;H2,H7,H8,SA;D5,D6,D3,D4;C7,HK,C9,C5;C6,H6,HJ,CA;DJ,D7,D9,D10;D2,D8,DK,DA;H4,H9,DQ,H5"
1571926150,0,4,3,"CA,C3,C9,C2;HK,S5,S8,S2;S7,HJ,S6,S9;S4,H9,S10,SJ;C4,H7,C5,C6;CJ,H5,C8,C10;H4,SQ,H8,S3;H6,SA,H2,SK;DK,C7,CK,CQ;D5,D3,D4,D6;D9,D7,DQ,D8;DA,HQ,D10,H3;D2,H10,DJ,HA"
