1571928415,0,0,3,"C3,C6,C5,C2;D8,D2,D3,DJ;D9,DA,D5,D6;D10,D4,SQ,DK;S8,S3,SK,DQ;S10,S4,S2,D7;C4,S5,C10,CK;CA,H4,S6,C9;H5,S7,C7,CQ;H6,S9,C8,CJ;H7,H2,HQ,HK;H8,H3,HA,HJ;H10,H9,SJ,SA"
1571928415,0,4,3,"C3,C7,C4,C2;SK,D2,DA,D10;D3,S2,D4,DK;D6,S4,D5,DQ;D7,S5,D8,DJ;C9,C8,C5,CQ;C10,CK,C6,CJ;CA,S6,S3,S10;H4,SQ,SA,S8;S7,H6,SJ,D9;H5,H7,H2,S9;H8,H10,HJ,HQ;H9,HK,HA,H3"
1571928415,0,0,3,"C9,C5,C6,C2;D4,D2,D8,DK;D6,SA,D9,DQ;D10,S4,DA,DJ;CJ,CA,CK,C4;C7,C3,SQ,CQ;S6,SJ,SK,S7;S2,S9,S8,D7;S3,S10,H6,D5;S5,C8,H7,D3;H2,H4,H8,HJ;H3,HQ,HK,H9;H5,HA,C10,H10"
1571928415,0,13,3,"CK,C4,C3,C2;DK,D2,D9,DA;S2,D3,SQ,DQ;S4,D4,S3,D10;S5,DJ,S6,D8;C7,SK,C10,CQ;CJ,SA,CA,C6;H3,H7,H10,HQ;H6,HA,S7,HJ;S10,H2,C5,C9;D5,H4,S9,C8;D6,H5,SJ,S8;HK,D7,H9,H8"
1571928415,0,0,3,"C6,C3,C4,C2;DA,D3,D2,D8;DJ,D4,D6,DK;DQ,D5,S2,D10;SQ,C9,CK,CQ;SA,S6,S5,SK;S9,CA,S3,C10;S4,C5,S10,CJ;S8,C7,D7,SJ;H3,C8,D9,S7;H9,H6,H2,HK;H10,H8,H4,HQ;HA,HJ,H5,H7"
1571928415,0,8,3,"CQ,C3,C6,C2;D3,D8,D2,DJ;DK,DQ,D4,D5;D10,DA,SQ,D7;SK,C5,C7,CA;S3,CJ,CK,C9;S2,S6,D6,D9;C4,S7,SA,C10;S5,S9,S4,SJ;C8,H4,S8,S10;H6,H9,H5,HK;H8,HA,HQ,H3;H10,H2,H7,HJ"
1571928415,0,0,3,"C5,C4,CJ,C2;D6,D2,D3,D9;D10,D4,D5,D7;C10,C9,CA,CQ;S4,S5,SQ,SA;S6,S10,S2,SJ;C3,SK,S3,S9;D8,S7,C6,DA;DK,S8,C7,DJ;H2,C8,H3,DQ;H5,H7,H8,CK;HK,HA,HJ,H6;H10,H4,H9,HQ"
1571928415,0,15,3,"C3,C9,C7,C2;D3,D2,D5,DA;D10,DQ,DK,D4;S5,SK,D8,DJ;S8,SA,D9,D7;C4,CJ,CA,C8;C5,C6,S10,CK;S2,SQ,H2,CQ;S3,S6,H4,C10;SJ,S9,H6,S7;H3,H9,H7,HA;H5,HK,HQ,H10;S4,H8,D6,HJ"
1571928415,0,13,3,"S6,C4,C5,C2;C3,SK,C7,CK;C6,S7,CJ,CQ;SQ,S9,CA,C10;SA,D9,D3,DA;S2,DQ,D4,DJ;S10,S3,C8,SJ;D5,S8,C9,S4;H3,H2,DK,D8;D2,H7,H4,D10;S5,H9,H6,HA;D6,HQ,HK,H8;H5,D7,HJ,H10"
1571928415,0,8,3,"C3,CJ,C7,C2;D2,D5,DQ,D6;D4,D3,D8,DJ;SA,DA,DK,D7;D9,SK,S3,D10;C4,C6,CQ,CA;C5,C8,S4,C10;S7,S5,S6,SQ;C9,S8,S9,S10;H9,SJ,H4,S2;H7,H3,HJ,CK;HQ,H8,HA,H5;H2,H10,H6,HK"
1571928415,0,4,3,"C4,C6,C3,C2;DA,D4,S4,D9;D5,S9,D2,DK;D7,C5,D3,DQ;D8,C9,D6,DJ;SQ,CA,SK,D10;CJ,H2,C7,CK;SA,H4,S5,CQ;S7,H5,S6,C10;S8,H6,H7,C8;SJ,HJ,H9,S3;HQ,H10,S2,S10;HK,HA,H3,H8"
