1571988698,0,16,3,"C7,CK,C10,C2;DA,D8,DQ,D2;D6,D9,DK,D5;SK,S10,S9,S6;CA,HA,CQ,C6;HQ,CJ,C5,C4;H10,S8,S7,S4;S3,SA,H8,S5;H7,SQ,S2,SJ;H9,H2,H5,H3;D10,DJ,HK,D4;HJ,D7,C9,C3;H6,H4,D3,C8"
1571988698,0,3,3,"CA,C8,C9,C2;S10,SA,SK,SJ;D5,DA,DQ,D3;S9,S7,S8,SQ;C7,HK,CQ,CJ;DK,D9,D10,D4;C6,HQ,C10,CK;D6,D7,D2,D8;H10,H7,HJ,DJ;H4,H2,C5,H3;H5,C3,HA,C4;S6,S5,H9,S4;S2,H8,H6,S3"
1571988698,0,3,3,"CQ,CJ,CA,C2;CK,C10,C4,C6;D10,DA,DK,D3;DJ,D8,D7,D5;C7,C3,SA,C5;SK,SJ,S7,S6;DQ,H9,SQ,D6;H2,HA,D2,D4;C9,HK,HJ,D9;C8,H3,H5,H4;HQ,S4,S9,S5;S10,H7,S3,H8;S8,H6,S2,H10"
1571988698,0,7,3,"CJ,CK,CA,C2;SK,D10,DA,D2;DK,HA,D6,D4;S10,S6,SJ,S2;DQ,H10,D5,D3;S8,SQ,S4,S9;HJ,CQ,C10,C6;S7,HK,H9,SA;C5,C9,H8,C8;H4,H7,C4,C3;HQ,H2,H5,S5;H3,DJ,D9,S3;C7,D7,D8,H6"
1571988698,0,0,3,"CA,CQ,CK,C2;DA,D4,DK,D6;SQ,DQ,DJ,D3;D8,D10,SA,D2;C9,C3,C7,C5;SK,C4,CJ,C6;H10,H5,HJ,C8;H9,H4,H3,C10;H7,D7,D5,D9;H6,H2,S9,H8;SJ,S7,S8,HQ;S10,S5,S6,HK;S2,S3,S4,HA"
1571988698,0,4,3,"CA,CJ,CQ,C2;D8,DA,DK,D4;DQ,D9,D6,D5;SK,S9,S10,S5;D2,D10,DJ,D3;SJ,S6,S8,S4;C10,C9,SA,C3;C8,HK,CK,C6;HQ,SQ,HJ,D7;H5,H9,H7,H2;H8,HA,C7,C5;H10,S7,H4,S3;H3,H6,C4,S2"
1571988698,0,0,3,"CA,C10,CK,C2;C6,C7,CQ,C5;D10,DA,DK,D5;D8,DQ,D9,D3;CJ,C4,SK,C3;S10,SJ,SA,S3;S8,HK,S5,S6;HQ,HA,S9,S7;SQ,HJ,H10,S4;H2,H6,DJ,H3;C9,H8,D2,D6;C8,H5,H9,D4;S2,H4,H7,D7"
1571988698,0,0,3,"CK,CQ,C10,C2;DJ,DA,D8,D6;D4,DK,HA,D3;HK,SK,D2,D5;S10,S5,SA,S8;SJ,S9,S3,S6;C6,C8,CA,C9;HQ,S2,H9,S4;H10,HJ,H6,S7;DQ,H7,H2,SQ;D10,C3,C7,CJ;D9,H3,C5,H4;D7,H5,C4,H8"
1571988698,0,0,3,"C9,CA,C8,C2;SK,S10,SA,S5;DJ,D10,D3,D5;S3,S9,HA,S7;HQ,SJ,HK,S6;C6,CJ,C4,C7;HJ,H4,H10,S4;H9,H3,H7,S2;DA,D9,H2,S8;DK,D8,D7,SQ;DQ,CK,D6,H5;D4,CQ,D2,H6;C3,C10,C5,H8"
1571988698,0,0,3,"CK,CJ,CA,C2;SA,CQ,C10,C5;DK,DQ,DJ,D4;D9,D7,DA,D6;C8,C7,HA,C4;D8,D2,D10,D5;C6,SQ,HQ,C3;HK,H9,SK,D3;S5,S9,SJ,S4;S10,S3,S6,S2;H3,H2,C9,H4;H8,H6,S8,H7;H5,S7,H10,HJ"
1571988698,0,18,3,"CQ,CA,CJ,C2;D9,DA,DK,D4;D10,DQ,SA,D6;C10,HA,C8,C6;HK,C7,CK,C5;SK,S6,SJ,S5;HJ,C4,C9,C3;S10,H7,S3,S4;H6,SQ,S9,S7;H9,HQ,DJ,D3;D8,H2,H10,D5;S8,H4,D7,H3;D2,H8,S2,H5"
1571988698,0,0,3,"C10,CQ,CA,C2;DK,DA,D9,D2;SK,SJ,SA,S9;DJ,D7,HQ,D6;S6,S8,S10,SQ;C4,CK,CJ,C8;C5,C9,HA,C6;H7,H4,H3,H2;C7,DQ,HK,D5;H10,H8,S7,C3;H9,D4,S5,D8;H6,D3,S4,D10;H5,S3,S2,HJ"
1571988698,0,5,3,"CQ,C10,CK,C2;DK,DA,DQ,D6;DJ,D10,D5,D2;D9,SA,HJ,D4;HQ,S10,SK,S6;D8,H10,H9,D3;H8,S8,S5,S7;C9,SQ,CA,C6;C8,C5,HA,C4;S3,SJ,H2,S4;CJ,S2,H6,S9;C7,H4,H5,H3;HK,C3,H7,D7"
1571988698,0,0,3,"CK,SK,CQ,C2;DQ,DA,D8,D3;SJ,S10,S8,S7;DK,D9,D10,D6;HK,CJ,CA,C6;DJ,D7,SQ,D5;H10,C8,C9,C4;C10,H7,C7,C5;H4,SA,H9,C3;S4,S9,S6,S5;H5,H3,D4,H2;HA,S2,HQ,S3;H6,D2,HJ,H8"
