1571988932,0,5,2,"CK,CA,CJ,C2;DA,DJ,DQ,D4;D5,D10,D3,D6;SJ,S9,SA,S6;D9,HK,DK,D2;CQ,SK,C7,C5;H10,C4,C10,C6;S7,S10,S5,S8;S2,SQ,S3,S4;C8,H7,HQ,C9;H2,H4,H5,H3;H6,HA,D8,H8;D7,HJ,H9,C3"
1571988932,0,13,2,"CJ,CK,CA,C2;SK,S9,SJ,S6;DA,DJ,DQ,D4;D10,SQ,D9,D6;SA,D7,DK,D3;D2,HJ,HA,D5;C8,CQ,C9,C3;S10,S8,S2,S4;S3,HQ,H10,S5;H6,H8,H7,S7;H5,C6,C10,C7;H9,H3,C5,H2;D8,C4,H4,HK"
1571988932,0,0,2,"C5,CA,CQ,C2;DK,D8,DA,D3;DJ,DQ,D7,D5;D6,SK,D10,D2;C10,CK,C4,C3;HA,D9,SA,D4;S3,SJ,S8,S6;S5,S10,H8,S7;H7,S9,S4,S2;HQ,CJ,C9,C7;H6,HK,H10,SQ;H5,H4,H3,H2;C8,H9,HJ,C6"
1571988932,0,0,2,"C10,CK,CA,C2;D10,DK,DA,D2;DJ,D5,DQ,D6;D7,D9,HA,D4;H10,C8,CJ,C6;SA,H6,D8,D3;C7,CQ,H4,C4;S8,S10,SK,SJ;C9,H2,SQ,C5;S6,H3,H8,H5;HK,S5,HJ,C3;H9,S4,S9,S3;HQ,H7,S2,S7"
1571988932,0,9,2,"C8,CK,CQ,C2;DK,DJ,D10,D2;D9,D5,DA,D6;C10,CA,C7,C3;D3,DQ,D8,D4;S9,SJ,SA,S4;S7,S5,S8,S3;SK,CJ,C9,C6;SQ,S6,S10,S2;C5,HJ,HA,C4;H10,HK,H9,D7;H2,H3,H6,H4;HQ,H8,H5,H7"
1571988932,0,10,2,"CJ,C10,CA,C2;D9,DQ,DK,D6;DA,D4,D8,D5;CK,C9,C6,C3;D7,D10,DJ,D3;SK,S10,S9,S5;S4,S7,SA,S2;S8,H10,S6,S3;H9,HA,SJ,SQ;C8,C5,C7,CQ;H4,H8,H6,H7;H5,HQ,H3,C4;H2,HJ,D2,HK"
1571988932,0,23,2,"CK,C10,CA,C2;DA,D8,D9,D5;CJ,C3,C6,C5;D6,DQ,DK,D3;C9,SA,HJ,C4;HK,DJ,SQ,D2;HA,SK,HQ,D4;S10,SJ,S9,S6;S8,S7,S2,S3;S4,H7,H6,S5;H8,H3,H4,H5;H2,C8,H10,D7;CQ,C7,H9,D10"
1571988932,0,17,2,"CK,CA,C10,C2;DK,D8,D9,D5;D6,D4,DA,D3;D10,HA,SQ,D2;S9,SK,S8,S4;CQ,C8,C7,C6;SA,C5,CJ,C3;HK,H7,H9,C4;H10,SJ,S6,S7;S5,HQ,H3,S10;H8,H2,DQ,H4;HJ,DJ,H6,S3;C9,D7,H5,S2"
1571988932,0,0,2,"C10,CK,CA,C2;DJ,D9,DK,D6;DA,SA,D8,D4;HJ,D5,DQ,D2;SQ,H6,H10,D3;S6,S10,S8,S9;C6,CJ,C9,C5;S3,S7,S5,SJ;HA,S4,S2,SK;HQ,H2,H8,D7;H9,CQ,H7,D10;H5,C7,H4,H3;C3,C4,HK,C8"
1571988932,0,13,2,"CA,C10,CQ,C2;DQ,DA,DK,D4;S10,SK,S7,S5;C8,C9,CK,C6;HK,D10,DJ,D6;S6,S9,SQ,S3;D9,D8,H7,D5;HA,S4,HQ,S8;HJ,S2,H9,SJ;H8,H4,H5,SA;D7,CJ,H2,H3;D3,C7,C4,H6;D2,C5,C3,H10"
1571988932,0,0,2,"C4,CA,C10,C2;C9,CQ,C3,C6;DK,DA,D9,D2;S10,S7,S4,S5;HQ,DQ,D10,D6;D8,D5,HJ,D3;S9,S6,S3,SJ;S8,S2,HA,SK;SQ,H9,H10,SA;C8,C5,H6,CJ;C7,H8,H5,CK;D4,H7,DJ,D7;HK,H3,H2,H4"
1571988932,0,4,2,"C10,CK,CA,C2;D10,DA,DK,D6;S9,S5,SK,S4;DJ,D3,DQ,D5;S8,SA,HA,S3;H7,S2,S7,S10;H4,HQ,S6,SJ;D2,H10,H3,SQ;CQ,H6,D8,H2;C9,HK,CJ,C8;H9,C6,HJ,C5;H8,C7,D9,D4;C4,H5,C3,D7"
