1571989055,0,0,3,"SA,CK,CA,C2;CQ,HK,C8,C6;H10,C3,C10,C4;CJ,H9,HA,C5;SJ,S7,SK,S6;SQ,S8,DK,S4;H6,DQ,C7,C9;D5,DJ,DA,D8;HQ,S5,D10,S9;HJ,S3,D9,S10;H3,D4,D7,H2;D3,D6,H5,H7;S2,D2,H4,H8"
1571989055,0,8,3,"CK,CJ,CA,C2;D5,DQ,D10,D4;S7,S9,SJ,S5;CQ,C10,C9,C6;SQ,S3,S6,S8;DA,HQ,DJ,D6;H5,D9,D7,D3;HK,H8,S4,S10;HJ,H6,S2,SK;H10,H3,H2,SA;D2,DK,C7,D8;C5,HA,H9,C3;H4,H7,C8,C4"
1571989055,0,0,3,"CA,CQ,C5,C2;DQ,DK,D10,D4;D7,DA,D9,D5;SA,D2,D6,D3;CK,C10,C3,C6;SK,HA,CJ,C4;S4,SJ,S10,S9;S8,SQ,S2,S5;C8,HK,H9,C7;HJ,H7,H10,D8;H4,H6,H8,DJ;S7,H5,H3,H2;C9,HQ,S3,S6"
1571989055,0,5,3,"CQ,C9,C8,C2;D8,D9,DK,D5;DA,HA,D7,D6;HK,D4,D10,D2;SK,SJ,SA,S9;HJ,DQ,H9,D3;C6,C5,CA,C3;S7,S8,S6,S10;C10,C4,SQ,C7;S2,S4,H8,S5;H7,HQ,H5,DJ;H3,H10,CK,H2;CJ,H4,H6,S3"
1571989055,0,0,3,"CA,CQ,CJ,C2;DA,D3,DK,D6;SQ,DQ,D2,D5;C9,C6,C7,C4;H7,C5,CK,C3;SA,S9,SJ,S6;S7,S8,S10,S5;SK,H6,HQ,C8;HA,H3,HJ,C10;H8,DJ,H9,D9;H5,D10,H2,D4;S3,D8,H4,H10;S2,D7,S4,HK"
1571989055,0,20,3,"CQ,CJ,CA,C2;DJ,D4,DA,D5;S4,SJ,SK,S6;DK,D9,D8,D3;S2,S10,S7,S9;SQ,DQ,HA,D6;HK,S8,S5,SA;C10,CK,C7,C8;HJ,D10,HQ,D2;C5,C6,H9,C9;H3,H10,H5,H4;H8,H7,C4,C3;D7,S3,H6,H2"
1571989055,0,26,3,"C10,CJ,CA,C2;D4,DA,DK,D2;C7,C8,CK,C5;D10,D6,DQ,D3;SA,S9,SK,S5;S7,S8,SJ,S6;S10,S2,S4,S3;SQ,C6,H8,C9;HQ,C4,H6,CQ;H5,H4,H3,H7;H9,H10,H2,HJ;D9,D5,DJ,HK;D7,C3,D8,HA"
1571989055,0,8,3,"CK,C9,CA,C2;DQ,SA,SQ,D6;SK,HQ,DA,D5;D10,HA,HJ,D2;HK,H10,DK,D4;S8,SJ,S10,S6;C3,CJ,C8,C6;H3,S9,S5,S2;S4,H8,D7,S7;H9,H6,C7,C10;H5,DJ,C5,CQ;H2,D9,D3,H4;S3,D8,C4,H7"
1571989055,0,11,3,"CJ,CK,CA,C2;DA,DQ,DK,D6;D10,DJ,D5,D3;D4,D8,D9,D2;S7,SJ,SK,S10;C10,CQ,C3,C4;HA,SQ,C8,C6;HQ,S9,S6,SA;H5,H6,H3,H2;S4,HK,D7,S5;S3,HJ,C9,S8;H4,H7,C7,H8;S2,H9,C5,H10"
1571989055,0,1,3,"C8,CA,CQ,C2;DQ,DK,DA,D5;D9,D10,DJ,D3;HA,D2,D8,D6;CK,H10,C10,C6;H7,SK,D7,D4;SA,H6,C5,C3;CJ,HQ,H5,C4;S10,S8,SJ,SQ;H9,H3,HJ,C7;H4,H2,S6,C9;S9,S4,S5,H8;S7,S3,S2,HK"
1571989055,0,6,3,"CA,CJ,CK,C2;DQ,DK,DA,D6;D10,D3,DJ,D5;S8,SJ,SK,S6;SA,S7,S5,S2;S4,H10,SQ,S3;C9,C6,CQ,C8;HQ,HA,D9,D4;D2,H9,HJ,D7;C7,H8,H6,D8;C5,H2,H5,H3;HK,C4,H4,S9;H7,C3,C10,S10"
