1571989762,0,6,1,"C10,CA,C8,C2;SA,S6,SJ,S2;S5,S10,H10,S3;H9,SK,S4,S7;CK,HA,CQ,C4;S9,H7,HQ,SQ;HK,CJ,C5,C3;HJ,C6,D9,C7;H8,H4,D8,C9;DQ,DA,D7,D3;D6,D10,D4,D5;H3,DK,D2,H2;DJ,S8,H6,H5"
1571989762,0,1,1,"CK,CA,C3,C2;SA,S10,SK,S6;S4,S2,SJ,S5;S9,S3,HQ,S7;SQ,H8,HA,S8;C9,C8,H10,C10;C7,HK,H9,CJ;C6,H4,H6,CQ;D7,DQ,DA,D9;DK,D6,DJ,D2;H5,H2,D10,H3;D5,D8,HJ,C4;D3,D4,H7,C5"
1571989762,0,0,1,"CJ,CK,CA,C2;SK,SA,S3,S2;HK,S8,SJ,S6;HA,H5,S7,S4;S10,H10,H3,SQ;CQ,C5,C6,C8;H8,DA,HQ,S5;H7,DK,HJ,S9;C4,C3,C10,C7;H9,H6,DJ,C9;D10,DQ,D7,D4;D5,D6,D9,D2;D8,D3,H2,H4"
1571989762,0,17,1,"CQ,CK,CA,C2;SJ,SA,S10,S2;S7,S8,S9,S3;SK,SQ,S4,S6;H10,HQ,HK,S5;C10,C9,C5,CJ;DA,D8,DK,D2;C8,H9,HA,C4;H7,H6,C7,C3;HJ,D10,H5,C6;H8,D7,DJ,D4;DQ,H4,D5,D6;H3,D3,D9,H2"
1571989762,0,6,1,"CJ,CA,CQ,C2;SK,S10,SJ,S4;S9,S7,SA,S8;HQ,HA,S5,S6;C10,C3,C8,C5;HJ,C6,CK,C7;H7,H9,C4,C9;DQ,D9,DA,D4;H10,H6,H8,S2;H2,H3,H5,S3;DK,D10,H4,SQ;DJ,D7,D5,D2;D6,D3,HK,D8"
1571989762,0,0,1,"C8,CK,CA,C2;S7,S10,SK,S2;SA,S6,S9,S4;HJ,S8,SJ,SQ;CQ,C5,C9,C4;HA,C3,CJ,C7;H9,HK,HQ,C6;H8,H2,H10,C10;D9,DA,DQ,D5;H6,H5,H7,S3;D10,H4,D8,S5;D4,D7,D6,DJ;D3,H3,D2,DK"
1571989762,0,4,1,"CA,SA,CK,C2;S9,SK,S4,S8;H9,S10,S6,S2;HK,CJ,CQ,C5;C8,H10,C4,C3;H7,SQ,C10,C7;HA,H4,H6,C6;HQ,DQ,H2,C9;D9,DJ,DK,D2;H8,HJ,S5,S7;H5,H3,S3,SJ;DA,D7,D10,D3;D4,D6,D8,D5"
1571989762,0,19,1,"C10,CQ,CA,C2;SJ,S7,SK,S9;SA,S8,S6,S3;S5,S4,SQ,S10;CK,CJ,C9,C3;C8,C7,C6,C5;DK,DA,D10,D3;HA,HK,H8,C4;D9,D4,D6,D7;HQ,D2,DQ,D5;D8,H7,H4,DJ;H10,H5,H3,H6;H2,S2,H9,HJ"
1571989762,0,3,1,"C9,CK,C10,C2;SA,S10,SJ,S8;S9,S7,SK,S3;C8,CA,C3,C6;S6,HK,HQ,S2;H7,H10,S4,S5;H3,H5,HJ,SQ;D9,DA,DK,D10;C7,HA,CQ,C5;D8,C4,H9,CJ;D7,DQ,DJ,D5;H8,D6,D4,D2;D3,H6,H4,H2"
1571989762,0,16,1,"CQ,CK,CJ,C2;S10,SA,SK,S4;SJ,S9,S3,S5;SQ,S2,S6,S7;C8,CA,C9,C3;C7,C10,HA,C4;HK,C5,H5,C6;DK,D9,DQ,D2;D4,DJ,DA,D5;D6,H9,D10,D8;HJ,HQ,H7,S8;H4,H10,H6,D3;H3,H8,H2,D7"
1571989762,0,19,1,"CA,CK,C10,C2;SJ,SK,S10,S4;S5,SA,S9,S2;S7,S3,HK,S8;CQ,C4,C9,C5;HA,HQ,H9,S6;H8,H10,DQ,SQ;H7,C7,C8,CJ;DA,DK,D10,D4;DJ,D6,HJ,D5;C6,H6,H5,C3;H4,D8,D9,D2;D3,H2,H3,D7"
1571989762,0,2,1,"C10,C7,CA,C2;S7,SJ,SA,S5;H2,S3,S9,S2;SK,DK,HJ,S4;D9,H9,S8,S10;CK,C4,C9,C5;H8,C3,HA,C6;H4,SQ,HK,C8;DA,H5,HQ,CJ;DJ,DQ,H10,CQ;D10,D4,H7,D3;D2,H6,D8,D5;D6,S6,H3,D7"
