1571989793,0,2,2,"CA,CJ,C8,C2;DQ,DK,DA,D5;C9,H4,C7,CK;C6,DJ,C3,CQ;SQ,D10,HQ,C10;SK,SJ,S8,S3;S10,S6,SA,S4;HA,D8,H9,C4;HJ,D6,H7,C5;H10,D2,H5,H2;S7,H6,HK,S9;S5,D9,H8,D3;H3,D4,S2,D7"
1571989793,0,21,2,"CK,DQ,C10,C2;HQ,HA,CA,CQ;SA,DJ,DA,D7;SQ,H9,D10,DK;SK,H7,D8,D9;S7,SJ,S9,S8;S6,S10,S5,S2;HJ,CJ,D6,D2;HK,H8,S3,S4;D5,H5,C8,D3;C9,C7,H2,H3;C6,C4,H4,H6;C5,C3,D4,H10"
1571989793,0,0,2,"CQ,C10,CA,C2;DA,DQ,D7,DK;D8,D4,DJ,D10;D2,D6,D3,D9;SK,SQ,HJ,D5;SJ,SA,S8,S6;S7,S9,S10,S2;HK,S5,H10,S4;H5,HA,H9,S3;CK,C9,C5,C4;C8,C3,C7,C6;H7,H6,H4,H8;H2,H3,CJ,HQ"
1571989793,0,17,2,"C8,CJ,CA,C2;D4,DA,D10,DK;D9,D5,SQ,DQ;D8,H10,HQ,DJ;D7,H6,H9,D6;S9,SJ,SA,S4;S10,S6,S7,SK;C9,CK,C10,C6;S5,HJ,S8,S2;CQ,H8,D3,D2;HA,C5,C3,C7;H4,C4,H5,H2;H3,HK,S3,H7"
1571989793,0,1,2,"C8,CK,CQ,C2;DK,D5,DJ,DA;DQ,D4,D8,D10;HA,D2,D9,D3;SA,H9,HJ,D7;S4,SJ,S10,SQ;C9,CA,C5,C3;S9,HK,SK,S6;S8,S7,H5,S2;H10,C6,HQ,C7;H4,C4,H8,C10;H3,H2,H7,CJ;S5,D6,S3,H6"
1571989793,0,15,2,"CK,CA,CQ,C2;SQ,DA,DJ,DQ;D5,D10,SA,DK;D4,D9,SK,D8;HA,D7,HJ,D6;S8,S9,S7,S10;S4,S5,S6,SJ;CJ,C10,C4,C5;S2,HK,HQ,S3;C6,C3,C7,C8;H6,H8,H9,C9;D3,H4,H3,H5;D2,H2,H7,H10"
1571989793,0,1,2,"CQ,CK,CA,C2;DQ,DJ,DA,D10;D5,D3,D8,DK;SK,HQ,SA,D9;HJ,H8,HA,D7;S9,S10,SJ,S6;SQ,S4,S7,S2;CJ,C10,C9,C7;H5,S8,HK,S3;H10,H7,H4,S5;D6,C6,C8,C3;H9,D4,C4,C5;H2,D2,H6,H3"
1571989793,0,3,2,"CA,CK,CQ,C2;DA,DJ,D8,DQ;D10,D7,D5,DK;D9,SQ,D3,D6;CJ,C8,C7,C3;S10,SA,SJ,S2;S9,HK,S3,S6;HQ,H10,SK,S4;S8,H5,H9,S7;C10,H7,HA,S5;C9,H6,H4,H2;H8,HJ,C6,C4;D2,D4,H3,C5"
1571989793,0,26,2,"CA,CK,C10,C2;D9,D10,DA,DJ;D7,D2,D5,DK;D6,SA,D4,DQ;H9,HQ,HA,D8;S10,S8,SJ,S6;SK,S9,S4,S3;S7,S2,S5,SQ;C8,CQ,C4,C9;HK,CJ,C7,C3;H6,H10,HJ,D3;H5,H2,H4,H7;C5,C6,H3,H8"
1571989793,0,0,2,"CA,CJ,CK,C2;DA,DK,D9,D7;DJ,D5,D6,DQ;D8,SA,D2,D10;D3,HA,HQ,D4;S9,S10,S6,S7;S3,SK,S5,S4;SQ,H8,S2,S8;C10,CQ,C8,C3;HK,C6,C7,C9;H5,H3,H4,H6;H7,H9,C5,H10;SJ,H2,C4,HJ"
1571989793,0,5,2,"C7,C10,CJ,C2;DQ,DA,DK,D6;DJ,D4,D5,D10;H9,SA,D8,D9;H6,HJ,D3,D7;SJ,S7,S9,S8;H10,S3,SK,S4;S6,H4,S2,S10;S5,CA,HQ,SQ;C9,CK,H8,C5;H7,HA,C8,C3;CQ,H3,HK,C6;H2,D2,H5,C4"
