1571994346,0,4,1,"C10,CK,CA,C2;D7,DJ,DA,DQ;D8,D2,D10,DK;D3,H4,D4,D9;SA,CQ,SK,D6;S6,S10,SJ,S2;S9,S5,S8,S4;HK,S7,HJ,SQ;H10,CJ,H9,D5;H5,C9,H3,H2;C8,C5,HA,C3;H6,HQ,H8,S3;C4,H7,C7,C6"
1571994346,0,9,1,"CA,CK,CJ,C2;DA,D10,DK,D9;D7,DJ,D2,DQ;D6,D8,SA,D5;CQ,C10,C6,C9;S9,S3,SK,S5;SJ,S8,SQ,S2;HK,C7,C8,C4;C5,HQ,H10,C3;H5,H9,D3,D4;S7,H2,H8,H3;H7,S6,H6,HJ;H4,S4,S10,HA"
1571994346,0,18,1,"CK,C10,CQ,C2;DJ,DK,DQ,DA;D10,D5,D8,D9;HA,D2,D4,D7;HJ,SK,D3,D6;S7,SJ,SA,S3;S10,S5,HK,S2;S4,HQ,S9,S8;SQ,H6,H9,S6;C9,CA,CJ,C3;C8,H10,C6,C4;H7,H5,C7,C5;H8,H2,H3,H4"
1571994346,0,2,1,"C10,CQ,CA,C2;DQ,DJ,DA,D6;SA,D10,D9,DK;SK,D5,D8,D7;D4,H10,HA,D3;S8,S7,S10,SJ;S5,S3,S9,SQ;H5,H2,H4,H3;H9,S6,HK,S2;HQ,CJ,CK,C3;C4,HJ,C8,C6;C9,H6,H8,S4;C7,D2,H7,C5"
1571994346,0,5,1,"C9,CQ,CA,C2;DQ,D5,SQ,DA;D10,D3,HK,DK;D9,SA,HJ,DJ;D7,HQ,H10,D8;SK,SJ,S8,S2;S4,S7,S10,S9;HA,H6,S6,S3;H9,H7,H3,S5;CK,H5,C7,C4;H4,C6,C10,CJ;D6,C5,H8,D2;C3,C8,D4,H2"
1571994346,0,14,1,"C10,CA,C8,C2;DK,DQ,DA,D9;D5,D8,D10,DJ;CQ,C3,CK,C5;SK,D2,D7,D6;SA,S6,S9,S3;S4,S8,SJ,S10;SQ,HA,S2,S5;C4,CJ,HJ,C9;H2,HK,HQ,C6;D4,H8,H10,C7;D3,H4,H6,H5;H7,S7,H3,H9"
1571994346,0,0,1,"C10,CK,C9,C2;DK,D10,D5,DA;D8,D7,HQ,DQ;D6,D3,HJ,DJ;D4,SQ,H6,D9;H10,SK,SJ,S3;S10,SA,H8,S2;H7,S9,S8,S5;S6,HK,H4,S7;C8,CQ,C6,CA;H2,CJ,H3,H5;C4,C7,D2,H9;S4,C3,C5,HA"
1571994346,0,1,1,"C9,CQ,CA,C2;D9,DK,DA,D7;D2,D5,D6,DQ;HJ,D4,D3,DJ;H10,SA,SQ,D10;CJ,CK,SK,C4;SJ,HA,S7,S4;HK,S6,S9,S3;H7,C10,C8,C3;H4,HQ,H5,D8;C6,H9,H2,H3;S10,H8,S5,C5;S8,H6,S2,C7"
1571994346,0,0,1,"CJ,CA,CK,C2;DQ,DA,DK,DJ;D7,D3,D9,D10;D6,D2,SQ,D8;D4,SK,SA,D5;S8,S9,S10,S3;SJ,S7,HA,S2;S5,H8,S4,S6;H2,H4,H5,H3;HK,C9,C10,C3;CQ,HJ,C7,C4;H9,H7,C8,H10;H6,C5,C6,HQ"
1571994346,0,7,1,"C10,CJ,CK,C2;DK,DJ,DQ,DA;D4,D10,D5,D8;D3,D6,SK,D9;D2,SA,HA,D7;S3,S9,S10,S5;SJ,S2,S8,S6;HJ,S7,HK,SQ;C5,CQ,CA,C3;C8,H9,C7,C6;H6,HQ,C9,C4;H4,H5,H10,H7;H8,H3,H2,S4"
1571994346,0,9,1,"CK,C10,CA,C2;DA,DK,D9,DQ;HA,D7,D6,DJ;HJ,SA,D3,D10;H8,SK,D2,D8;CQ,C8,SQ,C3;S9,SJ,HQ,S2;H10,S6,S8,S4;S10,H3,H5,S3;H2,C9,HK,S5;D5,C6,H6,S7;D4,C5,H4,H7;CJ,C4,C7,H9"
1571994346,0,0,1,"CK,CA,C7,C2;DJ,D7,DA,DQ;D8,D10,D4,DK;D6,D5,D3,D9;C8,C6,C10,CQ;SA,S3,SJ,S6;HA,S7,S8,S2;SK,C4,C5,C9;HQ,HJ,C3,CJ;H9,H7,H3,H2;H10,S5,HK,S4;H6,S10,H8,SQ;H4,S9,D2,H5"
