1571994348,0,2,3,"CJ,CA,C9,C2;DA,DJ,D5,DK;D7,SQ,DQ,D10;D9,SK,HA,D6;HK,H6,D4,D8;S10,SJ,S4,S3;HQ,SA,S9,S2;S8,H2,H10,S5;C10,H7,S7,S6;CQ,C8,CK,C7;H8,HJ,C6,C5;H4,H3,H9,C3;D2,D3,H5,C4"
1571994348,0,5,3,"CJ,CK,CA,C2;DK,DA,D9,D10;D5,D6,DQ,D7;D4,D3,SQ,DJ;D2,SK,SA,D8;S9,SJ,S8,S4;S7,HA,S3,S5;H8,S2,S10,S6;C7,CQ,C10,C4;C8,C6,C3,C5;H2,H7,H3,H4;H5,HJ,H6,H9;H10,HQ,C9,HK"
1571994348,0,16,3,"CQ,CA,C8,C2;DA,D8,D10,DK;D4,D7,DJ,DQ;D3,SA,D6,D9;SQ,H10,SK,D5;SJ,S10,S3,S9;S5,S2,HQ,S4;CK,C7,C3,C9;C6,HA,H7,C4;H8,H6,CJ,C5;H9,S8,H5,C10;H2,S7,H4,HJ;D2,S6,H3,HK"
1571994348,0,0,3,"CQ,CK,CA,C2;DK,DA,DJ,DQ;D8,SA,D10,D9;D7,D6,HA,D4;D5,HK,HQ,D2;S8,SJ,S7,S5;S6,SK,S4,S9;S2,H10,S3,S10;H6,C9,C10,CJ;H5,C8,SQ,D3;H4,C5,H7,H8;H3,C4,C7,H9;H2,C3,C6,HJ"
1571994348,0,6,3,"CK,C8,C9,C2;DK,DA,DQ,DJ;D7,D8,D9,D10;D5,D4,D6,D2;SA,SJ,S6,S9;S2,S5,SK,S4;S10,HA,H10,S3;HQ,H6,S7,S8;HJ,H3,HK,SQ;CA,CJ,H9,C3;C7,H7,C5,C10;C6,H4,H8,CQ;C4,H2,H5,D3"
1571994348,0,3,3,"C10,CA,CQ,C2;DA,D6,D9,DK;SQ,D8,DJ,DQ;H10,D7,D3,D10;H9,D2,HA,D5;SJ,SA,S5,S3;S4,SK,S9,S6;S8,S10,HK,S7;C9,C4,CK,C3;HJ,H8,HQ,S2;C6,C7,H7,C8;H4,C5,H2,CJ;H3,H6,D4,H5"
1571994348,0,7,3,"C9,CJ,CA,C2;DK,DJ,D10,DA;DQ,D5,D2,D6;SQ,SA,D4,D9;HA,HQ,SK,D8;S8,S10,SJ,S7;HJ,S6,S9,S4;H10,H5,S3,S2;C10,CK,CQ,C3;C7,C5,H6,C6;HK,H4,C8,C4;D7,H8,H3,H2;S5,H7,D3,H9"
1571994348,0,1,3,"CQ,CA,CK,C2;DK,DJ,DA,DQ;D9,D10,D6,D8;CJ,HQ,C10,C9;D7,HA,SQ,D5;S8,SK,SA,S3;SJ,S6,S10,S4;S2,S9,S7,S5;C3,H7,C8,C6;C7,H4,H6,C4;H3,H5,H8,H9;H2,D4,H10,HJ;D2,D3,C5,HK"
1571994348,0,18,3,"CK,CA,CJ,C2;DJ,DK,DQ,DA;D10,D9,D6,D7;C8,CQ,SA,C10;D5,SQ,D8,D4;SK,S10,S7,S3;S9,S4,SJ,S2;HK,HA,C9,C4;C7,HJ,H9,C3;H6,H8,C6,C5;H4,H3,D2,H2;D3,S8,H7,H5;H10,S5,S6,HQ"
1571994348,0,0,3,"CQ,CK,CA,C2;DK,DA,D8,DJ;D5,D7,DQ,D9;D2,HA,D6,D10;SQ,HJ,D3,D4;SA,S9,S10,S6;S7,S5,SK,S3;C10,CJ,C5,C3;S4,HK,SJ,S2;H8,H10,HQ,S8;C9,H6,C7,C6;H4,H9,C8,C4;H5,H3,H2,H7"
1571994348,0,24,0,"C6,CK,CA,C2;DA,DJ,DK,D7;D6,D10,D4,DQ;D2,D8,SQ,D9;SK,D5,HK,D3;S7,SJ,S4,S8;HA,SA,S5,S3;S2,S10,HQ,S9;HJ,H7,H8,S6;C5,CQ,C10,C3;C9,CJ,H9,C4;H4,H5,H2,H6;H3,C7,C8,H10"
1571994348,0,0,0,"CQ,CK,CA,C2;CJ,C9,C7,C8;DJ,DA,HK,DK;HJ,D8,D10,DQ;H10,D6,D7,D9;S9,SA,S6,S8;S5,SK,S3,S4;S2,SJ,H8,S10;D4,HA,H9,S7;D3,HQ,H6,SQ;C6,H5,C3,C10;C5,D5,H4,D2;H3,H7,C4,H2"
1571994348,0,8,0,"CA,C10,CQ,C2;D6,DQ,DA,DJ;D8,SQ,D9,DK;D5,SA,D7,D10;H5,HJ,D3,D4;SJ,S10,S9,S2;S8,HK,SK,S6;CK,C9,C7,C5;S5,H10,HA,S7;C3,C4,HQ,C6;H6,H7,H9,C8;S4,H3,H8,CJ;S3,D2,H4,H2"
1571994348,0,4,0,"CK,CA,C7,C2;DA,D7,DQ,DK;D6,D10,D8,DJ;SK,S9,S6,SJ;D9,D2,SQ,D4;S2,SA,S10,S4;S3,S5,HK,S7;H10,HA,H6,S8;H7,H8,H5,H2;C10,HQ,CQ,CJ;H9,C9,HJ,C3;H4,C8,D5,C4;D3,C6,H3,C5"
1571994348,0,1,0,"CA,CJ,CQ,C2;D7,DK,DA,DJ;D9,HA,D10,DQ;D8,HQ,D6,D2;C10,C4,CK,C9;SA,S10,S6,S5;S9,S3,SK,S4;S8,S7,S2,SJ;C8,C7,SQ,C3;HJ,H3,HK,C5;H8,D5,H9,C6;H5,D4,H4,H6;H7,D3,H2,H10"
