1571994352,0,17,1,"CA,CQ,C9,C2;DA,D10,DK,D9;D8,DJ,D5,DQ;SA,D7,D2,D6;C10,C6,C8,CK;SK,HA,SJ,S10;H10,S5,SQ,S2;C5,C3,HK,C7;C4,H8,HJ,CJ;S9,H3,H5,H2;HQ,S8,H4,S3;D4,S4,H9,S6;D3,H7,H6,S7"
1571994352,0,8,1,"CQ,C9,CK,C2;DA,D8,DQ,DK;D3,D5,DJ,D9;D7,SA,D4,D10;H5,HQ,SQ,D6;SJ,S10,SK,S5;HK,CA,C10,C3;S9,HA,S7,S4;H8,S6,S8,S2;C6,C5,HJ,C7;H6,C4,H10,C8;H4,H7,H9,CJ;S3,H3,D2,H2"
1571994352,0,15,1,"CA,CQ,C6,C2;D5,DQ,DA,DK;DJ,D3,D10,D8;SK,D9,D4,D6;SQ,D2,HK,D7;S10,SA,S8,S2;S7,SJ,HQ,S3;H10,S9,HJ,S4;H9,HA,CK,S5;H6,H8,C9,S6;CJ,H7,C8,C10;H3,C7,H5,C3;H4,C5,H2,C4"
1571994352,0,8,1,"CQ,CA,C9,C2;D9,DQ,DA,D10;D6,D8,DJ,DK;D4,D2,D5,D7;CK,C7,C6,CJ;SK,SJ,S8,SA;SQ,HA,C10,C3;H10,S10,S9,S4;S7,S5,H5,S2;HK,D3,S3,S6;H7,C8,H6,H8;H3,C5,H4,H9;H2,C4,HQ,HJ"
1571994352,0,4,1,"CA,CQ,C10,C2;DJ,D10,DQ,DA;D8,D7,D9,DK;D2,D5,D4,D6;HQ,SK,SQ,D3;S9,S10,SJ,S3;SA,S7,S8,S2;S6,HA,HK,S4;C9,CJ,CK,C7;H8,H6,H9,S5;H4,H5,H2,H3;C6,HJ,C8,C4;C5,C3,H10,H7"
1571994352,0,19,1,"C6,CQ,CA,C2;DA,DK,DQ,DJ;D8,D5,D3,D10;D7,SA,HK,D9;D6,H5,HQ,D4;S10,S5,SJ,S4;S8,S9,H10,SQ;C4,C7,CK,C9;CJ,SK,C5,C3;H2,H3,H4,H6;HA,S7,H9,H7;S3,C10,HJ,S6;S2,C8,H8,D2"
1571994352,0,0,1,"CJ,CK,C10,C2;DA,DK,D9,D7;DJ,SQ,D5,DQ;D6,SA,D3,D10;D4,SK,D2,D8;S5,SJ,S6,S2;S4,S10,HJ,S7;H10,S8,S3,S9;CA,C7,CQ,C5;C4,HA,C8,C3;H7,H5,H4,H6;H3,HQ,HK,C6;H2,H8,H9,C9"
1571994352,0,0,1,"CA,C10,CK,C2;DK,DA,DJ,DQ;D7,D8,D4,D10;SK,D6,D2,D9;HJ,D3,SA,D5;S9,SJ,S10,S2;S8,SQ,S5,S3;CJ,CQ,C5,C7;S6,HA,H3,S4;HQ,C9,HK,C4;H4,H8,H10,C3;H2,H6,H9,C6;S7,H5,H7,C8"
1571994352,0,15,1,"CJ,CA,CK,C2;D10,DA,DK,DQ;D5,D3,D8,DJ;H7,SQ,D7,D9;H6,SA,D4,D6;SJ,S9,S10,SK;C5,C9,C8,C3;S7,H9,S5,S6;D2,S4,S8,S3;H3,CQ,H4,H5;HQ,C10,H2,H8;C7,C4,HJ,HK;C6,S2,H10,HA"
1571994352,0,5,1,"CA,CQ,CK,C2;DA,DK,D10,DQ;DJ,D9,D8,D6;D7,D4,D3,D5;HA,H10,SQ,D2;S10,S8,SJ,S9;SA,S7,S5,S2;HK,S4,S6,SK;H9,H6,H4,H2;C10,C8,HQ,C6;H5,H8,HJ,S3;C5,H7,CJ,C3;C9,C4,H3,C7"
1571994352,0,0,1,"CK,CA,DA,C2;DJ,DQ,D5,DK;D7,D10,D4,D9;CJ,C10,SQ,CQ;C5,C9,HA,C8;S9,SA,S10,S3;S8,SK,S4,S5;S2,S7,HK,SJ;D2,HJ,H6,D3;H8,H9,H4,D6;H7,C7,H2,D8;H5,C6,C4,H10;H3,S6,C3,HQ"
1571994352,0,1,1,"CJ,CA,CK,C2;DA,DQ,D9,D8;DJ,D6,D2,DK;D4,D5,HK,D10;SQ,SA,H10,D7;S8,S10,SJ,S3;SK,S6,S9,S7;C7,C9,CQ,C6;H9,C5,C8,C3;H8,H7,S5,S4;HQ,H6,H5,S2;HJ,H4,H3,H2;C10,D3,HA,C4"
1571994352,0,3,1,"CK,CA,C10,C2;DA,D10,D7,DK;SQ,D3,DQ,D9;D5,HA,D2,DJ;D4,HK,SK,D8;SJ,S5,S7,S9;S3,S6,SA,S4;C6,CJ,C7,C9;C5,CQ,H9,C3;H8,H10,HQ,D6;H4,H2,H3,H5;S10,H7,C4,H6;S2,HJ,S8,C8"
1571994352,0,1,1,"C10,C3,CA,C2;DJ,D10,DQ,DA;D8,D6,D9,DK;D7,HJ,D4,D5;H10,HK,CK,CQ;SA,SJ,S10,S5;S4,S8,S9,S2;SK,S3,S7,S6;H8,HQ,CJ,C4;C8,H7,H9,SQ;C7,H6,H5,C9;C6,H3,D3,D2;HA,C5,H2,H4"
