1571994354,0,20,1,"CK,CA,C4,C2;DJ,DA,D9,DQ;D5,D10,D7,DK;CQ,C9,C3,C10;D8,D6,HA,D4;SJ,S10,S8,SQ;SK,C6,CJ,C5;HK,S4,S9,SA;D2,HJ,H4,D3;H2,H5,S7,H6;H9,H3,S6,H7;H8,S5,HQ,C7;S3,S2,H10,C8"
1571994354,0,0,1,"C10,CA,CJ,C2;DA,SA,DQ,DK;HQ,D7,D9,DJ;HJ,D5,D6,D10;H9,H10,D4,D8;S10,S5,SJ,S2;SK,S9,S4,S3;S7,H7,S8,S6;HA,H6,H4,SQ;C6,CK,C7,C9;C5,H8,C3,C8;C4,H5,HK,CQ;H2,D3,D2,H3"
1571994354,0,5,1,"C9,CA,C10,C2;DQ,DK,D6,DA;DJ,D10,SQ,D8;D9,SA,HK,D7;HQ,HJ,SK,D5;SJ,S5,S8,S10;S2,S7,HA,S3;H6,S9,H3,S4;H2,H9,D4,S6;CK,H8,C6,C4;H7,C3,C8,C5;CQ,H5,D3,C7;H4,D2,H10,CJ"
1571994354,0,24,1,"C9,CK,CA,C2;D10,DA,DK,DJ;D4,D8,D9,DQ;D2,SK,D7,D6;D5,HA,H10,D3;S9,S8,SJ,S2;SA,S6,H5,S5;S4,H4,S10,S3;SQ,HK,H3,S7;CQ,C10,HQ,C4;C6,H8,C8,C5;CJ,H2,H7,H9;C7,C3,H6,HJ"
1571994354,0,20,1,"CA,CJ,C6,C2;D5,DQ,DA,DK;DJ,D3,D9,D10;HA,D4,D8,D7;D2,HJ,SQ,D6;SJ,S10,SK,S3;CQ,CK,C9,C3;S9,HK,SA,S7;S8,S6,H9,S4;C5,H6,C8,C7;H2,C4,H5,H7;HQ,S5,H4,H8;S2,H3,H10,C10"
1571994354,0,14,1,"C9,CA,CK,C2;DJ,DQ,DA,D10;D9,D7,D2,DK;D6,D5,SA,D8;HQ,D3,HA,D4;S9,SJ,S10,S4;S7,SK,S8,S3;CJ,C10,CQ,C3;HK,S6,SQ,S5;H2,H4,H6,H3;HJ,H9,H8,S2;H7,C7,C8,C4;H10,H5,C5,C6"
1571994354,0,1,1,"CA,C10,CK,C2;DA,DQ,DK,D8;D5,D10,D6,DJ;SQ,D4,SA,D9;HA,D3,SK,D7;H10,S5,S10,S2;SJ,H8,S4,S6;H3,HK,S9,S3;S8,H2,HQ,S7;CJ,D2,H5,H4;HJ,C9,CQ,C4;C8,H9,C6,C5;H7,C3,C7,H6"
1571994354,0,0,1,"C9,CK,CA,C2;DK,D7,DQ,DA;DJ,D6,D8,D10;D5,D4,D3,D9;C7,C10,CJ,CQ;S9,SJ,SA,S3;SK,S8,HA,S10;S4,H9,HQ,S5;S2,H7,H8,S6;HK,H5,H3,S7;HJ,H4,C8,SQ;C6,H2,C5,C4;D2,C3,H6,H10"
1571994354,0,0,1,"CA,C7,CJ,C2;DK,DQ,DA,D7;D6,DJ,D10,D2;D9,SA,D5,D4;HK,SK,D3,D8;S5,SJ,S9,S8;H10,S10,S4,S3;S2,S7,H9,SQ;CK,CQ,C4,C5;HA,H8,C10,C3;C6,HQ,H6,C8;HJ,H2,H5,C9;H7,S6,H3,H4"
1571994354,0,1,1,"C6,CA,CK,C2;DQ,DK,D8,DA;D9,DJ,SQ,D10;SA,D2,D7,D6;D5,HA,HJ,D3;SJ,S7,S6,S5;S3,S4,SK,S9;S10,H10,S2,S8;CQ,C8,C7,C4;C3,C5,H8,C9;HK,HQ,H6,C10;H5,H9,H3,CJ;H4,D4,H2,H7"
1571994354,0,1,1,"CA,C8,CQ,C2;DA,D5,DQ,D10;SK,HJ,D9,DK;HA,H8,D8,DJ;H10,H5,D6,D7;S8,S10,SA,S7;SQ,S6,S9,S5;CJ,CK,HK,C3;SJ,HQ,S3,S2;D2,H7,C10,D3;H3,H4,C9,D4;H2,C7,C5,H6;C4,C6,S4,H9"
1571994354,0,0,1,"CQ,CA,C8,C2;DA,D3,D4,DK;SQ,SA,D10,DQ;SK,H7,D8,DJ;HA,H6,D7,D9;S10,SJ,S9,S3;S8,HK,S7,S2;HQ,S6,S5,S4;CJ,C4,C6,C9;H9,C5,CK,C7;H2,H3,D6,H4;H5,H8,D2,H10;C10,D5,C3,HJ"
1571994354,0,3,1,"CQ,CJ,C7,C2;DA,DJ,DK,D3;D7,D10,HA,DQ;D2,D5,H8,D9;SQ,D4,H6,D8;SA,S5,SJ,S7;H7,S9,S8,S3;HK,SK,H5,S2;H2,S6,HQ,S4;C5,HJ,CA,C3;C9,H4,H10,C4;H3,H9,CK,C6;C8,D6,S10,C10"
