1571995174,0,8,1,"C6,CQ,CA,C2;DA,DJ,DQ,D4;D10,D2,D3,DK;D8,SK,HK,D9;S9,S10,SJ,S2;C9,SQ,C5,C3;S6,S8,H8,S3;H5,SA,S5,S7;HA,HQ,CK,S4;H6,HJ,CJ,C4;H9,H4,H10,C7;H7,D6,H3,C8;D7,D5,H2,C10"
1571995174,0,0,1,"CA,CJ,C8,C2;DK,DQ,DA,D5;SK,DJ,D9,D4;D6,D2,H9,D10;C5,CK,CQ,C4;S8,HA,SA,S2;S10,S5,H8,S6;S3,H7,SJ,S4;S7,H6,H3,S9;SQ,H5,D8,D3;HK,HQ,C7,C9;H10,HJ,C6,C10;H2,H4,C3,D7"
1571995174,0,26,1,"CA,C9,CQ,C2;D4,DA,DQ,D10;D3,D7,SQ,DK;HK,D6,HA,DJ;S10,SK,SJ,S3;C5,C10,CJ,C4;H6,S9,SA,S4;H7,H5,HQ,D2;C8,H4,HJ,D5;C3,H2,H10,D8;S8,CK,H3,D9;S7,C7,S6,H8;S5,C6,S2,H9"
1571995174,0,0,1,"CJ,CK,C8,C2;D10,DQ,DA,DK;D8,D9,DJ,D6;D4,D7,D5,D2;SJ,SA,SK,S3;C10,CQ,C6,C3;S6,HK,S9,S8;S10,S5,HJ,S4;S2,H9,S7,SQ;HQ,CA,C9,C5;H10,C7,H7,C4;H4,H2,H6,H3;HA,H5,H8,D3"
1571995174,0,0,1,"CQ,CK,CA,C2;DK,D3,D9,DA;DQ,D2,D4,DJ;SQ,SA,D7,D10;SK,S8,SJ,S7;HK,S5,S9,S2;HQ,C10,C6,C8;C5,CJ,H9,C3;H3,HJ,D5,D6;H2,H8,H5,D8;S10,H6,H4,H7;S6,C9,C4,H10;S4,C7,S3,HA"
1571995174,0,3,3,"CA,CQ,CK,C2;D9,DA,DJ,D8;D10,SA,D3,DK;D5,H9,D2,DQ;SK,S10,SJ,S2;C9,C10,C6,C7;S5,HA,S9,S7;SQ,HJ,H8,S3;H10,CJ,C4,C5;C3,HK,H6,C8;S8,HQ,D7,D4;H4,S6,H7,D6;H3,S4,H5,H2"
1571995174,0,26,3,"CA,CJ,C10,C2;DK,DA,DQ,D8;DJ,D5,D6,D9;D4,D3,SQ,D10;SA,S9,SK,S3;S8,S10,SJ,S4;CQ,C9,C5,C8;C7,H7,CK,C3;HQ,HA,H6,D2;HJ,H9,H5,D7;H2,C6,S7,H3;H4,C4,S6,H8;H10,S2,S5,HK"
1571995174,0,0,3,"C10,CA,CJ,C2;D4,DA,DJ,D10;D5,D9,D2,DK;D3,D7,SA,DQ;S5,SK,S10,S9;S7,SJ,SQ,S2;CK,C8,CQ,C3;S6,H9,HK,S3;H4,H7,S8,S4;H5,H2,C9,H3;D8,C7,H10,HJ;D6,C6,H8,HQ;C4,C5,H6,HA"
1571995174,0,1,3,"CA,CQ,C5,C2;DQ,DA,DK,DJ;D8,D4,D10,D9;SQ,D7,D2,D5;S6,S9,SK,S3;SA,HK,S7,S4;H10,S2,SJ,S10;H9,H4,HQ,S5;H6,CK,HJ,S8;H3,C10,H7,H2;HA,C4,C8,C6;CJ,H8,D6,C3;H5,D3,C7,C9"
1571995174,0,4,3,"C8,CJ,CA,C2;D9,DA,DQ,DK;DJ,D10,D7,D8;D4,D6,D2,D5;S6,S10,SK,S5;SA,S2,S7,S4;HA,S3,SJ,S8;S9,H9,HQ,SQ;CK,C7,C10,C4;H8,C6,C9,C3;H3,H4,HJ,H5;HK,CQ,H6,C5;H2,D3,H10,H7"
1571995174,0,18,3,"CA,C10,CJ,C2;DA,D7,DK,DJ;D5,DQ,D9,D10;D8,SA,SQ,D4;SJ,S6,SK,S9;C9,C5,C8,C3;S8,S3,HA,S10;HQ,C7,CK,C4;C6,H8,HK,CQ;D6,H4,H10,D2;S7,H9,HJ,D3;S5,H3,H5,H2;H6,S4,S2,H7"
1571995174,0,0,3,"CK,C10,CA,C2;DA,DK,DQ,D9;D5,DJ,D8,D10;SK,D7,D4,D6;SA,S6,SJ,S2;S5,S9,S10,S8;SQ,S3,HQ,S4;C4,CQ,C7,C6;HK,CJ,C3,C5;HA,H9,HJ,C8;H8,H5,H10,C9;D3,H3,H7,D2;H2,S7,H4,H6"
1571995174,0,7,3,"C10,CJ,CA,C2;DA,DQ,DJ,DK;D10,D9,D4,D6;D8,SK,D5,D2;S9,S7,SA,S6;S10,S2,S5,S3;CQ,CK,SQ,C3;SJ,HK,HJ,S4;H10,H6,HA,S8;H8,H3,H7,H4;C9,C8,HQ,C5;C6,H9,D7,C7;C4,H5,D3,H2"
1571995174,0,15,3,"CK,CJ,CA,C2;DQ,DK,DJ,DA;D10,D8,D6,D7;D2,D4,SA,D9;S7,SJ,SK,S2;S10,S3,S6,S4;H8,SQ,S9,S5;C3,C7,CQ,C9;C10,HA,C4,C5;H3,H7,H4,H2;H6,HK,HQ,S8;C8,H9,HJ,D3;C6,H5,H10,D5"
