1571995176,0,4,2,"CJ,CA,C7,C2;DK,DA,DJ,D10;SQ,D9,DQ,D8;D2,HQ,D6,D7;SJ,S9,SA,S2;S5,S10,S4,S6;HJ,SK,S3,S7;HK,H9,H10,S8;C3,CK,C10,C4;C9,C8,H3,C6;HA,H2,CQ,C5;H4,H5,D5,H6;H7,D3,D4,H8"
1571995176,0,17,2,"C6,CK,CA,C2;DA,D9,DK,DQ;D7,DJ,D8,D3;D6,HK,D4,D10;S2,SJ,SA,S6;S9,HA,S8,S4;CQ,C4,SQ,C5;C3,SK,CJ,C7;C10,H10,HQ,C8;H8,H9,D2,D5;H3,H5,H4,H2;H7,HJ,S5,S7;C9,H6,S3,S10"
1571995176,0,15,2,"CJ,C10,CA,C2;D10,D6,DA,DQ;D8,D5,SQ,DK;D3,D4,HK,DJ;S2,SA,S8,S5;S7,S10,H9,S3;CQ,CK,C4,C5;S6,H10,H5,S9;S4,H2,H4,SJ;HQ,D9,H3,SK;H8,C8,C7,C9;H7,D7,D2,HJ;H6,C6,C3,HA"
1571995176,0,0,2,"CJ,CK,CA,C2;D4,DA,DK,D10;D5,D6,D2,DQ;D3,SQ,HK,DJ;S7,SK,SJ,S3;S4,SA,S5,S6;CQ,C8,C9,C3;S10,HJ,HQ,S2;H4,H9,HA,S8;H3,D9,H10,S9;C5,C6,C10,C7;H7,H2,D8,H5;C4,D7,H6,H8"
1571995176,0,4,2,"CA,C6,CK,C2;D4,DA,DJ,DK;D9,D8,D2,DQ;D5,D7,SQ,D10;SA,SJ,SK,S8;S10,S6,S9,S4;S2,HQ,S7,S3;C9,HA,C7,C3;HK,H8,H10,S5;HJ,C4,CQ,C5;C8,H9,H4,C10;H5,H7,D6,CJ;H2,H3,D3,H6"
1571995176,0,19,2,"D5,CA,CQ,C2;DA,DQ,D2,DK;D10,SA,D9,DJ;D7,HA,D8,D6;S7,SK,S5,S2;HJ,SJ,S6,S3;S4,S10,H10,SQ;CJ,CK,H9,C5;H8,HK,H5,S8;H7,HQ,D4,S9;H6,C9,C10,C4;C7,H4,C8,C3;D3,H3,H2,C6"
1571995176,0,1,2,"CK,C10,CA,C2;DA,D6,DQ,DK;SK,D10,DJ,D8;D7,HA,D9,D3;SA,S9,S10,S3;S8,S4,SJ,S7;HK,SQ,S2,S5;CQ,C3,C8,C4;H4,HQ,CJ,C5;C6,D5,HJ,C7;H8,D4,H10,C9;H6,D2,H3,H2;S6,H5,H9,H7"
1571995176,0,1,2,"CQ,DK,CK,C2;D10,D9,DQ,DA;D7,D6,DJ,D8;SK,D5,D2,D4;S4,SA,SJ,S2;S8,S10,HA,S5;H10,S7,S3,S6;HK,S9,H5,SQ;H8,HJ,H2,D3;H4,H3,C7,H6;CJ,CA,C5,H7;C10,C8,C4,H9;C9,C6,C3,HQ"
1571995176,0,1,2,"CQ,C10,CA,C2;DA,D10,DJ,DK;D9,D3,DQ,D4;H9,D8,D2,D7;SA,SJ,S6,S2;S7,S5,S10,S8;SK,S4,S3,S9;HA,H8,H7,SQ;CJ,CK,H5,C7;H4,HK,C5,C4;C9,H3,HQ,C3;H2,H10,HJ,C6;D5,H6,D6,C8"
1571995176,0,7,2,"CA,C10,CK,C2;DQ,DA,D10,DJ;D9,D6,D7,DK;SA,D4,D3,D8;S6,SK,S7,S2;S5,SJ,HJ,S8;H9,S10,S4,SQ;CQ,C9,C6,C3;C7,C5,CJ,C4;H5,H10,D2,D5;H4,H2,H7,H6;HK,H3,S9,S3;HA,HQ,C8,H8"
1571995176,0,21,2,"CK,C8,C10,C2;DA,DJ,D5,DK;D8,HK,D10,DQ;D4,HJ,D7,D9;SA,S7,S8,S3;S2,H10,SK,S5;SJ,H9,H2,S4;H7,D3,S10,S9;SQ,H6,D2,S6;CA,CQ,C3,C4;C7,H8,C9,CJ;C6,H5,HQ,H3;H4,C5,D6,HA"
1571995176,0,2,2,"C10,C8,CQ,C2;DQ,DA,DK,D9;D10,D2,D6,DJ;D7,SK,D5,D8;SJ,S6,S8,S5;S2,S4,SA,S3;S10,HJ,H9,S7;H10,H5,SQ,S9;D4,H4,CA,D3;C9,CK,HA,C5;HK,HQ,C6,C4;CJ,H8,H7,C3;H2,H6,H3,C7"
