1570610018,1,17,0,"C4,C3,C6,C2;S3,S4,S5,S2;S6,S10,S8,S7;C8,CA,C7,C5;SJ,DQ,SQ,S9;D5,C9,D2,D3;SA,D10,D4,D6;DA,D9,SK,C10;DK,D8,HQ,CJ;DJ,D7,H9,CQ;HJ,HA,H7,CK;H8,H6,H2,H3;HK,H5,H4,H10"
1570610018,1,4,0,"C5,CJ,C3,C2;S5,S4,S2,S3;S10,S7,SJ,S6;S8,SK,S9,SA;C6,C4,C9,CK;C7,C8,C10,CA;DJ,D7,D2,D4;H3,H6,H2,H5;D6,HQ,DK,D3;D8,DQ,HJ,SQ;D5,D10,H10,CQ;HA,D9,H8,DA;H9,HK,H7,H4"
1570610018,1,0,0,"C3,C4,C7,C2;S6,S3,S8,S2;S4,SA,S7,S9;CK,C6,CQ,C5;SK,S5,DA,SQ;DQ,C9,DJ,C8;D10,CA,D4,C10;SJ,D2,D3,D8;H5,DK,H3,H2;D9,D7,HJ,S10;D6,H9,H4,H6;H8,H7,D5,HQ;H10,HK,CJ,HA"
1570610018,1,8,0,"C10,C3,C4,C2;S2,S7,S4,S3;S6,S8,S5,S10;SJ,S9,D10,SK;DJ,SQ,CK,SA;C5,CQ,C7,C6;CJ,D2,D4,D5;C9,D3,D6,D7;C8,DQ,D8,D9;CA,DK,HA,DA;H4,H3,H2,H6;HJ,H8,H5,H7;H10,H9,HQ,HK"
1570610018,1,4,0,"C6,C3,C4,C2;S2,S3,S7,S4;S9,S5,S10,SA;C7,C8,C9,C5;CJ,DQ,D9,C10;DJ,SQ,DA,CQ;D6,S8,DK,CK;D5,S6,D8,CA;SK,HA,D2,D4;SJ,HJ,D3,D10;H6,H2,H4,H3;H5,HK,H8,H10;H9,HQ,H7,D7"
1570610018,1,0,0,"C4,C8,C6,C2;S4,S3,S2,S6;S8,S5,S7,SQ;S10,SA,S9,SK;DA,C9,CJ,C3;C5,DK,CK,CA;CQ,D5,D2,D4;DQ,DJ,C10,SJ;D3,D7,C7,D6;HK,D8,D9,D10;H5,H3,H2,H7;H6,H4,H10,H8;H9,HQ,HA,HJ"
1570610018,1,4,0,"C3,C5,C8,C2;S6,S2,S5,S4;S3,S9,S10,S7;C4,C7,CK,C9;D4,D3,D2,D5;DQ,D8,D7,D6;C6,DJ,DA,C10;CJ,D10,D9,CA;CQ,SA,HA,DK;H3,H5,H2,H4;HK,HQ,SJ,S8;SK,H9,H7,H6;H8,H10,SQ,HJ"
1570610018,1,24,0,"C3,C4,C7,C2;S4,S2,S7,S8;S5,S3,S9,SA;C6,C5,C10,C9;CQ,C8,DA,CJ;CK,DK,D9,CA;D6,D4,D2,D3;S6,HA,DQ,SJ;S10,HQ,D8,SK;D10,H10,D5,D7;H8,HK,H5,SQ;H7,HJ,H4,DJ;H3,H6,H2,H9"
1570610018,1,3,0,"C7,C8,C3,C2;S6,S3,S2,S10;S8,S5,S4,SA;C4,CA,C10,CJ;S7,DA,SK,SJ;DQ,S9,D7,SQ;D8,DK,CK,C5;D4,D2,D10,D3;D6,D5,HA,DJ;H2,D9,H3,H4;H5,CQ,H6,H7;H9,C9,H8,HJ;HK,C6,H10,HQ"
1570610018,1,0,0,"C6,C4,C7,C2;DA,S5,S4,S2;S6,S3,DJ,SJ;S8,S7,D7,SQ;DQ,S9,D5,SK;D6,S10,CA,SA;C5,DK,C3,C9;CQ,D10,C8,C10;D4,CK,D8,D2;D3,HK,HQ,CJ;HJ,H9,H8,D9;H5,H3,H2,H7;H10,H6,H4,HA"
1570610018,1,13,0,"CQ,C3,C4,C2;S2,S5,S4,S7;S3,S6,S10,S9;DQ,S8,SJ,SK;D10,DJ,SQ,SA;CK,CJ,C6,C5;D5,C7,C8,CA;D2,D7,C10,D4;C9,D6,D3,D8;HK,H7,HA,D9;HJ,H4,HQ,DK;H9,H3,H8,DA;H6,H2,H5,H10"
