1570878768,1,0,2,"C6,C5,C4,C2;S5,DA,S4,S6;S9,D6,S10,SJ;S8,D5,S2,SQ;S7,D4,SK,SA;CJ,C8,C3,C7;C10,DK,D3,S3;C9,CQ,CK,CA;H8,D8,D2,D9;H7,DJ,HA,DQ;H3,HJ,H2,H4;HK,HQ,H6,D7;H9,H10,H5,D10"
1570878768,1,16,2,"CQ,C5,C3,C2;S3,S2,S9,S5;S7,S4,S8,S10;DQ,SK,S6,SJ;D8,SA,D10,SQ;D7,C7,C6,C4;C8,C10,D6,C9;D5,CK,D3,CA;D2,D4,HQ,D9;HA,DK,H10,DA;H6,HK,H4,H2;H9,H7,HJ,CJ;H5,H3,H8,DJ"
1570878768,1,1,2,"C5,C6,C4,C2;S3,S2,S9,S4;S7,S6,S8,S10;SK,S5,SQ,SJ;DA,D8,DJ,SA;CJ,C9,CA,C10;D3,D6,D4,D7;H7,H4,H5,H2;D9,CQ,HQ,CK;D5,C8,HJ,D2;HK,H3,DK,H6;H10,DQ,HA,C3;H9,D10,H8,C7"
1570878768,1,13,2,"C6,CQ,C3,C2;S3,S5,S4,S2;S8,SK,S7,S6;CK,CJ,C7,CA;D2,D3,D7,D4;D10,SJ,S10,SQ;D6,DK,C10,D8;SA,DQ,D5,S9;DJ,HQ,C5,C4;H10,D9,HJ,C8;H9,HA,H7,C9;H8,HK,H5,DA;H2,H4,H3,H6"
1570878768,1,13,2,"C8,C3,C5,C2;S7,S8,S3,S2;S6,S5,S10,S9;SQ,S4,SK,SA;C10,C6,C9,C7;C4,DA,CJ,CQ;DQ,DK,D8,CK;DJ,D7,D5,CA;D9,D6,D2,D3;SJ,D4,HA,D10;H5,H3,H4,H2;H7,H8,H9,H10;H6,HQ,HK,HJ"
1570878768,1,0,2,"C4,C8,D10,C2;S2,S5,S3,S4;S9,S10,S8,SJ;DK,S6,S7,SQ;C7,CQ,D4,C3;SA,C10,CK,CA;SK,D3,D5,D6;HA,D2,D8,D7;DQ,HQ,C9,CJ;H4,H5,HK,H6;H10,DJ,HJ,C5;H9,D9,H8,C6;H7,H2,H3,DA"
1570878768,1,5,2,"C10,C6,C3,C2;S3,S6,S7,S4;SJ,S5,S9,SQ;CJ,CA,C4,C5;S8,DQ,S10,S2;DJ,DK,D7,SK;D9,D8,D6,SA;HA,C8,C9,CQ;HK,C7,HQ,CK;HJ,D2,H10,D3;H9,D5,H8,D4;H4,DA,H2,H3;D10,H5,H7,H6"
1570878768,1,0,2,"C4,CA,C5,C2;S7,S2,S9,S3;DQ,C7,C3,C8;DJ,C6,CK,C9;DA,S5,S8,S4;S10,DK,SA,SJ;D10,S6,D7,SQ;CJ,D8,D3,D2;D4,D9,C10,SK;H8,H3,H6,H2;D6,HQ,HA,CQ;H4,H7,H9,H10;D5,HJ,H5,HK"
1570878768,1,13,2,"C7,C4,C3,C2;S5,S6,S4,S2;S8,S9,S10,SJ;SA,S3,S7,SQ;C9,C5,CQ,C6;D4,D6,D5,D2;CK,DA,CJ,CA;D9,D7,DK,D8;DQ,C8,DJ,C10;H9,H2,H6,H3;SK,D3,H10,D10;HJ,HQ,H8,HK;H4,H7,H5,HA"
1570878768,1,26,2,"C6,C5,C4,C2;S2,S7,S3,S4;S8,S6,S5,S10;SK,S9,DK,SJ;C10,CQ,C7,C3;D4,D7,D2,D3;DA,D10,C9,C8;CA,D8,D5,D6;D9,DQ,CK,SQ;HQ,HK,CJ,SA;HJ,H7,HA,DJ;H5,H3,H8,H9;H4,H2,H6,H10"
1570878768,1,0,2,"C6,C3,C4,C2;SK,S8,S2,S3;CQ,C8,C9,C5;S9,S4,DA,S10;D8,D10,D3,D2;D6,DK,S7,S5;S6,D4,DJ,SA;CA,CJ,D7,CK;C10,D5,D9,SJ;C7,HA,HJ,SQ;HQ,H9,H8,DQ;H3,H5,H4,H2;H6,HK,H10,H7"
