1571908698,1,13,0,"C5,C4,C3,C2;S3,S2,S6,S4;C8,C7,CJ,C9;DJ,SQ,S7,S5;S10,SJ,D5,SK;C6,DK,CQ,C10;CA,D10,DQ,CK;D8,D3,D2,D4;S8,HJ,DA,S9;HA,H9,D9,SA;H7,H6,H4,H8;H10,H5,D7,HQ;H3,H2,D6,HK"
1571908698,1,15,0,"C4,C3,CJ,C2;S4,S8,S7,S9;S3,S6,DQ,S10;S2,S5,D7,SJ;D2,D4,CK,D3;CQ,DA,SA,SQ;C10,C5,DK,C6;C9,D10,DJ,SK;C7,D9,C8,CA;HA,HJ,D6,D5;H3,H6,H4,H5;H2,H9,HQ,H7;H10,H8,HK,D8"
1571908698,1,0,0,"C8,C3,C4,C2;S3,S4,S6,S2;S7,S10,S9,SJ;DA,C10,C5,C6;S8,DQ,SK,S5;D4,D7,D3,D5;D8,DK,SQ,SA;C9,HQ,CK,C7;D10,D2,HJ,D6;CJ,H9,D9,CQ;CA,H5,HK,DJ;H4,H3,H6,H7;H8,H2,H10,HA"
1571908698,1,21,0,"C7,C6,C5,C2;S8,S5,S4,S9;S7,S2,SQ,S10;DK,S6,SJ,SK;C10,CJ,C8,C3;SA,DQ,D10,S3;C4,CQ,D9,C9;D6,DJ,D5,D7;CA,HA,D8,CK;HK,D3,DA,D2;H6,H2,H9,H3;H8,HQ,H5,H10;H4,HJ,H7,D4"
1571908698,1,0,0,"C3,C5,C6,C2;S6,S3,S2,S4;S8,S9,S5,S7;SK,SQ,SJ,S10;CK,C7,C8,C9;D10,D9,DK,SA;D6,D2,D5,D3;C10,CQ,DA,C4;D7,CJ,HQ,CA;D4,D8,H7,DJ;HA,HJ,H6,DQ;H5,H8,H4,H9;H10,H3,H2,HK"
1571908698,1,2,0,"C5,C8,C3,C2;S2,S5,S7,S3;S9,S6,DA,S10;SQ,S4,D8,SA;CQ,C4,CJ,C6;DK,D7,DJ,S8;DQ,D6,D10,SJ;CK,D4,D9,SK;C9,D2,D3,D5;H5,H4,H7,H6;HK,HQ,CA,C7;HA,H8,H3,H9;H10,H2,HJ,C10"
1571908698,1,0,0,"C4,CJ,C7,C2;S6,SK,S3,S2;SJ,SQ,DA,SA;C5,D7,CQ,C3;C9,C10,D5,CK;C8,DQ,S9,CA;D9,D3,S8,D2;DJ,S5,DK,C6;D8,S4,D6,D10;H8,H6,H5,H7;H10,D4,HA,S7;H4,H9,HK,S10;H3,H2,HQ,HJ"
1571908698,1,13,0,"C10,C4,C3,C2;S9,S2,S6,S3;SJ,S8,S7,SQ;C7,C5,CQ,C6;DQ,S10,SK,S4;D6,CK,C9,CA;D3,D5,D9,D4;DJ,S5,CJ,SA;D8,D2,C8,D10;D7,HA,H10,DK;HJ,HK,H6,DA;H2,H5,H4,H7;H9,H8,H3,HQ"
1571908698,1,0,0,"C3,C4,C5,C2;S3,S8,S6,S9;S2,S7,S4,S10;C7,C10,CJ,C8;DJ,SQ,S5,SJ;DA,CA,CK,C6;D9,D7,SA,SK;D10,D8,D5,DQ;H4,H5,H3,H2;CQ,HA,D2,D3;C9,HQ,D4,D6;H6,H7,HJ,H8;HK,H9,H10,DK"
1571908698,1,13,0,"CJ,C3,C5,C2;S5,S2,S4,S6;S8,DA,SK,S9;CK,CA,C8,C4;DK,DJ,SQ,S3;D2,D9,D6,D3;C7,D5,D8,C9;C10,D4,SA,CQ;D10,HA,SJ,DQ;H7,H2,H6,H3;HQ,S10,HK,C6;H10,S7,H9,D7;H5,H8,H4,HJ"
1571908698,1,4,0,"C6,C7,C3,C2;S7,S2,S3,S4;S6,S9,SQ,S8;C5,C10,CQ,C8;CJ,C4,D8,CK;D3,D5,D6,D2;DJ,DK,S10,S5;SK,D10,DQ,SJ;D9,C9,DA,SA;D4,HJ,CA,D7;H3,H4,H6,H2;HK,H5,H8,H7;HQ,H10,H9,HA"
