1571926632,1,6,0,"C7,CK,CA,C2;S7,S8,S9,S10;SQ,S6,SK,SA;C10,C5,C6,C3;S3,HQ,HA,S2;H7,HJ,SJ,S4;HK,C9,C4,CJ;D2,D5,D10,D3;D9,DJ,DK,DA;H6,H3,DQ,H4;D4,D7,H10,D6;H9,H8,H2,C8;H5,D8,S5,CQ"
1571926632,1,1,0,"CA,CQ,C6,C2;S8,S2,S4,S5;S6,S3,S7,S9;SA,SJ,HA,S10;D6,D5,D3,D7;SK,D4,D9,D8;HJ,HK,HQ,SQ;H8,C3,C7,C4;DQ,DJ,H9,D2;H6,C5,H7,C8;H3,C10,H5,C9;H4,H10,H2,CJ;D10,DK,DA,CK"
1571926632,1,0,0,"CJ,CA,CQ,C2;S2,S4,S9,S3;S8,SK,S7,S10;C9,C5,C7,C6;SQ,SJ,HQ,S5;HK,C8,C10,C3;HA,H10,HJ,S6;H9,H7,H6,SA;C4,DA,H3,CK;D8,D3,D4,D5;D2,D10,D7,DJ;DK,D9,H5,H2;H4,DQ,D6,H8"
1571926632,1,13,0,"CJ,CQ,CA,C2;S4,S8,S6,S9;S10,S7,SQ,SK;S2,S5,SJ,SA;C4,C8,C5,C3;HA,H5,H9,S3;HK,C9,C7,C10;D2,D6,D5,D3;D8,D9,DQ,D10;H3,H6,H10,H2;HQ,DJ,DK,D4;HJ,H8,H4,C6;D7,H7,DA,CK"
1571926632,1,7,0,"C8,CK,C6,C2;S3,S8,S4,S2;S5,S6,S9,S10;HA,SQ,S7,SJ;HQ,H4,HK,SK;HJ,D5,H5,SA;H8,C5,C4,C3;DK,C7,H7,C9;D10,H10,H3,C10;D8,H9,H2,CJ;D7,H6,DA,CQ;D6,DQ,DJ,CA;D4,D2,D9,D3"
1571926632,1,6,0,"CA,C10,CK,C2;S7,S4,S6,S8;S5,SK,S10,S9;C8,C3,C5,C4;SJ,S3,HA,SQ;C7,HK,C9,CJ;D2,D3,D4,D5;D8,DQ,D6,D7;HQ,HJ,SA,S2;H5,C6,H6,CQ;H4,H10,H3,H7;D10,H9,DA,D9;DJ,DK,H8,H2"
1571926632,1,15,0,"CK,CJ,CQ,C2;S4,S2,S5,S3;C4,C5,SQ,C6;C8,SK,HA,C9;C10,SA,H3,CA;D6,D5,D3,D4;S7,S9,HK,S6;HJ,H9,S8,S10;H8,H7,HQ,SJ;D7,DA,D10,D2;H10,DK,H2,C3;H5,DQ,DJ,C7;H4,D9,D8,H6"
1571926632,1,5,0,"CK,CA,C6,C2;S3,S7,S2,S4;S5,S6,HA,S8;SK,S10,HK,S9;SQ,HQ,SJ,SA;C9,C4,C8,C3;C5,C10,C7,CJ;DJ,DQ,D4,DK;HJ,H3,H4,H5;D9,D3,H10,D5;H2,H9,D8,CQ;D2,H8,D7,D10;DA,H7,D6,H6"
1571926632,1,13,0,"CA,CK,C10,C2;S4,S5,S7,S6;SQ,S9,S10,SJ;C3,C8,C5,C4;SK,HA,S2,S3;C7,CJ,HJ,C9;S8,H9,HK,SA;D2,D3,D4,D5;D8,D10,HQ,DJ;D6,D9,H10,DQ;H4,DK,H6,DA;H3,H7,CQ,H5;C6,H8,H2,D7"
1571926632,1,13,0,"C10,CA,CJ,C2;S4,SK,S3,S2;S9,SQ,S8,SA;C5,C3,C7,C4;D3,D2,D4,D5;DK,D10,D7,D6;C6,CK,HQ,C8;H8,HA,S5,S6;H5,HK,S7,S10;H3,H10,H7,SJ;D9,H6,DJ,D8;HJ,DA,CQ,DQ;C9,H4,H9,H2"
1571926632,1,8,0,"CQ,CK,CA,C2;SA,S5,S8,S2;C5,C7,C10,C3;H8,S6,SQ,S3;D4,D2,D8,D5;HA,S4,H6,S7;HK,S10,H4,S9;H3,SJ,HQ,SK;D6,DK,D7,D3;H10,H9,C8,C9;DA,H7,C6,CJ;D10,DQ,H2,H5;D9,DJ,C4,HJ"
1571926632,1,0,0,"C6,CA,C10,C2;S3,S4,S5,S2;S10,S7,S8,S6;HA,SJ,HJ,SQ;H4,SK,H7,SA;C5,C7,C3,C4;H6,HK,H2,S9;H3,CJ,C9,CQ;DQ,HQ,C8,CK;D8,DK,D6,D9;DJ,H10,D7,H5;D5,H9,D4,D10;D2,H8,D3,DA"
1571926632,1,0,0,"CQ,C8,CA,C2;S2,S8,S10,S3;S6,S7,S9,SJ;C7,C3,HQ,C4;S5,HJ,HA,S4;H7,HK,SK,SQ;H3,H4,H8,SA;C10,DQ,H5,CJ;D10,D7,D8,D9;DJ,H2,H10,C5;D5,DA,H9,C6;D4,D6,H6,C9;D3,D2,DK,CK"
