1571927311,1,0,0,"DK,C9,C3,C2;DA,S3,S6,S7;DQ,S8,S5,S9;D9,SK,S4,S10;DJ,D8,C6,C7;D10,D7,C5,C8;D6,D5,C10,CJ;D2,SQ,C4,CQ;SA,HK,CK,CA;SJ,HJ,D3,D4;H6,H5,H2,H3;H10,H9,HA,S2;H7,H4,H8,HQ"
1571927311,1,0,0,"C7,C3,C4,C2;S3,S4,S5,S2;SK,S7,SJ,S6;C10,C9,C8,CJ;CQ,D3,DA,CK;C6,SA,DQ,CA;D4,SQ,D6,D2;DK,D9,HQ,S8;DJ,C5,HJ,S9;D8,HA,H9,S10;D7,HK,H8,D10;H6,H5,H3,H2;H7,H4,H10,D5"
1571927311,1,2,0,"C3,D7,C5,C2;S3,SQ,S2,S4;S10,S7,SK,SA;S9,C6,C4,C7;S8,C9,CA,C8;DK,S5,D10,S6;DJ,HQ,D9,SJ;D2,HJ,D4,D3;DA,CQ,H9,C10;H8,CK,D5,D6;H7,CJ,DQ,D8;HK,H5,H4,H6;H2,H3,H10,HA"
1571927311,1,7,0,"C3,C4,CJ,C2;S8,S6,S7,S9;SJ,S5,S4,S10;S2,S3,DJ,SQ;SA,D4,D9,SK;C9,CK,C5,C6;D5,D3,D2,D6;D10,D7,CQ,D8;C8,HK,HA,C10;C7,HQ,H9,CA;DK,H7,H8,DA;H10,H5,H3,H6;H4,H2,HJ,DQ"
1571927311,1,20,0,"C5,C6,C3,C2;S7,S3,S4,S5;S2,S10,S6,S8;SK,S9,SJ,SQ;C4,C9,C8,C7;CQ,C10,DK,CJ;D7,D8,D3,D9;D5,D10,D2,DJ;H4,H7,H5,H2;DA,HA,DQ,SA;CK,HQ,D4,D6;H8,H3,H10,H9;HK,H6,HJ,CA"
1571927311,1,5,0,"DJ,C8,C4,C2;S6,S4,D6,S2;S7,D4,S5,S8;S10,HA,S3,S9;HQ,C9,C7,C3;SJ,DK,HJ,SQ;DQ,C10,H9,CJ;D10,C6,H7,CQ;D7,C5,H6,CK;D5,D9,H5,D2;H4,DA,SA,CA;H3,D8,H10,H8;HK,H2,D3,SK"
1571927311,1,0,0,"C4,C7,C5,C2;S9,DA,S4,S5;DQ,S8,S6,S10;DJ,S7,SK,SJ;CJ,C6,C10,CQ;C8,CK,C9,CA;D3,D4,D6,D2;DK,SQ,D9,S2;C3,S3,D8,SA;H4,H5,H8,H2;HQ,HA,D10,D5;HJ,H3,H9,H6;H7,H10,HK,D7"
1571927311,1,26,0,"CJ,C4,DQ,C2;S2,S3,SK,S4;SJ,SQ,S10,SA;CQ,C9,DJ,C3;C10,D10,C8,CK;D5,D3,D6,D2;DK,DA,S8,C5;D4,S9,S6,C6;HQ,S7,HA,C7;H10,S5,HK,CA;H9,HJ,H7,D7;H8,H5,H6,D8;H3,H4,H2,D9"
1571927311,1,2,0,"C8,CA,C7,C2;SQ,S9,S2,S3;DA,S10,SJ,SK;C6,C9,D10,C10;C5,CJ,D5,CQ;D8,D7,D3,D4;CK,D2,DK,C3;S5,DJ,C4,S6;S7,D9,HK,S8;SA,D6,HQ,DQ;H10,H3,H4,H5;HA,H6,H8,S4;H9,H2,H7,HJ"
1571927311,1,13,0,"C3,C7,C4,C2;C9,C10,DK,CJ;CK,CQ,D8,CA;D3,D4,D2,D5;D7,D9,SQ,D10;D6,DJ,S9,DQ;C5,C8,S8,DA;H7,H8,H3,H2;S3,HK,S4,S5;S6,HJ,SJ,SK;S2,H10,S10,SA;H9,H6,S7,C6;H4,H5,HQ,HA"
1571927311,1,0,0,"C3,C5,C4,C2;S3,S7,S2,S4;S6,S10,SJ,S8;S9,SQ,D8,SK;C9,CJ,C8,C10;D4,DA,DQ,S5;CQ,DJ,D5,SA;C7,D7,D3,D9;C6,D6,CA,D10;HA,D2,CK,DK;H6,H4,H3,H2;H10,H7,H8,H9;H5,HJ,HQ,HK"
