1571988703,1,4,3,"C9,CJ,CK,C2;DK,DJ,DA,D5;DQ,D9,D8,D6;D3,D7,D2,D4;C7,CQ,CA,C6;S10,S6,SK,S4;C8,SQ,C5,C4;S9,S3,SJ,S7;SA,HQ,C3,C10;H9,H8,HA,D10;H3,H6,HJ,H4;H10,H5,S8,S2;HK,H7,H2,S5"
1571988703,1,0,3,"CK,CA,C10,C2;DJ,D8,DQ,D6;SA,C9,CJ,C6;D10,DA,D9,D3;D7,HQ,SQ,D5;H8,HK,DK,D4;S4,S5,S10,S2;SK,H9,S3,S6;H6,H7,S9,S8;SJ,H5,C7,S7;H2,C5,H3,H4;D2,C4,HJ,H10;HA,C8,C3,CQ"
1571988703,1,22,3,"CA,CK,CJ,C2;DK,DJ,DQ,D5;D2,D9,DA,D4;SA,SK,S9,S7;HQ,D8,D10,D3;CQ,C10,C9,C8;C7,C3,HA,C6;SQ,H9,HK,C5;HJ,H7,H8,C4;S8,H6,S10,S5;SJ,S6,H4,S4;H10,H3,S3,S2;H5,D6,D7,H2"
1571988703,1,4,3,"CK,CA,CQ,C2;D8,DQ,SA,D6;HQ,DA,SQ,D5;C7,CJ,C5,C3;H10,DK,SK,D4;S10,SJ,S4,S9;H9,DJ,H7,D3;C6,C8,C4,C9;H6,HK,H8,C10;S8,D10,H5,D7;H3,D9,S7,D2;S6,HJ,H2,H4;S2,HA,S5,S3"
1571988703,1,1,3,"CK,C9,CA,C2;DQ,DK,D5,D3;D4,DA,DJ,D2;CJ,C5,C7,C6;D10,SQ,D8,D6;HA,CQ,C3,C4;S9,SK,S10,S3;S6,SA,S7,S4;S5,SJ,HK,S2;HQ,H2,H10,S8;HJ,D7,H7,D9;H6,C10,H3,H4;C8,H5,H9,H8"
1571988703,1,7,3,"C5,CK,CQ,C2;C9,CA,C3,C6;DK,D9,DA,D6;D10,DQ,D7,D4;S10,SA,S5,S4;D8,DJ,HK,D3;S7,SK,SQ,S8;D5,H8,HQ,D2;H5,C10,C8,CJ;H2,H10,H6,H3;HA,HJ,H4,C4;S3,H9,SJ,S6;C7,S2,H7,S9"
1571988703,1,0,3,"C9,CK,CA,C2;DA,DQ,DK,D6;D8,D10,D3,D5;SQ,DJ,D7,D4;SA,D9,HA,D2;SJ,S5,SK,S2;S10,S9,S4,S3;C10,CJ,H8,C8;H7,CQ,C7,C6;HK,H3,H5,H6;C5,H4,HJ,C3;H2,H10,S8,C4;S7,H9,S6,HQ"
1571988703,1,9,3,"CA,CJ,CQ,C2;DQ,D8,DA,D4;D10,D6,SQ,D3;C10,C8,CK,C4;C9,SA,C7,C6;S6,S10,SJ,S4;SK,H10,C5,C3;S7,S3,S2,S5;D7,D5,HA,D9;HQ,D2,HK,DJ;H9,H8,H6,DK;H2,H4,S9,H3;S8,HJ,H7,H5"
1571988703,1,2,3,"C10,C7,CA,C2;DJ,DA,D8,D4;S4,HJ,SA,S6;DK,D7,D10,D6;S2,H7,S10,S5;C8,C6,CK,C4;HK,DQ,D5,D3;SQ,H3,S9,S7;D2,H2,H8,H4;HA,CQ,S8,SJ;HQ,CJ,S3,SK;H6,C9,H10,D9;H5,C5,C3,H9"
1571988703,1,1,3,"C5,CQ,CA,C2;DA,D8,D5,D6;D4,SQ,DK,D2;S9,SK,SJ,S4;H7,DQ,DJ,D3;S8,HQ,S7,S2;H10,S5,SA,S6;HA,H9,S3,S10;C9,C4,CJ,C7;CK,HJ,H8,C6;H5,H6,C8,C10;D9,H4,H2,D10;D7,H3,C3,HK"
1571988703,1,25,3,"CJ,CA,C10,C2;C7,CK,C4,C5;DA,D9,DJ,D6;D8,D10,DQ,D2;DK,SK,D7,D4;S5,SJ,SA,S2;HA,CQ,C6,C3;S8,S10,S9,S4;S7,S3,S6,SQ;HQ,C8,H9,C9;H5,H6,H3,H7;H8,H10,D5,HJ;H4,H2,D3,HK"
1571988703,1,0,3,"CJ,CQ,CA,C2;C4,C10,C9,C6;DQ,DJ,D4,D5;D8,SQ,DA,D6;D10,HA,SA,D3;H10,H9,DK,D2;SK,S6,S10,S7;CK,H6,HK,C5;H5,HQ,C7,C3;S5,S8,H3,S9;S2,S4,H2,SJ;H7,H4,D9,H8;C8,S3,D7,HJ"
1571988703,1,0,3,"CQ,C9,CA,C2;SJ,S3,SA,S6;DQ,DK,DA,D6;D8,D10,D5,D2;S10,SQ,SK,S5;C10,CK,CJ,C5;DJ,HK,D7,D4;H10,HA,C7,C6;D9,H9,HJ,D3;H7,H5,C3,C4;H6,H2,H8,C8;S9,S8,H3,H4;S4,S2,S7,HQ"
