1571988777,1,4,2,"CK,C7,CA,C2;DK,DJ,DA,D4;DQ,D9,D8,D6;CQ,CJ,H9,C4;D7,D3,D10,D5;C10,C9,H8,C3;SK,H5,HA,D2;SJ,S10,S5,S3;H4,C8,SQ,C6;SA,S4,S9,S2;HK,S8,HQ,S7;HJ,H6,H7,S6;H10,H3,C5,H2"
1571988777,1,10,2,"CA,C7,CK,C2;SA,SK,S10,S5;DJ,DA,DK,D5;D10,D2,D6,D4;SJ,S8,S7,S2;C8,CQ,CJ,C5;C10,C3,C6,C4;S9,S6,S3,SQ;H10,HQ,HK,C9;H6,D3,DQ,D9;HA,H3,HJ,D7;H9,H2,H7,D8;H5,S4,H4,H8"
1571988777,1,19,2,"C10,CA,CK,C2;SA,HJ,SK,S5;DA,DK,DJ,D5;D10,D9,DQ,D2;H10,D6,D8,D4;S9,H5,SJ,S4;D7,HK,H3,D3;S8,H2,S2,S10;CJ,CQ,C9,C8;C7,HA,H8,C6;H9,S7,C5,SQ;H6,S6,C4,H4;S3,C3,HQ,H7"
1571988777,1,21,2,"C10,CK,CA,C2;D8,DK,DA,D5;DQ,D4,D7,D6;D2,SQ,DJ,D3;C9,CQ,C7,C6;C4,SA,C5,C3;S8,SK,SJ,S5;S10,S7,S4,S2;S3,H8,HK,S6;HA,H6,HQ,S9;D10,H2,H9,D9;CJ,H4,H5,H3;HJ,C8,H7,H10"
1571988777,1,0,2,"CK,CA,CJ,C2;D7,DK,D8,D4;D6,DA,SK,D5;HK,DQ,D3,D2;CQ,C8,C10,C4;SQ,C6,C9,C5;S7,SA,S9,S6;S3,S10,S4,S8;S2,SJ,HJ,S5;H9,D10,HA,DJ;H6,HQ,H2,H3;H7,H10,C3,C7;H4,H5,H8,D9"
1571988777,1,7,2,"CJ,CA,CK,C2;SQ,SK,SA,S5;DA,DQ,DJ,D4;HA,SJ,S4,S7;D9,DK,D8,D5;H6,S9,S3,S8;C9,HK,CQ,C5;HQ,D3,D10,D6;H3,S6,S2,S10;D2,HJ,H5,D7;H2,H9,H4,H7;C8,H10,C10,C3;C7,C4,H8,C6"
1571988777,1,19,2,"C10,CJ,CA,C2;D10,DK,DA,D5;CK,CQ,C7,C3;S8,SK,S10,S2;DQ,D9,D8,D3;SA,S6,S9,S5;S4,HK,S7,SJ;H10,H8,S3,SQ;C5,C6,C8,C9;D6,DJ,HA,D7;HQ,HJ,D4,D2;H5,H4,H3,H6;C4,H2,H9,H7"
1571988777,1,3,2,"C8,CA,C9,C2;DK,DJ,DQ,D5;D9,D10,DA,D6;D8,SQ,D7,D3;HJ,D4,H9,D2;CQ,C6,CK,C5;SK,SJ,SA,S5;S8,S10,S9,S4;C7,HA,CJ,C3;HK,C4,H10,C10;HQ,H3,H5,H4;H6,S7,H8,S6;H7,S3,H2,S2"
1571988777,1,0,2,"CA,CQ,C7,C2;C10,SA,C8,C6;D7,DK,DA,D5;C9,SK,C3,C5;H8,SQ,CK,C4;S9,SJ,S8,S6;DJ,DQ,D9,D6;S4,H4,S7,S10;HQ,H3,HA,CJ;H5,H2,D10,H6;H10,D4,D8,H7;D3,S5,HK,S2;H9,HJ,D2,S3"
1571988777,1,4,2,"C8,C10,CA,C2;DA,DK,D5,D6;S8,SK,HK,S5;CQ,CK,C5,C6;S6,S10,H10,S2;H8,SA,S3,S4;H9,S9,H6,SJ;H4,S7,DQ,SQ;DJ,HQ,D10,D7;H5,D9,HA,D4;HJ,D8,H3,D2;C9,CJ,H7,D3;C7,C3,H2,C4"
1571988777,1,3,2,"CA,C5,CK,C2;DK,DQ,D9,D2;D10,D4,DA,D5;C3,CJ,CQ,C6;SK,SJ,SA,S6;HA,H9,DJ,D6;S10,S9,S8,S7;HQ,C10,D7,D3;H4,H3,C9,H2;S5,S4,H10,SQ;HJ,C8,H8,C7;H7,HK,H6,C4;H5,D8,S2,S3"
