1571988781,1,3,2,"C9,C10,CA,C2;CQ,C8,C7,C4;DQ,D2,DK,D6;SQ,SK,SJ,S6;HK,DJ,DA,D3;D10,H10,D7,D5;C6,CK,CJ,C5;HQ,S10,S9,S5;S7,SA,H9,S4;H8,S3,H7,S8;D8,HJ,H3,H2;H6,HA,D4,S2;H5,H4,C3,D9"
1571988781,1,0,2,"CA,C9,CK,C2;DK,D7,DQ,D5;SA,S2,S10,S4;DJ,DA,D10,D6;SQ,H7,D9,D2;HK,SK,H5,D4;HJ,HA,H2,D3;CJ,C8,CQ,C3;C10,C6,H10,C5;C4,H8,S9,C7;H9,H6,S8,D8;H3,SJ,S6,H4;S5,S7,S3,HQ"
1571988781,1,10,2,"C8,CJ,CK,C2;DA,DJ,DK,D5;D9,D6,DQ,D4;CA,C3,C9,C5;SK,C6,CQ,C4;S2,SJ,SA,S3;SQ,D10,D7,D2;H2,HA,C10,C7;H10,S8,S9,S10;H4,D3,H6,H3;HQ,H9,S6,S7;H7,H8,S5,HJ;H5,D8,S4,HK"
1571988781,1,0,2,"CQ,CA,C7,C2;C5,CK,C9,C4;DA,DK,DQ,D6;D9,DJ,D5,D4;S10,S9,SA,S4;SK,S6,S5,SJ;H10,S3,H5,S2;D7,D10,D2,D3;H9,HA,H4,S7;H7,HK,H3,S8;H6,HQ,H2,SQ;CJ,HJ,C10,D8;C6,C3,C8,H8"
1571988781,1,17,2,"CA,C10,CK,C2;DA,DJ,DK,D6;CQ,C9,CJ,C3;H10,D8,DQ,D3;SJ,S10,HJ,S4;H8,D5,D10,D2;S9,S8,H9,S7;C4,C7,SQ,C8;H5,D4,SA,D7;S6,H3,SK,D9;S5,H2,HQ,H4;H7,S3,C6,HK;H6,S2,C5,HA"
1571988781,1,0,2,"CK,CA,CJ,C2;DA,D10,D7,D2;D6,HK,DK,D5;SQ,C10,CQ,C6;SK,SA,S8,S6;D3,HQ,DQ,D4;H2,C5,C9,C4;S9,SJ,HJ,S5;H8,S10,S4,S3;HA,S2,H7,S7;C8,DJ,C3,C7;D9,H4,H9,H5;H6,D8,H3,H10"
1571988781,1,23,2,"CA,C10,CK,C2;DA,DQ,DK,D5;DJ,SQ,HJ,D6;HQ,H8,D10,D4;D8,H7,C8,D3;S7,SJ,SA,S4;D7,H6,C7,D2;S5,S10,SK,S8;HA,S2,S9,S6;H10,CQ,CJ,C6;C5,C4,H9,C9;H4,C3,H2,H5;H3,S3,D9,HK"
1571988781,1,8,2,"C10,CA,CQ,C2;DA,DK,D6,D4;DQ,D2,D7,D5;SQ,H7,DJ,D3;SA,SK,SJ,S5;S2,S9,S7,S4;C8,CK,C7,C6;HK,S6,HA,S8;H9,S3,HJ,S10;C5,CJ,H8,C9;D10,HQ,H6,C4;D9,H10,H3,C3;D8,H4,H2,H5"
1571988781,1,4,2,"CQ,CJ,CA,C2;DK,DA,D7,D4;D2,DQ,D10,D6;SJ,SA,SK,S3;HA,D9,D5,D3;S6,S10,S4,S2;C10,C8,CK,C4;SQ,C7,HQ,C5;H2,C9,HK,C6;H8,HJ,D8,C3;H5,H3,S9,H4;H10,S8,H9,S5;H6,DJ,H7,S7"
1571988781,1,19,2,"CK,CA,CJ,C2;DJ,DK,D4,D3;SA,DA,D9,D5;D6,DQ,SK,D2;C10,HQ,C9,C6;H8,C4,CQ,C3;C8,H2,SQ,C5;S8,SJ,S10,S3;H9,HJ,S7,S6;S9,H7,H10,S5;H4,H5,D10,H3;S4,HA,D8,C7;S2,HK,D7,H6"
1571988781,1,0,2,"CA,CK,CQ,C2;DJ,DA,D10,D3;SQ,DK,D9,D6;D8,DQ,SA,D2;HK,HA,D4,D5;C9,C3,C7,C4;HQ,C6,CJ,C5;HJ,S6,SK,S7;S10,H8,S5,S4;H6,H10,SJ,S8;H3,H5,H9,S3;D7,H2,H7,S2;C10,C8,H4,S9"
