1571989185,1,0,2,"CK,CA,CJ,C2;S8,SA,S7,S3;S2,SJ,S5,S4;HK,SK,HA,S9;H9,SQ,HQ,S6;C8,CQ,C9,C3;H8,HJ,H10,S10;H4,C10,H7,C4;H2,C7,DQ,C5;DJ,H6,D9,C6;D8,DA,D7,D4;D5,DK,D6,D10;D2,H3,D3,H5"
1571989185,1,0,2,"CK,CQ,CA,C2;S8,S10,SA,S2;SJ,S7,S6,S4;HA,S5,SK,S9;HK,HQ,S3,SQ;C9,C4,CJ,C5;H10,C7,C3,C8;H9,C6,DK,C10;D9,D8,DJ,D3;DA,D2,D4,D5;H8,H7,D10,DQ;H4,H3,D7,H2;H6,D6,HJ,H5"
1571989185,1,19,2,"CA,CJ,C7,C2;SJ,S3,SA,S2;SK,S9,HK,S6;S7,H10,S10,S5;H7,S4,H4,S8;H6,HQ,H2,SQ;CK,C10,C4,C5;H8,C3,HA,C6;H3,D10,HJ,C8;DA,D9,H9,C9;DK,D6,H5,CQ;D8,D5,DJ,D4;DQ,D3,D2,D7"
1571989185,1,16,2,"CQ,C9,CK,C2;SK,S10,S6,S3;S5,HJ,SA,S8;SJ,S2,H8,S4;CJ,C5,C7,C8;C3,SQ,CA,C4;C6,H5,H7,C10;DA,D10,DQ,D6;D5,DJ,HA,D3;HQ,HK,H4,S7;H10,DK,H2,S9;H9,D9,D4,D8;D2,H6,H3,D7"
1571989185,1,13,2,"C10,CA,CK,C2;SJ,SA,SK,S2;S9,S3,S6,S7;C8,C7,CQ,C4;HQ,HK,S5,S8;H10,HJ,S4,S10;C9,C6,SQ,C3;H9,HA,CJ,C5;D10,DK,DA,D6;D9,D5,DQ,DJ;H8,D8,D3,D2;H4,D4,H7,D7;H3,H5,H2,H6"
1571989185,1,2,2,"CJ,CK,CA,C2;S9,SA,SJ,S3;S10,SK,S8,S2;S5,S6,HA,S7;HJ,S4,HK,SQ;C7,C9,CQ,C3;HQ,H9,C6,C5;C10,H10,H8,C4;H5,H7,H6,C8;DA,DK,D10,D3;D8,D9,DQ,D5;D6,D4,D7,DJ;H2,H3,D2,H4"
1571989185,1,6,2,"CQ,CK,CA,C2;SK,SJ,S6,S2;S9,HA,SA,S7;S10,S3,H10,S4;SQ,H9,S5,S8;CJ,C9,C8,C3;C4,C7,C10,C5;H7,HJ,HK,C6;DJ,DQ,DK,D5;H2,H5,D10,H3;D8,HQ,DA,D4;D9,D3,H8,D6;D2,H4,H6,D7"
1571989185,1,22,2,"CA,CQ,CK,C2;SA,SJ,S10,S5;S6,S7,S9,S3;CJ,C3,C10,C5;S2,S4,HA,S8;HJ,HK,H9,SQ;H8,HQ,H7,SK;H5,C8,DK,C4;D10,C9,H4,C6;DQ,D7,D6,D2;H10,D5,DA,D9;DJ,H6,D4,D8;C7,D3,H2,H3"
1571989185,1,1,2,"CA,SK,C10,C2;S9,S10,SA,S3;CK,HA,C6,C4;S8,S7,HJ,S5;SQ,H7,SJ,S2;CQ,CJ,HK,C3;C8,HQ,H5,C5;H9,H3,C9,C7;D6,DK,DA,D3;DQ,D5,H4,D2;H10,H2,DJ,D4;D10,H8,S6,D8;H6,S4,D9,D7"
1571989185,1,2,2,"CK,CQ,C7,C2;SA,S9,S10,S7;HJ,S5,S8,S2;CJ,C6,CA,C3;HK,SK,H9,S3;H7,S4,HQ,S6;H2,SQ,H3,SJ;C9,C10,C5,C4;DA,DJ,DQ,D9;D7,D10,HA,D2;H8,DK,H10,D3;H4,D8,H6,D4;H5,D5,C8,D6"
1571989185,1,0,2,"CA,CQ,CJ,C2;SK,S8,SJ,S7;S4,S10,SA,S2;C8,C6,C9,C5;HA,S6,S3,S9;CK,HQ,C3,C4;H4,SQ,C7,C10;DA,D7,DK,D3;HK,H8,H9,S5;HJ,D8,DQ,D6;DJ,H10,D4,D5;H6,D2,H7,D9;H5,H2,H3,D10"
1571989185,1,7,2,"C9,CQ,CK,C2;S3,S10,SJ,S6;SA,S2,S9,S5;SQ,S4,S8,SK;CA,C8,C4,C6;HA,C3,CJ,C5;C10,H5,HJ,C7;DA,DK,DJ,D4;D2,D9,D7,D5;HK,DQ,H10,D3;H7,D6,H9,D8;H6,HQ,H4,D10;S7,H8,H3,H2"
1571989185,1,7,2,"CK,CQ,C9,C2;S7,SA,S6,S4;S2,SJ,S3,S8;H10,SK,HA,S5;H9,S9,H8,S10;CA,C8,CJ,C6;C3,C5,HQ,C7;SQ,C4,HJ,C10;DA,DK,D10,D3;DQ,D6,DJ,D2;H4,D8,H2,H3;D7,D9,H7,D5;H5,H6,D4,HK"
