1571990118,1,25,0,"CK,CQ,C6,C2;D8,DK,DQ,DA;D7,D6,D10,DJ;D5,D4,D9,D3;C10,CJ,HK,CA;SA,SK,SJ,S6;S7,S9,S10,S5;H6,HA,S4,S8;H5,HQ,S3,SQ;C9,C7,HJ,C4;H9,H10,C5,C3;D2,H4,H2,H7;C8,H3,S2,H8"
1571990118,1,8,0,"C6,CQ,CJ,C2;DJ,DK,DQ,DA;D10,D5,D8,D9;CA,C3,C10,C5;H7,C8,SA,CK;S9,S8,SK,S4;H3,H2,HJ,H4;HK,SJ,S5,S2;S3,S6,HQ,S7;D6,SQ,H9,S10;H8,C9,D4,C4;D3,HA,H6,C7;D2,D7,H5,H10"
1571990118,1,3,0,"C8,CQ,CK,C2;D5,DA,DK,DQ;D9,DJ,HQ,D10;H8,D7,D8,D6;SQ,H7,D3,D4;SA,S8,SK,S9;S3,S7,HA,S4;HJ,SJ,S2,S6;H4,H10,H3,S5;CA,H6,H2,S10;C9,C7,CJ,C10;HK,C6,H5,C3;D2,C4,H9,C5"
1571990118,1,14,0,"C10,CK,CA,C2;D3,DA,DK,DQ;D10,DJ,HJ,D7;H4,D6,D9,D8;D2,CQ,SQ,D5;SA,SJ,S10,S2;S8,S6,S3,S4;HK,HA,SK,S5;CJ,H8,H10,S7;C8,H6,H9,S9;C6,C9,H7,C7;H5,HQ,C4,C5;D4,H2,C3,H3"
1571990118,1,4,0,"CQ,CA,C7,C2;DQ,DK,DA,D9;SK,C6,CK,CJ;HK,D7,D8,DJ;HQ,D6,D5,D10;S7,S10,SA,S5;S9,S4,S8,SJ;C4,C10,HA,C5;S6,HJ,SQ,S2;C9,H10,H9,C3;H7,H6,H8,C8;H4,D4,H3,H2;D2,D3,H5,S3"
1571990118,1,1,0,"CA,C7,CJ,C2;DQ,DJ,DA,DK;D10,D9,HA,D6;D8,HJ,D5,D7;H10,D3,D4,D2;SA,S10,SK,SJ;S9,S6,H7,S5;S4,H6,S7,S2;S8,S3,H3,SQ;H2,H8,CQ,H4;C9,HK,C6,C8;HQ,C4,CK,C3;C5,H5,H9,C10"
1571990118,1,18,0,"CA,C6,C8,C2;DQ,DK,D9,DA;D7,DJ,D6,D10;D3,D4,SA,D8;SK,HJ,HA,D5;S2,S6,S10,S3;SJ,HK,S4,S5;H7,H8,S9,S7;SQ,H4,H5,S8;CK,CQ,C4,C3;CJ,H9,HQ,C5;H6,H10,C10,C7;C9,H3,D2,H2"
1571990118,1,1,0,"C9,CA,CQ,C2;DK,DA,D7,DJ;D3,D4,DQ,D9;D5,SQ,D2,D10;H10,HA,HQ,D8;SJ,S9,S10,SK;S8,S5,S7,SA;C10,C7,CK,C3;H4,S2,S4,S3;HJ,H2,H5,H3;D6,H8,HK,S6;C8,C4,H9,C5;H7,H6,CJ,C6"
1571990118,1,1,0,"CA,CJ,CK,C2;D8,DK,DJ,DA;D7,DQ,D10,D2;HA,SK,D5,D9;HK,HJ,D4,D6;S8,S10,SA,S4;SJ,S2,S7,SQ;C10,CQ,C8,C6;C5,HQ,C7,C9;H6,H3,H9,H2;H10,S6,H7,S9;H8,S5,H5,C3;H4,S3,D3,C4"
1571990118,1,0,0,"CJ,CA,C7,C2;DJ,DQ,D10,DA;D8,D5,D7,DK;D6,SQ,SA,D9;D3,HA,HK,D4;S10,S9,SJ,S3;SK,S7,S6,S2;HQ,HJ,H9,S4;H8,H2,H6,S5;H7,CK,H4,S8;C4,CQ,C8,C3;C6,H10,H5,C9;C5,H3,D2,C10"
1571990118,1,4,0,"CA,CQ,C9,C2;D10,DA,D9,DK;D8,D6,D3,DQ;D2,SQ,HK,DJ;SA,HQ,HJ,D7;SK,S9,S6,S5;S2,S4,S10,SJ;CK,H10,C8,C3;H8,C5,C7,C4;H2,H3,D5,H4;CJ,H6,D4,H5;S8,HA,C10,S3;H9,C6,H7,S7"
1571990118,1,5,0,"C9,CJ,CA,C2;DQ,D9,DA,DK;D10,DJ,HA,D7;HQ,D3,D8,D5;SQ,H10,D2,D6;CK,C8,C4,C3;S10,SA,HK,S6;H6,SK,S9,S2;S7,S8,H5,SJ;H3,HJ,C10,C6;CQ,S5,H9,C5;S4,H7,D4,H2;C7,H4,S3,H8"
1571990118,1,5,0,"C5,CQ,CJ,C2;D10,DA,DK,DJ;D7,D6,D9,DQ;D4,D5,SA,D8;D3,C8,SK,D2;SJ,S8,S10,S2;HK,HJ,S9,S3;S7,HQ,H6,S6;H10,H4,SQ,S4;C6,H5,CA,H2;CK,HA,C4,C10;H9,C3,H8,C7;H3,S5,H7,C9"
1571990118,1,3,0,"C9,CA,CK,C2;D3,DK,D10,DA;SA,D8,D9,DQ;HA,D7,D5,DJ;HJ,D4,D2,D6;CQ,CJ,C7,C3;SK,S9,HK,S4;S8,HQ,SJ,S3;S7,S2,H9,S5;SQ,H6,S10,S6;H5,H8,H3,H2;C5,H7,C10,C4;C8,H10,H4,C6"
