1571993045,1,25,3,"CQ,C10,CK,C2;DQ,DK,DJ,DA;D4,D7,D10,D9;D8,D2,H10,D6;CA,CJ,C6,C9;C3,C4,C7,C8;S10,S5,SK,S6;SA,S7,SQ,S3;S2,HK,S4,S8;H8,H9,HA,S9;H6,H3,H7,SJ;H5,D5,H2,HJ;H4,D3,C5,HQ"
1571993045,1,0,3,"CK,C10,CA,C2;DQ,DJ,DA,D8;SQ,D7,D9,DK;SK,D4,D5,D10;H10,D3,D2,D6;CQ,CJ,C7,C8;S8,SJ,SA,S3;H8,HK,S9,S2;S10,H6,H9,S4;H4,H7,S6,S7;C6,H3,H5,H2;HA,C5,C9,S5;HJ,C3,C4,HQ"
1571993045,1,18,3,"C9,C7,CA,C2;CQ,SK,C6,CK;CJ,HK,C4,C10;D10,DA,SQ,DK;H10,DJ,D9,DQ;H9,SA,D8,D7;SJ,S4,S8,S5;S2,S7,S9,S6;D4,H7,HJ,D2;H5,S3,HQ,S10;H2,H6,D6,D3;HA,C8,H3,D5;H4,C3,C5,H8"
1571993045,1,0,3,"CA,CJ,C10,C2;DK,DJ,DQ,DA;D9,D6,D4,D10;D8,SK,D2,D5;HA,SQ,D3,D7;HJ,C5,CK,C9;S9,S10,SA,S7;SJ,S2,S8,S6;C7,H3,C3,C6;H2,HK,CQ,C4;HQ,S5,H7,C8;H9,S4,H4,H5;S3,H6,H8,H10"
1571993045,1,15,3,"CQ,C10,CA,C2;DQ,D7,DJ,DA;D6,HQ,D10,DK;SQ,HJ,D8,D9;CJ,C5,C9,CK;SK,C3,C4,C8;S9,S10,SA,SJ;H9,S5,S7,S8;H6,HA,H5,D2;H4,HK,H3,D3;H2,H8,S6,D4;C7,H7,S3,D5;C6,S4,S2,H10"
1571993045,1,0,3,"CK,CA,CQ,C2;DK,DA,D6,D5;H9,D3,D7,DQ;H5,SQ,D2,DJ;H3,HA,H10,D10;H2,HQ,H4,D9;SJ,S6,S10,S7;S5,S4,SA,S2;S9,HJ,S3,SK;C8,C6,CJ,C4;HK,C5,H8,C7;D8,C3,H7,C9;D4,S8,H6,C10"
1571993045,1,5,3,"CA,C10,C7,C2;C9,C5,CQ,CK;C4,SQ,HA,CJ;C3,SK,H9,C8;H7,HQ,DA,C6;S10,SJ,S7,S9;S6,SA,S2,S8;H2,H6,S5,S4;HK,DK,H5,S3;HJ,DQ,D10,D4;D9,DJ,H10,D2;H8,D6,D7,D5;D8,H4,D3,H3"
1571993045,1,16,3,"CJ,CK,CA,C2;DJ,DQ,D10,DA;D4,D5,D9,DK;SQ,SA,D8,D6;D3,HA,SK,D7;C5,C9,C7,CQ;SJ,S5,S9,S3;S4,S8,S6,S2;H5,H7,H3,H2;HK,HQ,HJ,S7;H4,H10,H6,S10;C6,H9,C10,C4;D2,C3,H8,C8"
1571993045,1,3,3,"C10,C8,CJ,C2;DK,DQ,DA,D3;SA,D8,DJ,D7;D6,HQ,HA,D10;D5,HJ,H10,D9;D4,H8,H5,D2;S10,S4,SJ,S3;SK,S7,H4,S2;S6,H2,S8,S5;SQ,C9,CA,C3;C5,HK,C6,C7;H7,H9,C4,CQ;H3,S9,H6,CK"
1571993045,1,7,3,"C9,CA,CK,C2;DQ,DA,DJ,DK;D9,D7,D10,D4;D3,D2,D6,D8;CJ,C8,C7,CQ;C10,C5,C3,C6;SK,S7,SA,S2;SJ,S8,S5,S10;S6,HJ,SQ,S4;HA,HQ,H10,C4;H2,H3,H5,H4;HK,H7,H9,D5;H8,S9,S3,H6"
1571993045,1,0,3,"CA,C7,CK,C2;D8,D5,DA,DJ;D9,D4,D3,DK;D7,H8,SK,DQ;D2,H6,HA,D10;HJ,H5,HK,D6;H9,S9,SJ,S5;SA,H7,S7,S2;H3,S6,S8,S10;C9,S3,S4,SQ;C8,C4,CQ,C3;CJ,C6,H4,C10;C5,H2,H10,HQ"
1571993045,1,0,3,"CA,CQ,CJ,C2;D7,DQ,D10,DA;D5,HA,D9,DK;D4,HK,D2,DJ;SA,HQ,SK,D8;H10,H9,H6,D6;SJ,S8,S6,S3;S2,S5,SQ,S7;C9,C6,C8,C7;H8,S4,HJ,S9;H7,H4,D3,S10;C4,H3,CK,C5;H5,C3,H2,C10"
