1571994344,1,2,1,"CK,C8,CQ,C2;DK,D9,DQ,DA;DJ,D6,D8,D10;D3,D4,D5,D7;SA,SK,SQ,D2;S6,S8,SJ,S5;S10,S3,H9,S4;S2,H8,S9,S7;C6,C4,CA,C5;CJ,HQ,C3,C7;H10,HK,C10,C9;H2,H6,H5,H3;HJ,H4,HA,H7"
1571994344,1,7,1,"CQ,CJ,CA,C2;D3,DK,D8,DA;SQ,DQ,D6,D10;D2,SK,HA,DJ;SA,H6,H10,D9;S10,SJ,H9,S2;H7,HQ,S8,S4;S9,H3,H4,S3;CK,H2,HK,S5;C10,D7,HJ,S6;C9,D5,H8,S7;C7,C8,C6,C5;C4,H5,C3,D4"
1571994344,1,16,1,"CQ,CJ,CA,C2;DQ,D4,DK,DA;DJ,HK,D5,D10;H9,D3,D6,D9;H3,SK,SQ,D8;SJ,S8,SA,S4;S7,S10,HA,S2;H8,S5,HJ,S6;H6,S3,H10,S9;C10,CK,C5,C3;H2,C9,H5,H4;HQ,D7,C7,C6;C8,H7,D2,C4"
1571994344,1,14,1,"DQ,CK,CJ,C2;D9,D6,DJ,DA;SA,D4,D8,DK;H8,SK,D7,D10;H3,CA,SQ,CQ;HK,S9,SJ,S7;H7,HQ,HA,S2;H5,HJ,H9,S3;H4,H10,C10,S4;H2,H6,C8,S5;C9,D5,C7,S6;C6,D3,C4,S8;C5,D2,C3,S10"
1571994344,1,0,1,"C10,C8,CA,C2;DA,DQ,D5,DK;DJ,D4,D9,D7;SQ,D6,D2,D10;HJ,HA,SK,D8;S6,S9,S10,S4;SA,S5,S3,S7;S2,H10,HK,S8;H5,H9,H8,SJ;C5,CK,CQ,C7;C9,HQ,C4,CJ;H4,H7,H3,H2;C3,H6,C6,D3"
1571994344,1,0,1,"CA,C10,CQ,C2;H10,DK,DA,DJ;D10,H9,DQ,D9;D2,D5,H8,D8;HK,D3,H7,D7;S4,SK,S8,S5;S7,SA,HJ,S6;H6,SJ,S3,S10;S2,HA,H5,S9;H4,D6,H3,SQ;C4,CJ,CK,C5;C6,C3,C9,C7;C8,HQ,H2,D4"
1571994344,1,24,1,"CQ,CA,C9,C2;DK,D10,DA,DQ;DJ,D8,SQ,D9;D7,HA,D4,D5;CJ,D3,SA,D6;SJ,SK,S10,S2;S6,HK,S9,S8;H10,S4,HQ,S3;C7,C8,C10,C5;H6,H2,C4,H3;HJ,C3,H8,C6;H4,S7,H7,CK;D2,S5,H5,H9"
1571994344,1,0,1,"CA,CQ,C7,C2;DA,D10,D9,DQ;D8,D7,D2,DK;D6,D4,H3,DJ;C4,C6,CK,C3;S6,SK,SA,S2;S9,HA,SJ,S3;S10,S4,HK,S5;CJ,HQ,SQ,S7;D3,C10,HJ,D5;H8,C9,H2,H4;C8,H10,H6,S8;C5,H7,H5,H9"
1571994344,1,23,1,"CJ,CA,CK,C2;D9,DA,D8,D10;SA,D7,D4,DK;HA,D6,D2,DQ;HQ,D3,H9,DJ;S8,SK,SJ,S2;S10,S9,S7,S6;S4,H7,SQ,S3;C7,C8,C9,C10;C6,C3,C5,CQ;H6,H8,H4,H10;H3,H5,H2,HJ;S5,D5,C4,HK"
1571994344,1,1,1,"C9,CA,C10,C2;DQ,D8,DA,D10;D9,DJ,D2,DK;D4,D7,SQ,D6;CK,HA,CJ,C6;SJ,S8,SK,S3;SA,S9,S5,S4;HK,C8,C5,C7;S10,HQ,S6,S2;HJ,H9,H8,S7;H3,H7,H2,H4;C4,H6,H10,D3;C3,H5,CQ,D5"
1571994344,1,18,1,"CQ,C7,CK,C2;DQ,D7,DK,DA;D10,D5,DJ,D3;HA,D9,SK,D6;HJ,D2,H3,D8;S5,SJ,S10,SQ;C10,SA,CJ,C8;HK,H10,S8,S3;S9,HQ,H7,S2;H9,H5,S4,S6;H2,C6,H8,S7;CA,C5,H6,C4;C3,H4,C9,D4"
