1571994350,1,24,2,"CQ,C10,CK,C2;DA,DJ,D5,DQ;D6,D4,D10,DK;SQ,D2,D9,D8;CA,C4,C8,CJ;SK,SA,S7,S2;HQ,S9,SJ,S3;S6,H8,S8,S5;C3,H10,C9,C6;HA,HJ,H9,C5;HK,H4,H5,C7;D7,H2,H3,H6;D3,S10,S4,H7"
1571994350,1,0,2,"CA,CJ,CQ,C2;DJ,DA,DQ,DK;HQ,D9,D10,D7;D5,HJ,D8,D4;D3,SA,H8,D6;S7,SK,S9,S2;S6,S10,S5,SJ;CK,C4,C9,C5;S8,HA,H10,S3;H4,H6,H7,S4;D2,H3,H5,SQ;C7,H2,C8,H9;C6,C10,C3,HK"
1571994350,1,25,2,"CK,CA,CQ,C2;DK,DA,D10,DJ;D8,D4,D5,DQ;D7,D2,D3,D9;C10,CJ,C6,C9;S5,SA,S10,S6;S9,SJ,S4,S7;HA,SK,S3,S8;C8,C7,C5,C4;HK,HJ,HQ,S2;H8,H9,H10,SQ;H7,H5,H3,D6;C3,H4,H2,H6"
1571994350,1,15,2,"C8,CQ,CA,C2;DA,D10,DQ,DK;D6,D7,DJ,D9;C10,C6,CJ,CK;C7,C5,C9,C3;S10,SK,SJ,SA;HA,H9,SQ,C4;HQ,D8,HJ,D4;S8,HK,S9,S5;H2,S7,H10,S2;H8,S6,D5,S3;D3,H6,H5,H3;H7,H4,D2,S4"
1571994350,1,26,2,"CK,C9,CJ,C2;DA,D8,DJ,DQ;D7,D6,D9,DK;D3,SA,SK,D10;HJ,H8,HA,D5;S6,SJ,S10,S3;S7,S9,S4,S5;S2,S8,HK,SQ;C8,CA,C3,C5;HQ,C7,C4,C6;H10,H4,H7,D2;H5,CQ,H6,D4;H3,C10,H2,H9"
1571994350,1,0,0,"C6,CA,C7,C2;D5,D8,DA,DK;DQ,D4,D2,D10;D3,HJ,SK,DJ;SQ,H7,HA,D9;SA,SJ,S10,S3;S5,S9,D7,S7;D6,H10,S4,S6;CQ,H9,S2,S8;CJ,H8,CK,C4;HK,C10,H6,C5;H5,C8,HQ,C3;H4,C9,H3,H2"
1571994350,1,0,0,"C10,CA,CQ,C2;DK,DQ,D9,DA;D10,D6,D5,DJ;D2,SA,D4,D8;HA,H3,D3,D7;S8,S10,SK,S7;S9,S4,S6,S3;H10,S2,SJ,SQ;C7,CK,C9,C5;HQ,C8,C6,C3;H5,H2,H6,H4;HK,H9,CJ,S5;HJ,H8,C4,H7"
1571994350,1,0,0,"CQ,CA,CK,C2;DQ,DA,D9,DK;C4,C8,C10,CJ;SA,C7,C3,C9;H9,C5,HA,C6;S10,SK,HK,S3;HQ,SJ,S6,S9;S4,HJ,H10,S5;S2,H8,H7,S7;H4,DJ,H6,S8;D8,D6,H2,SQ;D7,D3,D10,H3;D4,D2,D5,H5"
1571994350,1,10,0,"CA,CJ,CQ,C2;DK,DA,DJ,D8;D9,D6,D7,DQ;D4,D5,D3,D10;C10,CK,C6,C9;S9,SA,SK,S3;SJ,S10,S7,S4;S8,HQ,S6,S2;C3,C5,C7,C8;HJ,SQ,HA,D2;H4,H5,H2,H3;H8,H7,H10,S5;C4,H6,H9,HK"
1571994350,1,0,0,"CA,C8,C4,C2;D7,DA,DJ,DK;D9,DQ,D6,D10;D2,D5,D4,D8;SQ,SK,HA,D3;SA,S9,S6,SJ;S5,S2,HJ,S3;H9,CQ,S10,S4;HQ,H7,CJ,S7;H10,H4,C10,S8;H3,CK,C9,H5;H6,C5,C7,H8;H2,C3,C6,HK"
1571994350,1,6,0,"CA,C6,C7,C2;DQ,D10,D8,DA;DJ,D6,D7,DK;SQ,D5,H9,D9;SA,D4,H7,D3;SJ,S3,S10,S4;S2,S8,SK,S7;S9,HQ,HK,S5;CQ,C5,C4,C10;C3,HA,CK,C8;D2,H4,H5,H2;H6,CJ,HJ,S6;H3,C9,H10,H8"
1571994350,1,16,0,"C7,CQ,CK,C2;D6,DQ,DA,DK;SK,D2,D10,DJ;H8,SQ,D9,D8;D5,H4,HJ,D7;S4,S9,SJ,S8;SA,S3,S7,S10;C6,CJ,CA,C4;HK,HA,C9,C3;H9,H10,HQ,S2;H2,H7,H6,S5;C10,H5,H3,S6;C8,D4,D3,C5"
1571994350,1,0,0,"C9,CA,CK,C2;SQ,DQ,DA,DJ;D10,SK,D9,DK;D4,H8,D8,D7;D3,HQ,H6,D6;SA,SJ,S10,S4;S8,S7,S9,S3;C8,CJ,CQ,C6;H10,HA,S5,S2;H5,H7,C7,C3;C10,H4,H2,C5;H3,D5,HK,C4;S6,D2,H9,HJ"
