1571995167,1,20,2,"C3,CJ,CK,C2;D7,DA,D10,DK;SQ,DQ,D4,DJ;D2,D9,HA,D6;SJ,SA,HK,S2;H6,SK,S7,S4;HJ,S5,H4,S3;CA,HQ,C8,C10;D8,C7,CQ,C5;H3,S10,H10,D3;H2,S9,H9,D5;C9,S8,H8,H5;H7,C6,S6,C4"
1571995167,1,4,2,"C7,CA,CJ,C2;DQ,D8,DK,DA;DJ,SA,D9,D7;HA,D6,HK,D10;S10,S8,S9,SJ;S7,S3,S6,SK;CQ,SQ,CK,C5;H8,HQ,S2,S4;H5,H10,HJ,S5;C9,H9,H3,C3;H7,D5,C10,C8;H4,H6,D4,C4;D3,H2,D2,C6"
1571995167,1,2,2,"C8,CA,CK,C2;DA,DJ,DK,D7;D9,D8,SA,DQ;D3,D5,HK,D10;SK,S10,S9,S3;S6,S2,S8,S5;SJ,S4,H10,SQ;CQ,C7,CJ,C4;HJ,H7,HQ,S7;C5,C9,C10,C3;HA,H9,H6,C6;H8,D4,H4,D2;H2,D6,H5,H3"
1571995167,1,7,2,"CK,CA,CJ,C2;D10,DJ,DA,DK;D9,D6,D8,DQ;D7,D4,SK,D5;S8,S9,SJ,S6;SA,S4,S5,S7;C5,C6,C9,C3;HQ,S2,S3,S10;CQ,SQ,C4,C7;H7,HK,C8,C10;H3,H4,H2,H5;D3,H6,H9,H8;H10,D2,HJ,HA"
1571995167,1,14,2,"CQ,CA,C10,C2;D8,DJ,DK,DA;C8,CK,C7,CJ;DQ,SA,D2,D9;S10,SK,S6,S3;S5,SJ,S9,S2;S8,SQ,HJ,S7;C5,H7,C9,C3;HA,H9,H4,S4;HK,C4,D10,C6;H5,H2,D6,H6;H8,D7,D5,H10;H3,D3,D4,HQ"
1571995167,1,7,2,"CJ,CA,CK,C2;DK,DQ,D7,DA;D5,DJ,D2,D10;SA,D9,D3,D8;S8,SK,SJ,S3;S10,SQ,S7,S2;C8,C5,C10,C3;HK,S4,S6,S9;CQ,C7,HQ,C4;C6,H6,H10,C9;H3,D6,H4,H2;H7,H5,D4,H8;HJ,HA,S5,H9"
1571995167,1,0,2,"CK,CQ,C8,C2;D10,DQ,DJ,DA;D3,D8,D6,DK;HK,SQ,D5,D9;S9,SA,SJ,S3;H5,S10,S8,S4;C6,C7,CA,C3;C9,HJ,C5,C4;H10,SK,D4,D2;HA,H9,HQ,C10;H8,H7,S7,CJ;H6,H2,S6,H3;S2,S5,H4,D7"
1571995167,1,8,2,"CQ,CK,CA,C2;D6,DQ,D5,DA;SK,D10,D2,DK;HA,D9,H8,DJ;S4,SA,SJ,S5;S6,S7,HQ,S3;CJ,C4,C8,C9;SQ,C7,HK,C6;HJ,H10,S10,S2;H7,H6,H9,S8;H4,H3,H5,S9;C5,D7,H2,D4;C10,D8,C3,D3"
1571995167,1,0,2,"CK,C8,CQ,C2;D7,D10,DJ,DA;D5,D2,D3,DK;D4,SQ,HA,DQ;SA,SJ,S9,S3;S5,S2,S10,S6;SK,S4,H4,S8;HK,CA,HQ,S7;C7,CJ,C5,C3;H10,H8,HJ,C4;D9,H6,H9,C6;D8,H5,H7,C9;D6,H3,H2,C10"
1571995167,1,6,2,"C10,CA,CQ,C2;D7,DQ,DA,DJ;D10,D2,D8,DK;CK,C8,CJ,C9;SA,S9,S4,S7;S6,S2,S8,S10;S5,HJ,HA,SJ;S3,H9,HQ,SQ;HK,H7,H10,SK;C4,C7,D9,C3;D6,H5,H8,C5;D5,H4,H6,C6;D3,H2,D4,H3"
1571995167,1,14,2,"CA,CJ,C9,C2;D5,DA,DK,D9;DQ,D4,SQ,DJ;SA,SK,D8,D10;S10,SJ,S9,S6;S3,S8,HQ,S2;CK,HA,C6,C5;H9,C4,HK,C7;H8,C3,H10,C8;H7,H6,H4,C10;S7,H5,H2,CQ;S5,D6,D7,H3;S4,D3,D2,HJ"
1571995167,1,0,2,"CK,C6,CA,C2;DK,DA,DJ,D5;D9,SQ,DQ,D8;D6,SK,HK,D10;S10,S6,S7,S9;S5,S4,SA,S8;H9,S2,S3,SJ;CQ,C5,C9,C4;C3,C8,CJ,C10;D3,HA,HQ,D4;D2,H10,H4,D7;H3,H7,H2,H5;C7,HJ,H6,H8"
1571995167,1,5,2,"C10,CK,CA,C2;DQ,D8,DJ,DA;D7,SQ,D10,DK;D6,SK,D4,D9;S10,S8,SA,S2;SJ,HK,HA,S3;H10,HQ,S9,S4;S7,H8,H7,S5;CJ,C8,CQ,C6;HJ,H5,H6,S6;C9,H4,C5,C7;H2,C4,D3,H3;D5,C3,D2,H9"
