1571995173,1,4,1,"CA,CQ,CK,C2;DK,DA,D7,D10;D6,D9,DQ,DJ;D8,D2,SA,D5;SK,S6,S10,S4;HQ,SQ,SJ,S2;C10,CJ,C9,C4;H9,HA,S9,S3;S7,H7,H5,S5;C6,C8,C7,C3;HJ,HK,H6,D3;H8,H10,H4,D4;S8,H3,C5,H2"
1571995173,1,0,1,"C8,CA,CK,C2;DQ,DA,DK,D8;DJ,HJ,D9,D5;H7,D7,D3,D10;S10,SA,SJ,S7;S8,S9,S6,S3;S5,S4,H9,SQ;CJ,CQ,C10,C5;H8,HK,S2,SK;H5,D6,H4,D4;C9,HA,C6,C7;H10,C4,H6,H2;C3,D2,H3,HQ"
1571995173,1,23,1,"CJ,C5,C9,C2;DA,D6,D2,DK;D3,SK,DQ,D10;D9,SQ,H10,DJ;SA,S10,H7,S2;S7,H3,SJ,S3;S9,S5,CA,S4;H9,CK,S6,S8;H8,CQ,D7,D8;H2,C10,HJ,H4;HA,H6,C7,D4;HQ,C8,C6,D5;H5,C4,C3,HK"
1571995173,1,24,1,"CA,CK,CJ,C2;D9,DA,DQ,DK;DJ,D10,D7,D2;D8,D6,SQ,D5;S4,SK,S9,S5;S2,SA,HK,S3;HQ,S8,H4,S6;H2,SJ,H10,S7;H8,HJ,D4,S10;C3,C8,C10,C7;CQ,H7,C4,C5;H5,H6,C9,H9;D3,H3,C6,HA"
1571995173,1,1,1,"CA,C9,CQ,C2;DJ,DA,D10,D4;D8,D2,D9,DK;D7,SA,D5,DQ;SK,SJ,S10,S2;HA,S7,S9,S3;S8,HK,S5,S6;CK,C8,C10,C4;C3,C7,CJ,C5;H7,H3,H2,H4;SQ,H8,HQ,C6;D3,H5,H6,H9;S4,D6,HJ,H10"
1571995173,1,6,1,"CK,DA,CA,C2;D9,DK,DJ,D8;D10,D6,D7,DQ;D2,HA,D5,D3;SA,S10,S6,S7;S9,S3,SJ,S2;SK,S5,H3,S8;HK,CQ,H10,S4;HQ,C9,H7,SQ;H9,C7,CJ,C8;HJ,H8,C6,C5;C10,H6,H4,C3;H5,H2,C4,D4"
1571995173,1,5,1,"CA,CK,C10,C2;D9,D10,DA,D7;D6,D5,D8,DK;SK,D3,D4,DQ;S9,SJ,S4,S7;S3,SA,HA,S2;HK,S6,H9,S8;HQ,S5,H7,S10;CQ,C9,C5,C3;C8,C4,C7,C6;H4,HJ,H10,SQ;H3,DJ,H5,H6;H2,D2,CJ,H8"
1571995173,1,19,1,"CJ,CK,CA,C2;DK,DQ,DA,D9;D7,D4,DJ,D8;D2,D5,SQ,D10;S10,SJ,HA,S6;H9,SA,S9,S2;S7,S8,H5,SK;C9,C10,CQ,C3;C7,C8,HK,C4;S5,H4,HJ,S4;H2,H10,HQ,S3;C6,D6,H7,D3;H6,H3,C5,H8"
1571995173,1,14,1,"C8,CK,CA,C2;DA,DK,D2,DQ;DJ,SQ,D9,D8;SK,D4,D7,D10;SJ,S10,HK,S3;S8,HQ,SA,S6;S7,S2,H9,S4;C10,CQ,HA,C3;H5,CJ,C7,C6;HJ,C9,H3,C4;H2,H10,H8,D3;S9,H6,H7,D5;S5,C5,H4,D6"
1571995173,1,20,1,"CJ,CK,CA,C2;DJ,D3,DA,DK;DQ,D10,H9,D9;D8,H8,D6,D7;S10,SA,S6,S2;S5,SJ,S9,S4;S7,SK,SQ,S3;HK,HA,H7,S8;CQ,C9,C10,C7;C5,C6,C8,C3;D2,D5,H6,D4;H5,H10,H2,H3;HQ,H4,C4,HJ"
1571995173,1,7,1,"CJ,DJ,CA,C2;DK,DA,D10,DQ;D7,D9,D3,D6;D2,D4,SQ,D8;SA,SJ,SK,S2;S9,S10,S8,S4;S6,CK,S5,S7;H4,CQ,H2,H3;C10,HA,HQ,S3;C9,C8,H10,C4;C7,H9,HJ,C3;H7,H5,C6,H8;H6,D5,C5,HK"
1571995173,1,2,1,"C9,C10,CA,C2;D6,DA,DK,DQ;D10,DJ,D5,D4;SQ,D3,D9,D7;S10,SA,SK,S4;C6,C7,CQ,C4;H8,SJ,HA,S2;HK,S8,H7,S3;H4,S9,HQ,S5;H5,S7,CK,S6;CJ,H10,D8,D2;H6,C8,H9,H2;H3,HJ,C5,C3"
1571995173,1,22,1,"CQ,CK,CJ,C2;DA,DK,DQ,D4;D8,DJ,D2,D9;SK,D6,D7,D10;S3,SA,SJ,S2;S6,S7,HK,S8;S5,S4,HQ,S9;H10,H6,HJ,S10;H8,H3,H9,SQ;CA,C10,H7,C4;C8,H5,C9,C6;D5,C7,H4,C5;H2,HA,D3,C3"
1571995173,1,26,1,"CK,CQ,C7,C2;DQ,DA,DK,DJ;D9,D10,D4,D8;D2,D5,D6,D7;S7,SA,S8,S6;S5,SJ,S3,S4;S2,SK,H5,S9;H4,H6,HK,S10;D3,H3,HJ,SQ;CA,C8,H2,H7;CJ,C5,H8,H9;C10,C4,H10,HQ;C6,C3,C9,HA"
