1571995175,1,2,3,"CK,CQ,CA,C2;DJ,DA,D10,DQ;HK,D9,D7,DK;HQ,D6,D5,D8;SJ,SK,S9,S8;S7,SA,S10,S3;CJ,SQ,C8,C5;S4,S6,H6,S2;H5,H10,HJ,S5;C9,C10,H9,C4;H4,C6,H3,C3;H2,H8,D3,H7;D2,HA,D4,C7"
1571995175,1,26,3,"CK,C6,CQ,C2;D10,DA,DJ,D9;D8,HA,D5,DK;D6,H8,SQ,DQ;S9,S7,SK,S2;SA,S6,S5,S8;H4,H7,HK,S3;D3,H5,HQ,S4;D2,H3,HJ,S10;CA,H2,H10,SJ;CJ,C10,H9,D4;C9,C7,C4,D7;C8,C5,C3,H6"
1571995175,1,2,3,"CJ,CK,CA,C2;DK,DJ,D10,DA;D8,D9,D5,DQ;D7,D2,D3,D6;SA,SK,S6,S3;SJ,H8,S5,S7;H7,HQ,S10,S2;S9,H2,H10,SQ;C9,CQ,C7,C5;C6,HA,HJ,C4;HK,H6,C10,C3;H4,H9,S8,C8;H3,H5,S4,D4"
1571995175,1,12,3,"CJ,CA,C10,C2;D7,DQ,D10,DA;D6,DJ,D5,DK;D3,D9,D2,D4;SA,SK,S10,S4;SJ,S7,S9,S6;S5,S8,SQ,S3;CK,C4,CQ,C5;HJ,C7,C8,C3;H9,H2,H10,H3;H6,HK,H8,D8;H5,C9,H7,HQ;H4,C6,S2,HA"
1571995175,1,0,3,"C6,C7,CA,C2;DK,DA,D6,D10;D4,D8,D9,DQ;SK,D7,D3,DJ;SJ,S4,SA,S3;S9,S10,H10,S5;H7,S6,S8,S2;S7,H4,HQ,SQ;H9,H3,D2,D5;H8,CK,H6,H2;CJ,CQ,HA,C3;HK,C5,C9,C10;H5,C4,C8,HJ"
1571995175,1,4,3,"C5,CA,CQ,C2;D5,DJ,DA,DK;DQ,D4,D10,D8;HA,D9,D7,D6;S8,SA,S10,SJ;S9,HK,S7,S5;H9,S6,SK,S2;C9,CJ,SQ,C3;HJ,CK,C8,C4;HQ,C10,H10,C6;H5,H3,H7,C7;D2,H2,H6,H4;H8,S4,D3,S3"
1571995175,1,10,3,"CA,CK,CJ,C2;DQ,DK,D10,DA;D8,DJ,D7,D9;D6,HK,D5,D2;S7,SK,SJ,S2;S8,SA,S3,S5;C10,C8,C9,C3;H6,C7,CQ,C4;C5,H2,SQ,C6;H10,D4,HA,D3;S4,HQ,H8,S6;HJ,H9,H7,S9;H5,H4,H3,S10"
1571995175,1,2,3,"C6,CA,C8,C2;DQ,DA,DK,D9;HA,D8,DJ,D6;D5,HK,D3,D10;S9,S10,SK,S8;SA,S6,S7,S2;SQ,S5,S4,SJ;C5,CJ,C3,C4;H7,HQ,H9,S3;H2,CK,H8,C7;H6,HJ,D7,C9;H5,H10,D4,C10;H3,H4,D2,CQ"
1571995175,1,22,3,"C6,CQ,CA,C2;DA,D8,DJ,DK;SQ,D4,DQ,D10;D7,SK,HK,D9;S6,S9,SJ,S10;SA,S4,S8,S2;CJ,C5,C10,C9;S7,HQ,H9,S3;HJ,D6,HA,S5;C7,CK,C8,C3;H6,H10,H7,D2;H5,H8,H3,D3;C4,H4,H2,D5"
1571995175,1,3,3,"CA,C9,CQ,C2;SQ,CJ,C10,CK;SK,C4,C7,C8;H6,HA,C3,C6;S9,S10,SA,S5;S8,S6,S4,SJ;HQ,DK,DJ,D3;HK,H8,S7,S2;H4,HJ,H2,C5;D8,H10,DA,H3;DQ,H9,D5,D4;H7,D2,D9,D7;D10,H5,S3,D6"
1571995175,1,0,3,"C9,CA,C10,C2;D5,D8,DA,DK;DJ,SA,D6,DQ;D10,HA,D3,D9;S9,SJ,S6,S10;S2,SK,S7,S8;C7,CK,C8,C6;C3,CQ,C5,C4;H9,HK,SQ,CJ;H8,HJ,D7,D2;H10,S5,H6,D4;H3,S4,H4,H5;H7,S3,H2,HQ"
1571995175,1,1,3,"C5,C10,CK,C2;DA,D10,DK,DQ;C4,C9,CJ,CA;C3,C8,SQ,CQ;SA,S8,SK,S2;S6,SJ,S5,S9;S4,S10,HK,S7;DJ,D8,HA,D2;D7,HQ,D4,D5;H10,H2,H8,H3;H6,HJ,H9,S3;H4,D9,H7,C6;D3,D6,H5,C7"
1571995175,1,14,3,"CJ,CK,CA,C2;DA,D9,DK,DJ;D6,DQ,D5,D7;D4,D2,SA,D10;S9,S8,SJ,S6;SK,S3,S5,S2;C9,CQ,HA,C4;S10,H10,SQ,S4;HJ,HK,D8,D3;HQ,C6,H8,C7;H6,C5,H7,C8;H3,C3,H5,C10;H2,H9,S7,H4"
1571995175,1,26,3,"C9,CQ,CA,C2;DJ,D8,D6,DA;D4,D7,HA,DK;HK,D3,H10,DQ;S10,SA,SJ,S8;S6,S9,HJ,S3;H8,SQ,H5,D2;H6,SK,H2,D5;H3,H9,CJ,D9;CK,C8,C10,D10;C7,S7,C4,H4;C6,S5,C3,H7;C5,S4,S2,HQ"
