1570510136,2,13,1,"C9,C4,C5,C2;S2,S3,S4,S6;S10,SJ,S5,S8;S7,S9,SQ,SK;C3,DJ,C10,C6;CK,C7,D9,CQ;C8,D7,DQ,CA;D3,D2,D4,D5;D10,HA,H10,D6;HK,H8,D8,SA;HQ,H6,HJ,CJ;H9,H5,H7,DK;H3,H4,H2,DA"
1570510136,2,0,1,"C7,CK,C4,C2;S8,S6,S3,S2;SK,S5,S4,S10;S7,SJ,DQ,SA;C10,CA,C5,C3;D3,D10,D2,D4;CJ,DJ,C8,C6;D9,D6,DA,S9;D8,D5,C9,SQ;D7,HQ,HA,CQ;H9,H10,HK,DK;H4,H2,H3,H7;H6,H5,HJ,H8"
1570510136,2,17,1,"C4,C5,C6,C2;S10,S3,S2,S4;S7,S8,S5,SJ;C8,C7,CK,C3;DA,SQ,S9,S6;CJ,CA,D10,C9;D2,D3,D5,D4;D6,D8,DK,SK;HK,D7,DJ,SA;HQ,HA,C10,CQ;H10,H9,HJ,D9;H6,H8,H7,DQ;H4,H3,H5,H2"
1570510136,2,7,1,"C4,C6,C3,C2;S3,S4,S6,S2;CQ,C5,CK,C7;D10,SA,S8,S5;S10,S7,D9,SQ;D4,D2,D6,D3;DQ,C8,DA,C10;DJ,C9,DK,CJ;D8,D5,S9,CA;HA,SK,HQ,D7;H5,H6,H2,H4;H7,HJ,HK,SJ;H3,H9,H10,H8"
1570510136,2,1,1,"C5,C4,C3,C2;CJ,C8,C6,C9;S2,S4,DA,S3;DQ,SA,S6,S5;S9,S7,D10,SQ;D4,D9,D3,D2;D8,D7,S10,S8;C7,C10,D6,CQ;CK,D5,HA,CA;DK,HJ,H9,DJ;H8,H6,HQ,SJ;H7,H5,H10,SK;H2,H4,H3,HK"
1570510136,2,0,1,"C4,C8,C3,C2;S3,S6,S4,S2;S5,S7,S9,SJ;DK,S8,S10,SK;C5,CA,C7,C6;SA,DQ,D9,SQ;CJ,D8,DA,C9;D6,D3,C10,CK;HA,HJ,D4,D2;DJ,HK,H10,CQ;D7,H9,H8,D5;H2,H5,H7,H3;HQ,H4,H6,D10"
1570510136,2,9,1,"C4,C3,C6,C2;S10,S4,S3,S2;S6,S5,S7,SK;S8,S9,DK,SA;D2,CQ,D7,D3;DA,C5,CJ,C8;DQ,D9,DJ,SJ;D10,D6,D8,SQ;H2,H4,H3,H5;H10,H6,D5,H7;D4,C7,HA,C9;H9,C10,HQ,CK;H8,CA,HJ,HK"
1570510136,2,0,1,"C5,C7,C3,C2;S2,S3,S10,S6;S8,S4,S9,SQ;C9,DK,C4,CA;D9,D3,D4,D2;S5,DQ,HK,SJ;S7,CK,HQ,SK;D8,C6,HJ,CQ;D5,CJ,H9,D10;D6,C10,H8,DJ;D7,C8,H7,DA;HA,H6,H2,H4;H10,H3,H5,SA"
1570510136,2,13,1,"C4,C5,C3,C2;S3,S2,S9,SA;CA,CJ,C7,C6;S5,S10,DK,S4;C10,DQ,DA,C8;D2,D9,C9,CQ;SK,D4,D3,D6;SQ,D5,D8,D7;DJ,SJ,S8,CK;H8,H5,H3,H2;S7,HQ,HJ,D10;H6,H4,H7,HK;S6,H9,H10,HA"
1570510136,2,26,1,"C10,C3,C5,C2;S2,S3,S6,S7;S4,DA,S9,S8;S10,S5,DQ,SK;CA,C9,C6,C4;SJ,D7,D10,SQ;DJ,D6,D5,SA;D9,CQ,D2,D3;C7,C8,DK,CK;H2,H3,H10,H4;HK,HA,CJ,D4;H7,HJ,H9,D8;H5,H8,H6,HQ"
1570510136,2,0,1,"C4,C3,CK,C2;S2,S3,S7,S4;S6,SA,S5,S8;CJ,C5,CA,C6;DQ,SQ,S10,S9;D4,D9,D2,D3;D5,D6,CQ,DJ;D8,D7,C9,DK;C10,D10,SK,DA;HJ,H5,H2,H3;H10,SJ,HK,C7;H8,HQ,H9,C8;H7,H4,H6,HA"
1570510136,2,0,1,"C3,C5,C6,C2;S6,S3,S2,S4;S10,S5,SK,S9;DJ,SQ,S7,SA;C4,C7,CJ,C9;D8,D2,DA,S8;D5,CK,DK,SJ;D3,C8,D6,DQ;H7,H4,H3,H2;HK,D10,HA,C10;HQ,D9,H10,CQ;HJ,D7,H8,CA;H5,H9,H6,D4"
