1570609948,2,4,2,"C8,C4,C3,C2;S4,S2,S7,S3;DK,S5,S6,S9;DJ,SJ,S8,SQ;CJ,C10,C5,C7;D8,D4,D2,D6;S10,D3,D9,SA;C6,C9,D7,CK;DA,CQ,HK,CA;D5,H8,HJ,D10;SK,H5,H10,DQ;H4,H2,H7,H6;HQ,HA,H3,H9"
1570609948,2,4,2,"C3,C6,C4,C2;S7,S3,S6,S2;S4,S9,S8,S10;DA,C9,C7,C5;C8,CJ,D6,C10;SA,CK,D9,CQ;D3,D5,SK,D2;SQ,DQ,D8,CA;SJ,D7,D4,D10;S5,HQ,HA,DJ;HK,H10,HJ,DK;H6,H3,H4,H2;H8,H9,H5,H7"
1570609948,2,13,2,"C10,C3,C5,C2;S6,S2,DK,S3;S4,D9,S8,S9;S5,D4,SK,S10;SJ,S7,D3,SQ;DA,DQ,D2,SA;D6,D10,CA,D5;C4,D8,C6,CK;C8,D7,CQ,DJ;H5,H2,H9,H3;HA,HJ,HQ,C7;HK,H8,H7,C9;H10,H6,H4,CJ"
1570609948,2,4,2,"C4,C6,C5,C2;S2,S8,S4,S10;S3,SQ,S5,SJ;C7,CJ,C10,C3;S7,DK,S6,SA;CQ,C8,CA,CK;D8,D2,D3,D7;D6,D4,D10,DA;H4,H3,H2,H5;H6,H9,H8,H7;DQ,HA,D9,C9;DJ,HJ,SK,D5;H10,S9,HK,HQ"
1570609948,2,3,2,"C6,C8,C4,C2;S3,S2,S4,S6;S5,S10,S8,S7;SQ,DA,S9,SJ;C10,CJ,C3,C7;C5,C9,DQ,CQ;CK,D8,D6,CA;D3,D5,D2,D10;D7,HQ,D4,DJ;D9,H8,HA,DK;H9,H4,H3,H2;H7,HJ,HK,SK;H5,H10,H6,SA"
1570609948,2,4,2,"C4,C3,C6,C2;S4,S3,S2,S8;S7,S6,S5,SJ;S9,S10,SA,SQ;D9,C5,C8,C7;CJ,D6,C9,C10;D5,CK,DA,CQ;DJ,DK,D3,CA;D4,D2,SK,D10;H7,H2,H3,H4;DQ,HJ,HK,D7;H9,H5,H8,HQ;H10,H6,D8,HA"
1570609948,2,8,2,"C9,C6,C5,C2;S2,S5,S4,S10;S3,DK,S7,SJ;S6,D4,S8,SA;C10,C7,C3,CQ;D5,D3,D7,D2;DA,S9,CA,SK;DQ,DJ,C8,C4;CK,D10,D8,CJ;D6,SQ,HQ,D9;H2,H7,H3,H6;H4,H9,H5,H10;HJ,HA,H8,HK"
1570609948,2,4,2,"C8,C5,C3,C2;S3,S2,S4,S9;S5,S6,S8,SJ;S7,S10,SA,SK;DQ,DA,DK,SQ;CA,C6,C4,CK;D2,DJ,D7,D3;HA,D8,C10,C7;C9,HQ,D6,CJ;CQ,HJ,D4,D9;HK,H8,D5,D10;H4,H3,H2,H6;H7,H5,H10,H9"
1570609948,2,0,2,"C5,C7,C3,C2;S3,S4,S2,SQ;S5,S7,S6,SK;S10,SJ,S8,SA;C4,C6,CJ,CK;C8,C9,DA,CA;D3,DJ,D6,D2;D8,DK,CQ,C10;DQ,S9,D9,D4;H2,H3,H9,H5;HA,HJ,HK,D5;HQ,H6,H10,D7;H8,H4,H7,D10"
1570609948,2,22,2,"C8,C4,C3,C2;S8,S2,S3,SJ;C7,C5,C6,C9;C10,CQ,DQ,CK;D4,D3,D10,D2;DJ,DK,S4,S7;D9,D6,S5,S9;D8,CA,S6,S10;D7,CJ,SA,SQ;SK,D5,HA,DA;H3,H2,H8,H6;HJ,H7,H4,H9;H10,H5,HQ,HK"
1570609948,2,10,2,"C7,C5,C6,C2;S9,S4,S6,S2;C9,C3,CQ,C8;DA,S7,SK,S3;D7,CJ,DK,C4;DQ,C10,D2,CA;D5,D4,SA,D3;D10,S5,DJ,S10;D9,S8,HK,SJ;D8,HQ,HJ,SQ;HA,H4,H6,H2;H7,H10,H8,CK;H5,H9,H3,D6"
1570609948,2,13,2,"C3,C4,C5,C2;S9,S2,S5,S3;S6,S8,S4,SJ;C10,C7,C8,C6;SA,SK,D9,S7;DA,D5,S10,SQ;CA,CJ,CK,C9;D4,D7,D2,D3;D6,D8,CQ,DQ;H4,H6,H2,H3;H7,H5,DK,H8;HJ,H9,DJ,H10;HK,D10,HQ,HA"
