1570610011,2,5,3,"C8,C3,C5,C2;S3,S5,DK,S2;D9,S4,S7,S6;SK,D2,S10,S8;CA,SJ,S9,SA;C7,CJ,C4,C6;D10,DQ,HA,SQ;CK,C9,HK,CQ;D5,HJ,D6,D3;D4,D7,H10,DJ;D8,C10,H9,DA;H6,H2,H3,H4;H8,H5,HQ,H7"
1570610011,2,1,3,"C8,C3,C6,C2;S7,S3,S2,S4;S5,SQ,S8,S10;CQ,DA,C7,C4;SK,S6,D4,SJ;D10,D2,D6,D5;D3,SA,D9,S9;D8,C10,C5,CA;D7,DQ,CJ,DJ;C9,DK,H9,CK;H2,H10,H3,H5;H4,H7,H6,HK;H8,HJ,HQ,HA"
1570610011,2,0,3,"C3,C5,C6,C2;S8,S10,S5,S2;S6,S3,S9,SA;CJ,C7,C4,C10;S4,DA,D5,S7;SJ,DK,D3,SQ;D7,D2,CK,D4;DQ,HQ,DJ,SK;C8,H10,D10,C9;CA,H8,D9,CQ;H7,D6,HA,D8;H2,H6,H5,H3;H9,HJ,H4,HK"
1570610011,2,13,3,"C8,C3,C6,C2;S5,S2,S9,S3;S6,S7,S4,SQ;C10,C4,C9,C5;S8,DK,DA,SJ;S10,D9,DJ,SA;DQ,D4,D7,D2;D6,D10,D8,SK;CK,CJ,D3,C7;HQ,HA,CQ,CA;H5,HK,HJ,D5;H2,H9,H4,H6;H7,H8,H3,H10"
1570610011,2,0,3,"C4,C3,C5,C2;S5,S6,S2,S7;S10,SK,S3,S8;C7,C6,C8,C9;D6,D5,D3,D2;SQ,SJ,D7,S4;CJ,D4,CK,C10;DK,DA,HK,S9;CA,DJ,HQ,SA;CQ,D8,HJ,D9;HA,D10,H10,DQ;H7,H2,H5,H3;H6,H8,H4,H9"
1570610011,2,1,3,"C9,C4,C3,C2;S6,DK,S2,S4;D6,S3,S7,S9;D5,S5,S8,SJ;C7,C5,DA,C6;DQ,D9,CQ,C8;CA,D2,D4,D3;DJ,CK,S10,SQ;D8,CJ,SK,SA;H6,H4,H2,H5;C10,D10,HA,D7;H9,H8,HJ,H3;H7,HQ,H10,HK"
1570610011,2,13,3,"C4,C3,C5,C2;S2,S3,S9,S4;C6,C10,DK,C7;S8,DQ,S5,S6;D10,SJ,S7,SQ;D8,DA,S10,SA;D4,D2,D3,D5;CK,CJ,D7,D6;D9,CQ,HA,SK;H10,C8,HQ,CA;H9,C9,H8,DJ;H2,H5,H6,H4;HJ,H3,HK,H7"
1570610011,2,4,3,"C5,C10,C6,C2;S4,S5,S3,S2;S6,S7,SJ,SQ;C8,DA,C7,C3;S8,SA,DQ,S9;C4,C9,D9,CK;CJ,CQ,D2,CA;D8,D7,SK,D3;DK,S10,D4,D10;H4,H6,H3,H2;DJ,HA,HQ,D5;H10,H5,H7,H8;HJ,D6,H9,HK"
1570610011,2,25,3,"C10,C4,C3,C2;S6,SJ,S3,S2;S5,S4,DA,SA;C6,DK,C5,C7;C8,DQ,CQ,CJ;D10,C9,D5,CA;D3,D2,D4,DJ;H9,HA,H4,H2;S8,HK,D9,S7;HQ,D7,SK,S9;S10,H8,D6,SQ;H7,H5,HJ,CK;H6,H3,H10,D8"
1570610011,2,0,3,"C3,C5,C4,C2;S6,S2,S9,S3;S7,SJ,S4,SK;C10,C6,CJ,C7;D10,SQ,SA,S5;DK,CA,CK,C8;D2,D4,D5,D7;D3,DQ,DJ,D8;S10,D9,D6,C9;S8,HA,HJ,CQ;H7,HK,H6,DA;H4,H9,H2,H8;H3,H10,H5,HQ"
1570610011,2,1,3,"C5,C3,C4,C2;S4,S2,S5,SJ;C6,CQ,C7,C10;S9,DK,S6,S3;DQ,S7,S8,S10;DJ,D8,DA,SQ;D10,D2,D6,SK;D9,C9,D4,SA;D7,C8,CK,CJ;D5,D3,HK,CA;H9,H4,H5,H2;H8,H6,H3,H10;HA,HQ,H7,HJ"
