1571926634,2,0,0,"C9,CQ,C10,C2;S8,S6,S7,S9;S4,S5,S3,S10;C7,C8,SQ,CJ;D6,D2,D3,D4;H8,SK,HJ,S2;H10,SJ,H2,SA;DJ,D8,D5,D7;D9,DA,D10,DQ;HA,H7,C4,C3;C5,HQ,H6,C6;CA,H9,H5,DK;CK,H3,H4,HK"
1571926634,2,0,0,"CA,C7,CK,C2;S5,S2,S9,S3;SQ,S10,SJ,SK;C9,C3,C8,C4;HJ,S4,HK,S6;C6,SA,C10,CJ;D6,D8,D4,D2;HQ,HA,H6,S7;DA,H9,H3,S8;DJ,D3,D9,DQ;D10,H7,H2,H4;D7,H10,D5,DK;C5,H5,CQ,H8"
1571926634,2,13,0,"CA,C7,CK,C2;S6,S2,S8,S3;S4,S7,S9,S10;SA,SJ,S5,SQ;HQ,C9,C3,C4;H10,HK,H4,SK;C6,C8,H2,C10;C5,CQ,DQ,CJ;D10,D8,D9,DJ;D7,H9,H7,H3;D5,H8,D6,DK;DA,H6,D4,HJ;D2,H5,D3,HA"
1571926634,2,18,0,"CQ,CJ,CA,C2;S3,S7,S4,S5;S6,HJ,S2,S8;S10,H8,HA,SJ;SQ,H2,HQ,SK;C5,C9,C4,C3;H6,C10,C6,CK;D5,H10,D3,D6;D7,H9,D9,D10;D4,H7,D8,DJ;D2,H4,SA,DQ;H5,C8,HK,DK;H3,C7,S9,DA"
1571926634,2,5,0,"CK,C10,C8,C2;S3,S2,S4,S5;S8,S7,HQ,S6;SA,H7,S9,S10;D7,D3,D5,D2;C6,C4,HK,C7;C5,C3,H10,C9;CJ,SK,H8,CQ;SQ,HA,DA,CA;D4,D9,D6,D8;DQ,H5,HJ,SJ;DJ,H3,H6,H4;H9,D10,H2,DK"
1571926634,2,2,0,"CQ,C9,CK,C2;S5,S6,S4,S7;SJ,S3,HA,S8;SQ,HJ,S10,SK;S9,H9,HK,SA;C5,C3,C10,C4;D5,D3,D2,D4;CJ,C7,H10,CA;D7,D9,D8,D6;DK,DJ,H6,D10;DQ,C8,H8,DA;H3,C6,H5,H2;H4,HQ,S2,H7"
1571926634,2,0,0,"CK,CA,CQ,C2;S5,S9,S3,S2;S7,S10,S8,SJ;C6,C3,C5,C7;D8,D9,D7,D10;DJ,D6,D5,DQ;SK,D2,D4,DK;H9,H4,HA,H2;HJ,S6,HK,SQ;H10,S4,H7,SA;H8,C8,C9,C10;H5,C4,H6,CJ;H3,HQ,DA,D3"
1571926634,2,5,0,"C10,CA,CK,C2;S3,S4,S2,S5;S8,S7,SJ,SQ;HK,SA,S10,SK;C5,C3,C7,C4;C8,C6,HA,C9;D4,D3,D2,D5;D9,D8,D6,D7;H9,HJ,H10,CJ;H4,H8,H6,CQ;DQ,H2,H5,H3;HQ,S9,D10,DJ;H7,S6,DA,DK"
1571926634,2,1,0,"CK,CJ,C7,C2;S5,S4,S9,S6;S8,S3,S10,SJ;C10,C8,C5,CQ;C9,C6,SQ,CA;D5,D4,D3,D2;SK,S2,HQ,S7;H9,DK,HA,SA;H7,DQ,C4,C3;D6,H6,D8,D7;HJ,DA,H5,D9;H4,DJ,H8,H10;H2,D10,H3,HK"
1571926634,2,8,0,"CA,CQ,C8,C2;S7,S5,S6,S8;S10,S4,S3,SJ;C10,C4,C6,C3;SK,SQ,HK,S2;HA,HJ,S9,SA;D10,D2,D3,D4;C5,H10,H6,C7;CJ,H9,H4,C9;H5,DJ,HQ,CK;D6,D7,DQ,D5;H8,H2,D9,H3;DK,D8,H7,DA"
1571926634,2,0,0,"CA,CJ,CK,C2;S4,SJ,S6,S2;SQ,S9,S8,SA;C4,C9,C3,C5;S5,HA,S10,S3;S7,HQ,H9,SK;HK,C7,C8,C10;HJ,H8,C6,CQ;D4,D7,D3,D2;D9,D6,DA,D8;H4,H3,H10,H2;H6,D10,DJ,D5;DQ,H5,DK,H7"
1571926634,2,1,0,"CK,CJ,CA,C2;S10,S4,S3,S2;S6,S9,S7,SJ;H9,S8,HJ,SQ;H7,S5,H10,SK;C5,C10,C3,C6;H8,HA,H2,SA;D4,D5,D2,D3;C7,HQ,C9,C8;DJ,D7,D9,D6;C4,H6,H5,CQ;DK,DQ,D8,DA;D10,H4,H3,HK"
1571926634,2,0,0,"CJ,C8,CQ,C2;HK,S3,S5,S6;HQ,S7,S4,S8;H10,S2,S9,S10;C3,SK,C4,C5;D6,D4,D3,D2;H8,C6,HA,C7;H5,SQ,HJ,C9;DA,SA,H7,C10;DK,H9,H6,CK;D10,H3,DQ,CA;D7,D9,D5,D8;DJ,H4,SJ,H2"
1571926634,2,0,0,"CQ,CK,CA,C2;S9,S7,S10,SJ;S6,S5,S8,SQ;S2,S3,S4,SK;C7,C10,C6,C8;D4,D6,D5,D7;D2,D8,D9,D10;DA,DQ,D3,DJ;HK,HQ,HA,SA;CJ,C4,HJ,C3;H10,H4,H7,H5;H3,C9,H8,C5;H6,DK,H2,H9"
