1571928212,2,13,0,"CA,C10,CK,C2;D10,D9,DJ,DQ;D3,DA,D8,D4;D7,D2,D6,DK;CJ,C6,C8,CQ;S9,SQ,C3,SA;S5,S8,C4,SJ;C7,S7,C5,S10;C9,S3,D5,S4;H10,HA,H8,HJ;H2,H5,H3,SK;H4,H6,H7,S6;HQ,H9,HK,S2"
1571928212,2,8,0,"C6,CA,CK,C2;D5,D8,DK,D10;D9,D4,D3,DJ;SK,CQ,C3,C5;DQ,SQ,D7,DA;C9,C4,S5,CJ;SA,S2,S6,C10;S9,S4,S10,C8;SJ,S7,D2,C7;H5,H10,D6,S8;H6,HQ,H2,S3;H7,HA,H4,H9;H3,H8,HJ,HK"
1571928212,2,16,0,"CK,CA,C10,C2;D8,D7,D6,D10;D5,D2,SQ,D9;D3,DA,SA,D4;S6,SK,DJ,DQ;S10,SJ,S2,S4;C9,S3,C8,CQ;C7,H6,S8,CJ;C5,H8,H2,C6;S9,H9,H3,S7;H10,H5,S5,DK;HJ,H7,H4,C4;HQ,HK,HA,C3"
1571928212,2,0,0,"CK,CA,CQ,C2;D8,D10,D9,DK;D7,D3,D5,DQ;D4,DA,D2,DJ;C7,C8,CJ,C9;S5,S9,S10,SJ;SA,SQ,S4,S7;C10,C3,S3,C6;S2,S6,C4,S8;H2,H6,H10,HJ;HA,H4,H5,H9;H3,C5,H7,D6;HQ,HK,H8,SK"
1571928212,2,0,0,"CQ,CK,C6,C2;DQ,D7,D10,DK;D2,D5,D8,D9;DJ,S4,D3,D6;CA,C3,C7,C4;C8,C5,S2,C9;S3,S5,S8,S10;SK,SA,S6,S9;SJ,S7,DA,D4;SQ,H3,H7,CJ;H2,H4,HQ,C10;H9,H10,HA,HJ;H6,H8,H5,HK"
1571928212,2,0,0,"C5,CA,CQ,C2;D10,D7,D6,DJ;D8,D4,D5,D9;DK,D2,DA,D3;S2,S5,SA,DQ;CK,C10,CJ,C3;C4,C9,SQ,C6;SK,S6,C8,C7;S10,H3,S9,SJ;S7,H9,H2,S8;H5,HQ,H10,HK;S3,HA,H6,H7;H8,H4,S4,HJ"
1571928212,2,8,0,"CJ,CA,CK,C2;DJ,D10,D9,DA;D6,D2,S6,DK;D4,SQ,SJ,DQ;D3,SA,C4,D8;SK,S3,C5,D7;S2,S7,C8,D5;S4,C9,H2,CQ;S5,C7,H3,C10;S8,S9,H6,C6;H4,S10,H7,C3;HJ,H5,HA,H9;H8,H10,HQ,HK"
1571928212,2,8,0,"CQ,CA,CJ,C2;D9,DK,D7,DA;D5,D4,D2,DJ;SK,D3,SA,D10;S5,DQ,S3,D8;C4,C6,C10,CK;S7,S8,S9,SJ;S4,SQ,C7,S10;C8,S2,C3,D6;C9,S6,H6,C5;H7,HK,HQ,HA;H3,HJ,H5,H9;H4,H8,H2,H10"
1571928212,2,3,0,"C8,CK,CA,C2;D9,DJ,D4,DQ;DA,D10,DK,D2;D7,SA,SQ,D8;SK,S9,S2,D6;SJ,C10,S4,D5;C3,CQ,S5,D3;C4,H2,S7,S10;C5,H3,S6,S8;C6,H4,C7,S3;H9,H7,HJ,HK;H8,H5,C9,HQ;H6,HA,CJ,H10"
1571928212,2,10,0,"CK,CA,S2,C2;DJ,D10,DK,DA;D3,D8,D7,D9;D2,D5,DQ,D4;SQ,SK,SA,D6;C8,S3,C7,C9;C10,S5,C4,C5;SJ,S7,S10,S9;H9,HJ,H3,HK;H4,H6,H2,HQ;C6,H5,S4,H10;CJ,HA,S6,H8;S8,H7,CQ,C3"
1571928212,2,17,0,"CQ,CA,CK,C2;DQ,D7,D6,D10;C9,C7,C4,C10;S5,C5,C3,C8;S8,CJ,SK,C6;D9,SQ,DK,DA;D8,S3,D5,DJ;SA,S10,SJ,S6;S9,D3,S2,D4;H2,H6,S4,D2;H5,H7,H3,S7;HQ,HK,HA,H8;H4,HJ,H10,H9"
