1571986372,2,5,1,"CQ,CA,CJ,C2;DK,D10,HK,DA;DQ,D9,HQ,DJ;D8,H9,D5,D7;S3,S4,SK,S2;SQ,SJ,S9,SA;CK,C8,C10,C5;S7,S8,HA,S5;C7,C6,C4,C9;D6,D4,H3,D2;HJ,H2,H4,H5;S10,H10,H8,S6;H6,H7,D3,C3"
1571986372,2,7,1,"CK,C8,CQ,C2;DJ,D7,DQ,DA;D5,D4,D8,DK;D2,D3,HJ,D10;S6,S3,S5,S2;S4,S8,SK,S9;C7,C6,CA,C3;HK,SJ,SA,S7;CJ,C9,SQ,C5;H2,H9,HA,S10;C4,H7,HQ,C10;D9,H3,H6,H4;H8,D6,H5,H10"
1571986372,2,26,1,"CA,C10,CK,C2;D8,DK,DQ,DA;D7,D5,D9,DJ;SQ,D2,D6,D10;S4,S5,S3,S6;S10,H10,S8,SJ;S9,H9,S2,SK;C5,CJ,C8,C3;C7,CQ,HA,C4;H7,C6,SA,C9;H6,H8,HK,D3;H2,H4,HJ,D4;S7,H3,H5,HQ"
1571986372,2,0,1,"DK,C10,C9,C2;DA,D9,DQ,D10;D8,D7,SQ,DJ;H8,D4,SA,D6;S3,S6,S4,S2;SJ,S7,S8,SK;HK,D5,H7,D2;CA,HA,C6,C3;HQ,HJ,C8,C4;CK,H10,H4,C5;H6,S10,H9,C7;H3,S9,H5,CJ;H2,S5,D3,CQ"
1571986372,2,13,1,"C10,CK,CQ,C2;D8,DA,DK,D9;DQ,D7,D5,D10;SA,D2,D3,DJ;S9,S3,S7,S10;S8,SQ,S6,SK;C9,C3,CA,C4;H9,S2,SJ,S4;H3,H2,H8,H4;HK,CJ,C8,C5;H7,HQ,HJ,S5;D6,C7,H5,H6;D4,C6,H10,HA"
1571986372,2,0,1,"CA,CJ,CQ,C2;DJ,DA,D9,DK;D5,DQ,D10,D8;D2,SA,D3,D7;S10,S3,S9,SJ;C8,C10,C6,C7;SQ,HQ,S8,SK;HA,CK,C5,C3;HK,C4,HJ,C9;H8,H9,H6,D4;H7,H5,S6,D6;S7,H3,S5,H2;S2,H10,S4,H4"
1571986372,2,16,1,"CA,CJ,CK,C2;DK,DA,DQ,DJ;D5,D9,D2,D10;D4,D7,SA,D8;S3,S2,S6,S4;S9,S5,SJ,S7;S10,HA,S8,SQ;C3,C8,C9,C4;CQ,SK,C7,C5;HQ,HJ,C6,C10;H10,D6,HK,D3;H5,H3,H2,H4;H8,H7,H6,H9"
1571986372,2,0,1,"CJ,C8,CA,C2;DA,D9,DQ,D8;D7,DJ,D5,DK;D6,D10,SA,D2;S3,SJ,S4,S2;C7,C5,CK,C10;HA,S6,S7,S5;S9,HK,S10,S8;HQ,H7,H9,SQ;HJ,H5,H8,SK;C4,CQ,H6,C6;H4,H10,H3,C3;H2,D3,D4,C9"
1571986372,2,1,1,"CK,CJ,CA,C2;DK,D10,DA,D5;D2,DQ,D7,D9;D3,D6,HA,DJ;S7,S6,S9,S10;S5,S3,S8,SJ;S4,SK,HK,SQ;HJ,H8,S2,SA;CQ,C3,C10,C7;H4,H7,H2,H5;C9,H10,H3,C4;H9,D8,C6,C8;H6,D4,C5,HQ"
1571986372,2,1,1,"CQ,C10,CA,C2;DK,DA,D10,D8;D9,D6,DQ,D5;D2,HJ,D4,DJ;C9,C7,SQ,C8;S2,S4,HK,S5;S8,S3,HQ,S6;SJ,H9,S7,S9;H8,HA,S10,SK;H2,H10,H7,SA;D7,H3,H6,D3;C5,C6,H5,CJ;C3,C4,H4,CK"
1571986372,2,4,1,"CA,CK,C10,C2;D10,DA,D7,DK;D5,D9,D8,DQ;H8,D6,D4,DJ;S6,S4,S3,S2;SQ,S5,S10,S7;SK,HJ,SJ,SA;HA,D3,H2,D2;CQ,HK,C8,C5;H10,C3,C6,C4;CJ,H4,HQ,H3;H9,C9,H7,S8;H6,C7,H5,S9"
