1571987470,2,19,3,"CJ,CA,CQ,C2;DJ,DA,D10,DQ;D4,D8,D6,DK;SQ,D3,D2,D9;SA,SK,S7,S3;S10,S6,HK,S9;S5,H8,SJ,S2;C3,C9,CK,C5;C7,HJ,C8,C4;H2,H7,H6,H3;H10,HA,C10,C6;HQ,S8,H5,D5;H9,S4,H4,D7"
1571987470,2,0,3,"CA,CQ,CK,C2;D10,DA,D3,DK;SK,DQ,D9,D8;D7,D6,HK,DJ;SJ,SA,S8,S7;S6,S9,S10,S2;S4,S3,HA,S5;C10,C7,CJ,C3;HJ,C9,HQ,C4;H9,H10,H7,SQ;H5,C8,H3,C5;D4,H8,H4,D5;D2,C6,H2,H6"
1571987470,2,2,3,"CJ,CA,C10,C2;D8,DQ,DA,D10;D9,D7,SA,DK;D4,H10,SK,DJ;S6,SJ,S9,S5;S8,S10,SQ,S2;C5,CK,C7,C4;HJ,CQ,H9,C3;H8,C9,H5,C6;D6,H6,H2,H3;S7,HK,D5,C8;S4,H7,D3,HQ;S3,H4,D2,HA"
1571987470,2,0,3,"CK,CA,CJ,C2;D7,DK,DA,DJ;D9,D5,DQ,D8;D4,D6,HA,D10;S4,SK,S9,S3;S8,SA,S2,S7;HJ,S10,S6,SJ;CQ,C9,C4,C7;C6,H8,C10,C3;H6,D3,H7,D2;S5,HK,H4,SQ;H5,H9,C8,H10;H2,H3,C5,HQ"
1571987470,2,0,3,"C6,CQ,CK,C2;DJ,DK,HA,DA;D5,DQ,HQ,D9;H10,D7,D2,D10;S7,SK,SA,S5;S8,S6,S9,S4;CA,C5,CJ,C3;SQ,S3,H8,S10;H5,D4,HJ,D6;H4,D3,H7,D8;H3,C9,H2,H6;C7,C8,C10,H9;S2,C4,SJ,HK"
1571987470,2,8,3,"CJ,CQ,CA,C2;DK,DQ,DA,DJ;D7,D8,D10,D6;HJ,SQ,D5,D9;S5,SJ,SA,S7;SK,S3,S10,S2;C7,C8,CK,C6;HK,H10,S9,S6;H6,H8,H9,S4;H3,H5,H7,S8;C10,H2,C5,C4;D4,C3,HA,C9;D2,H4,HQ,D3"
1571987470,2,0,3,"C10,CK,CA,C2;D9,DQ,DA,DJ;D6,D8,D10,DK;D3,SA,D7,D5;S5,S3,SJ,S7;SK,SQ,S2,S4;HA,H10,S6,S8;HK,H7,H9,S9;HJ,H6,H4,S10;C7,CQ,CJ,C4;C8,HQ,H5,C3;H8,H3,C9,C5;C6,D4,H2,D2"
1571987470,2,0,3,"C5,CQ,CA,C2;DA,D3,DK,D9;HA,D10,D5,DQ;HK,D7,SK,DJ;SJ,S7,S10,S2;SQ,S4,SA,S5;S8,H2,S3,S6;D2,H3,H5,H4;HQ,C10,HJ,S9;H10,C9,CK,D4;H9,C7,CJ,D6;H8,C6,C8,D8;H7,C4,C3,H6"
1571987470,2,4,3,"CQ,CJ,CK,C2;DA,DK,D10,DJ;H9,D9,D8,DQ;H7,D5,D4,D7;S8,SA,SK,S3;S2,S10,S7,S5;S6,SJ,HK,S9;HJ,HA,S4,SQ;H10,CA,C10,C4;C8,C9,H5,C3;H4,H2,H6,H3;HQ,D3,C6,C5;C7,H8,D2,D6"
1571987470,2,19,3,"CA,C10,C8,C2;DK,DQ,DA,DJ;D10,SQ,D6,D7;HA,D4,D5,D9;SJ,S10,SA,S4;SK,S9,S8,S2;S3,H10,S5,S6;HQ,H7,HK,S7;C9,C6,CK,C5;H8,C7,C4,CJ;H5,HJ,C3,CQ;D8,H6,D2,D3;H3,H2,H9,H4"
1571987470,2,3,3,"CA,CQ,C9,C2;D7,DK,DQ,DA;C8,C6,CK,CJ;SA,D2,DJ,D10;S9,SK,S10,S4;S2,S6,HQ,S3;H8,SJ,SQ,S5;HA,C10,C5,C3;HK,HJ,D9,D3;D8,H10,H9,D5;C4,H6,H7,D4;S8,H5,H3,D6;S7,C7,H2,H4"
1571987470,2,2,3,"CA,CK,C10,C2;D8,DA,D6,DK;HA,DQ,D7,D10;D3,D5,HK,DJ;SA,S10,S4,SJ;S9,H10,SK,S8;HQ,S7,H8,SQ;CQ,H9,C8,C3;H3,C6,C9,C7;CJ,S6,C4,C5;S5,H4,D9,H2;D4,H6,S3,H5;S2,H7,D2,HJ"
1571987470,2,6,3,"C9,C10,CA,C2;DK,DQ,D9,DA;DJ,D8,D4,D10;D5,SQ,D6,D7;S9,SJ,SA,S8;SK,S3,S4,S5;C5,C7,CJ,C4;H9,HA,S2,S6;D2,HJ,HQ,S7;CK,H10,H8,S10;CQ,H2,H6,H3;HK,C8,H4,C3;D3,H7,H5,C6"
