1571988695,2,0,0,"CQ,CK,CA,C2;DA,DK,DQ,D4;D7,D9,DJ,D6;C10,CJ,C4,C5;D2,D8,D10,D3;HA,SA,SQ,D5;C8,H6,C9,C6;SK,S7,SJ,S6;C7,H4,HK,C3;S8,S10,S5,S3;S2,HQ,S4,S9;H9,H5,H3,H7;H8,H2,H10,HJ"
1571988695,2,3,0,"CK,C10,CA,C2;DA,DJ,DK,D5;D10,D8,D2,D6;C9,C5,C8,C3;HA,DQ,SK,D4;HJ,SQ,HQ,D3;CQ,C7,H8,C6;S8,S5,SA,S9;S10,S3,S4,S6;C4,H7,D9,CJ;H5,H4,D7,H6;HK,H3,SJ,H9;H2,S7,H10,S2"
1571988695,2,15,0,"CQ,CA,C7,C2;SA,S5,SK,S6;DJ,DQ,DA,D4;SJ,S2,HQ,S3;D10,D5,DK,D3;S10,SQ,H7,S8;D2,D9,D7,D6;HK,CK,CJ,C8;C6,C9,HJ,C4;H3,H8,H6,D8;S9,H5,H4,H9;S7,H2,C5,H10;S4,C10,C3,HA"
1571988695,2,0,0,"C6,CQ,CA,C2;DJ,DA,D8,D6;SQ,DK,D5,D4;S10,S9,SA,SK;HQ,S7,S4,S6;D10,CJ,DQ,D2;CK,C3,C10,C9;HA,C8,H10,C5;H9,HK,HJ,S5;H8,H4,H6,S3;H7,H3,H2,S2;H5,C7,D7,S8;D9,C4,D3,SJ"
1571988695,2,6,0,"CK,CJ,C9,C2;S10,SA,SK,S5;D8,DK,DA,D6;D9,HA,DQ,D4;S9,SJ,S3,S2;HK,D10,DJ,D5;S8,H3,S7,S6;CA,H9,D7,D3;HQ,CQ,H8,S4;HJ,C7,H6,SQ;C6,C5,C8,C10;H10,C4,H4,H5;C3,H2,H7,D2"
1571988695,2,20,0,"C7,CA,CK,C2;D9,DJ,DQ,D5;DA,D4,D6,D3;HA,SK,D8,D2;CQ,CJ,C9,C3;C10,C6,SA,C5;H10,HQ,C8,C4;S10,SJ,S8,SQ;H8,H9,D7,D10;H6,H3,HJ,DK;S9,S7,H4,H2;HK,S4,S6,S5;H7,H5,S3,S2"
1571988695,2,0,0,"CK,CJ,CA,C2;D9,D2,DK,D5;DA,HJ,SK,D6;H7,H9,DQ,D4;D10,H4,H8,D3;CQ,C10,SA,C5;C6,HK,C8,C4;S10,S9,S8,S2;S7,S6,SJ,S5;S4,S3,HQ,SQ;H2,H6,DJ,D7;HA,C9,H3,D8;H5,C7,C3,H10"
1571988695,2,0,0,"CK,C10,CA,C2;DA,DQ,DK,D6;D10,D9,DJ,D4;SA,D8,D2,D3;SQ,D7,H7,D5;SJ,S4,S6,S2;CQ,C8,SK,C6;HQ,S10,S9,S3;S7,HK,HJ,S8;H3,H2,H5,H4;HA,C5,CJ,C3;C7,H9,C4,C9;H8,H6,S5,H10"
1571988695,2,0,0,"CJ,CA,CQ,C2;C8,CK,C6,C4;D10,DK,DA,D5;SQ,D8,DQ,D4;SJ,SK,SA,S4;D9,DJ,HJ,D6;S10,S6,S2,S3;C3,C10,HA,C5;HQ,H7,H8,C7;H9,H3,H6,C9;H5,H2,D3,D7;S8,S9,H4,H10;S7,S5,D2,HK"
1571988695,2,1,0,"CA,CK,CJ,C2;DK,DA,D5,D4;D2,DQ,D7,D6;C10,C9,C7,C5;C4,C6,CQ,C3;S9,SK,SA,S5;HQ,S8,S2,S3;SQ,SJ,H8,S6;HA,DJ,H9,D3;H7,HJ,HK,C8;H4,D10,H10,D8;H6,H5,S7,H2;D9,S4,H3,S10"
1571988695,2,0,0,"CQ,CK,C3,C2;DQ,D10,DA,D4;C9,SQ,CA,C4;D7,DK,D8,D5;D6,HA,SA,D3;H6,HQ,DJ,D2;SK,S5,S7,S4;H3,S6,SJ,S3;HK,H2,S2,S8;HJ,C10,H9,S9;H8,C7,H7,S10;H5,C6,CJ,D9;H4,C5,C8,H10"
1571988695,2,14,0,"C6,CK,CA,C2;DK,DJ,DA,D2;C7,CJ,C5,C3;D10,HQ,DQ,D6;SA,S5,S8,S6;D8,H10,SQ,D5;H9,SK,D9,D4;HJ,S3,SJ,S4;S10,H6,H5,S7;H3,H2,S9,S2;H7,D7,CQ,H8;H4,D3,C9,HK;C10,C4,C8,HA"
