1571988700,2,24,0,"CA,C8,C6,C2;DA,DQ,D10,D3;D9,D7,DK,D6;C7,SK,CK,C5;SJ,S8,S7,S9;C4,H7,CQ,C3;S6,S4,S3,S10;S5,HK,S2,SA;CJ,H5,H6,C9;H4,H2,HQ,SQ;H3,D8,H10,C10;DJ,D5,H9,HJ;D2,D4,H8,HA"
1571988700,2,0,0,"C7,CJ,CK,C2;DK,DJ,DQ,D3;D10,D7,DA,D4;SJ,SA,S10,S4;D6,D8,HK,D5;H6,S6,S5,S7;H4,HA,S3,S8;H3,HQ,S2,S9;CA,H9,H10,SQ;CQ,H8,D2,SK;C9,H7,C10,C8;HJ,C5,H2,C6;H5,C4,D9,C3"
1571988700,2,3,0,"CJ,C10,CA,C2;DK,DQ,DA,D6;D10,D9,DJ,D3;D8,D5,D7,D4;C8,CK,C9,C4;S9,SJ,S10,SQ;S8,SA,S5,SK;S4,HA,S3,S6;HQ,HK,S2,S7;H3,H4,H9,H2;H10,H7,HJ,D2;H6,C5,CQ,C6;C7,H5,C3,H8"
1571988700,2,26,0,"CJ,CA,CK,C2;D10,DK,DA,D5;C5,CQ,C8,C3;DJ,D8,DQ,D6;D9,D4,SA,D2;C4,C10,SK,C6;S8,SJ,S7,S5;HA,S4,S2,S6;H9,HK,HQ,S3;H7,H10,HJ,S9;H5,H8,H4,S10;H3,C9,H2,SQ;D3,C7,D7,H6"
1571988700,2,9,0,"C9,CA,CK,C2;D8,DA,DQ,D6;D4,DK,D7,D5;CQ,CJ,SQ,C6;S3,SA,S10,S7;D10,HJ,DJ,D2;SK,D9,H10,D3;H9,S2,SJ,S6;S5,H8,HK,S4;H5,C7,H6,H2;HA,H7,C5,S8;H4,C10,C4,S9;H3,C8,C3,HQ"
1571988700,2,0,0,"C6,CA,C9,C2;DJ,DK,DA,D4;S5,SK,S2,S8;D8,DQ,D7,D3;S4,S7,HJ,S9;S3,S6,H8,S10;SQ,HA,H6,SJ;HK,D6,D10,D2;H7,H10,H4,SA;C10,H9,D5,D9;C8,H2,CK,H3;C7,C5,CQ,H5;C3,C4,CJ,HQ"
1571988700,2,0,0,"CQ,CA,CJ,C2;DQ,DA,DK,D2;DJ,D7,D9,D4;SA,D6,HK,D3;H10,D10,HA,D5;C3,C10,CK,C6;C8,HJ,SQ,C5;H7,SK,C9,C4;S7,S6,S9,S8;SJ,H9,S5,S4;H8,S2,S3,S10;H3,H6,HQ,C7;D8,H4,H5,H2"
1571988700,2,11,0,"CK,C9,C8,C2;C7,C3,CA,C6;DJ,DK,DQ,D2;D9,DA,D10,D6;S10,SJ,S2,S6;D8,SA,SQ,D3;SK,H10,D7,D5;HA,CQ,C10,C5;S8,S5,HQ,S7;H8,HJ,CJ,C4;S4,H6,H3,S9;H7,H5,H2,H9;S3,H4,D4,HK"
1571988700,2,1,0,"CJ,C10,CK,C2;CA,C4,C8,C6;DK,DA,D9,D6;S10,SA,S5,S6;D10,SK,HA,D3;HK,HJ,DQ,D5;C3,HQ,C9,C5;S4,H10,SJ,S3;S9,SQ,H9,S7;H6,H8,H7,C7;D8,H5,H4,CQ;D4,H2,H3,D7;D2,S8,S2,DJ"
1571988700,2,13,0,"C9,CQ,CJ,C2;DA,D10,D7,D3;D8,D6,DQ,D4;C10,CA,C5,C6;D2,SQ,DK,D5;SJ,S9,SA,S4;C8,CK,H10,C4;S8,SK,S2,S5;H8,HK,H7,C3;H5,S10,S6,S3;H6,HA,H3,S7;H4,H9,DJ,HJ;H2,C7,D9,HQ"
1571988700,2,0,0,"CQ,C10,CA,C2;DJ,DA,DQ,D5;D9,DK,D8,D6;SK,SJ,S5,S6;D7,D2,D10,D4;S9,S10,S3,S2;C8,SQ,CK,C6;H8,HK,SA,D3;CJ,C3,HA,C5;H9,HQ,C9,C4;S4,H7,S8,S7;H10,H3,H4,H5;C7,H2,H6,HJ"
