1571988780,2,0,0,"CA,CQ,C9,C2;DQ,DK,D8,D6;SQ,DA,D10,D4;C4,C7,CK,C5;CJ,SK,HJ,C6;S7,SJ,SA,S4;HQ,HK,H9,C3;S8,S5,S10,S6;HA,DJ,D5,D2;H6,S3,S9,S2;H7,H3,H8,C8;H5,H2,H4,C10;D9,D3,D7,H10"
1571988780,2,2,0,"CK,CJ,CA,C2;DJ,DQ,DK,D6;C10,C9,CQ,C6;D9,DA,D10,D4;D5,D8,D7,D3;HA,HK,SA,D2;H6,C4,C3,C5;S10,S7,SK,S3;SQ,S9,HQ,S6;H2,HJ,H9,C7;S5,H8,H4,C8;S4,H5,SJ,H3;S8,H10,S2,H7"
1571988780,2,1,0,"CQ,CJ,CA,C2;DJ,DK,D8,D5;D2,DA,D10,D4;C9,C10,C7,C5;HJ,DQ,D7,D3;SK,SA,S10,S6;S9,S5,HA,S3;CK,C8,SQ,C6;H9,SJ,S8,S4;H6,H10,D6,D9;C3,H7,H5,H8;S7,H4,H3,HQ;S2,H2,C4,HK"
1571988780,2,0,0,"CK,CJ,CQ,C2;DK,D10,DQ,D5;D9,DJ,DA,D2;D8,D6,D7,D4;S8,S7,SK,S6;SA,SQ,H7,D3;C7,C9,CA,C3;C10,H9,C4,C6;SJ,S3,S5,S10;HA,H5,HQ,S4;HK,H4,HJ,S2;H10,H3,H8,S9;H6,C5,C8,H2"
1571988780,2,2,0,"CA,CK,CJ,C2;DJ,DK,D9,D6;D2,DA,D7,D5;SA,D3,SQ,D4;C8,C9,C10,C6;SK,SJ,S9,S6;C5,C7,H8,C4;H7,CQ,HA,C3;S10,HK,S5,S7;HQ,S4,H4,S3;DQ,S8,H10,S2;H3,H2,D10,H5;H9,H6,D8,HJ"
1571988780,2,7,0,"CK,CA,C10,C2;DK,DA,DQ,D6;SQ,D10,D5,D4;SA,DJ,SK,D3;S6,S4,SJ,S5;C8,CJ,CQ,C6;HJ,D9,HQ,D2;S3,HK,S8,S9;S2,H9,S7,S10;H3,D8,H7,H2;HA,H10,C7,C4;C9,H8,H6,C5;H5,H4,D7,C3"
1571988780,2,7,0,"CA,CJ,CQ,C2;DA,D4,DQ,D5;D2,DJ,DK,D6;S9,SA,S8,S6;CK,C10,C8,C5;D10,D9,SK,D3;S4,S5,S7,S10;SQ,S3,H4,SJ;HK,D7,H10,D8;HJ,C9,H2,H3;C7,H8,HA,C3;H6,H9,HQ,C6;H5,H7,S2,C4"
1571988780,2,18,0,"C8,CK,CJ,C2;C9,CA,C5,C6;DK,DJ,DQ,D5;HA,D8,DA,D6;D10,H9,SK,D2;H2,HQ,D7,D4;SA,S10,SJ,S4;CQ,HJ,H8,D3;S9,S6,S8,SQ;C10,H10,H7,D9;C7,C4,H4,H3;HK,S3,S5,S7;H5,C3,S2,H6"
1571988780,2,15,0,"CA,C5,C10,C2;DA,DK,D10,D5;DJ,D7,D3,D6;CK,CJ,SK,C4;H10,DQ,D8,D2;SA,SQ,H9,D4;SJ,S9,S10,S4;S8,S7,S3,S6;C6,HA,C8,C9;C3,H7,C7,CQ;H5,H6,H3,H8;H4,H2,HQ,HJ;HK,S5,D9,S2"
1571988780,2,2,0,"CK,CA,C9,C2;SA,S9,SJ,S7;DQ,DA,DJ,D4;D10,D8,D9,D5;S5,S6,S8,S10;S4,HA,HK,SQ;S3,H8,H10,SK;C7,C4,C10,C8;HQ,HJ,D7,D2;DK,H9,H6,D6;CQ,H5,C3,C6;H3,H2,C5,CJ;S2,D3,H4,H7"
1571988780,2,6,0,"C10,CA,CJ,C2;DA,D10,DQ,D6;S10,SA,S6,S5;D2,DK,D9,D5;S9,SK,S2,S8;HJ,DJ,SQ,D4;S7,S3,H10,SJ;H9,D3,CK,D7;H4,HA,C9,D8;CQ,H3,C7,H2;C6,H6,C8,H7;C4,H5,C5,H8;C3,HK,S4,HQ"
