1571988921,2,0,3,"C10,CA,CK,C2;DA,D3,DK,D2;SA,DJ,DQ,D4;C4,CQ,C8,C6;C5,C7,H10,C3;SJ,SK,S9,S6;S7,S5,S10,S4;HA,S2,SQ,S3;H8,HQ,D9,D8;D10,H7,H9,D6;H3,H6,H5,H4;D7,HK,H2,C9;D5,HJ,S8,CJ"
1571988921,2,3,3,"CA,C7,CK,C2;DJ,D10,DQ,D6;CQ,C5,CJ,C6;D4,D5,D9,D3;C9,SK,C10,C3;D7,DA,HK,D2;S10,SA,S7,S8;HQ,SQ,H8,C4;S6,SJ,S9,S2;H4,HA,H10,D8;H2,HJ,H9,DK;S5,H3,H7,H5;H6,S4,C8,S3"
1571988921,2,1,3,"C10,CJ,CA,C2;SK,S7,SA,S5;DJ,DK,D5,D2;D4,DA,D10,D6;S10,S3,S6,S2;H3,S4,SJ,S8;SQ,DQ,HA,S9;C7,C9,C8,CQ;C6,C4,HQ,CK;D9,H6,H2,H4;H10,HK,D8,D3;C3,H8,HJ,C5;H9,H5,H7,D7"
1571988921,2,14,3,"CK,CJ,CA,C2;DQ,D5,DA,D4;D9,DJ,SA,D2;SK,DK,D3,D6;SJ,S9,S6,S3;C4,CQ,HQ,C6;HJ,C9,SQ,C3;HA,C10,H6,C5;S10,S4,S8,S2;H7,S5,HK,S7;H4,D10,H9,D7;H3,H5,H2,H8;C8,D8,C7,H10"
1571988921,2,14,3,"CK,C10,CA,C2;DJ,DA,D5,D6;D4,DK,D8,D2;SA,D10,SQ,D3;C8,CJ,C9,C5;C6,CQ,HQ,C3;HJ,C7,HA,C4;S6,SJ,S9,S4;S7,SK,S5,S8;S3,H10,S2,S10;H7,D9,H9,DQ;H6,H5,H4,H8;H3,D7,H2,HK"
1571988921,2,7,3,"C8,CK,CA,C2;DA,D8,D10,D4;S9,SJ,SA,S2;DQ,D7,D5,D3;S6,S4,SK,S8;D9,D6,H6,D2;S5,H4,S7,S10;HA,H3,S3,SQ;C4,CJ,C7,C9;HK,CQ,H10,C6;H2,C10,HQ,H5;HJ,H9,C5,DJ;H8,H7,C3,DK"
1571988921,2,21,3,"CK,C5,CJ,C2;D10,DK,D8,D6;D4,DA,HA,D3;HQ,DQ,SQ,D5;CA,C9,C3,C6;C7,H8,C8,C4;SJ,SA,S8,S7;H7,D9,CQ,D2;S10,SK,S5,S9;H5,D7,C10,DJ;H4,H3,S6,H6;H2,HJ,S4,H9;S2,H10,S3,HK"
1571988921,2,3,3,"CK,CJ,CA,C2;D9,DK,DA,D6;D7,D3,DQ,D2;SA,SQ,SK,D5;HA,HK,HQ,D4;C10,C9,CQ,C6;C5,C8,HJ,C4;S8,SJ,S9,S6;H7,S7,S2,S4;H10,S10,DJ,S5;D10,H2,H4,H3;H5,D8,C7,H6;H9,C3,S3,H8"
1571988921,2,18,3,"C10,CQ,CK,C2;DK,D10,DA,D2;DQ,DJ,D3,D4;CA,SK,C8,C6;H7,D7,SA,D6;CJ,C3,H4,C5;S7,SJ,SQ,S3;C9,HQ,H3,C4;H9,S8,HK,S2;HJ,S10,H5,S6;D9,S5,H10,S9;D8,H2,H8,H6;HA,D5,S4,C7"
1571988921,2,6,3,"CK,CQ,CA,C2;D8,DA,D10,D4;SQ,DK,D7,D6;S4,S8,SA,S2;C9,CJ,C3,C6;DQ,SK,DJ,D2;H10,HQ,HA,D5;H9,HJ,H7,D3;SJ,S10,H2,S6;H6,C10,HK,C5;H8,H4,H5,C4;D9,H3,S9,C7;S5,S3,S7,C8"
1571988921,2,0,3,"CA,C10,C5,C2;D10,DK,DA,D4;DQ,D7,DJ,D2;C8,C4,CQ,C6;S10,SA,S5,S4;D9,HJ,D8,D6;H3,SQ,SK,D5;H2,HA,HK,D3;C7,CK,H7,C3;H5,HQ,S9,C9;SJ,H8,S8,CJ;S6,H6,S7,H9;S3,H4,S2,H10"
