1571990122,2,5,1,"CQ,CA,C7,C2;D9,DK,DQ,DA;D5,D10,DJ,D8;SQ,D2,D4,D7;SK,H10,D3,D6;SJ,S7,S9,S2;S6,HA,SA,S5;S10,H9,HK,S3;H8,HQ,S4,S8;C5,CJ,C8,C9;H7,CK,C4,C6;H4,HJ,H2,H3;H5,H6,C3,C10"
1571990122,2,0,1,"C9,CA,CK,C2;D9,DA,DK,D8;DQ,D7,HQ,D6;D3,HJ,D5,DJ;SA,H9,D4,D10;SK,SJ,S10,S4;S9,HA,S6,S2;H8,S5,S7,S8;CJ,C6,CQ,C3;H7,H5,SQ,S3;H6,H3,H2,H4;C10,C4,HK,C5;D2,H10,C8,C7"
1571990122,2,1,1,"C8,CA,CQ,C2;DK,DQ,DA,DJ;D9,D8,D10,D4;D3,D5,SQ,D7;SK,D2,HQ,D6;S8,S10,SJ,S9;SA,S7,S5,S3;C7,C10,H10,C6;S4,HJ,S6,S2;C4,H7,CK,C3;C5,HA,H6,C9;HK,H9,H5,CJ;H4,H3,H2,H8"
1571990122,2,0,1,"C10,CQ,CK,C2;D7,DA,D6,DK;D5,DQ,SQ,D9;SA,D8,HA,DJ;SK,D2,H8,D10;S9,S5,SJ,S10;HK,S7,S4,S3;C5,C7,CJ,C8;HJ,HQ,H5,D3;H4,H9,H3,D4;H2,C4,C6,H6;CA,C3,S8,H7;C9,S2,S6,H10"
1571990122,2,18,1,"CA,CJ,C9,C2;DQ,DA,D8,DK;D6,HQ,D10,DJ;SK,H10,D9,D5;D3,HJ,H3,D7;S5,S7,SJ,S4;SA,S3,H8,S6;S2,H7,S10,SQ;D2,CK,CQ,D4;H4,C8,C10,H2;C6,C7,HA,C4;HK,H6,C5,S8;H9,H5,C3,S9"
1571990122,2,0,1,"C5,C8,CA,C2;D9,DK,DA,D10;SK,D5,DJ,DQ;HA,H9,D8,D6;D3,HQ,H6,D7;SA,H8,S7,S2;H7,S6,SJ,S8;SQ,CK,S3,S4;CQ,H3,D4,D2;HJ,C9,H2,S5;H10,C7,CJ,S9;H5,C6,C10,S10;H4,C3,C4,HK"
1571990122,2,0,1,"CK,DJ,CA,C2;DA,D10,D8,DK;D2,D5,DQ,D9;D3,HJ,D4,D7;SK,H9,SQ,D6;S8,S5,SJ,S6;SA,S4,S3,S7;C10,CQ,H10,C5;H8,C8,C4,C3;HA,CJ,H6,C7;H3,HK,HQ,C6;S10,H7,H2,C9;S9,H5,S2,H4"
1571990122,2,10,1,"C8,C9,CA,C2;DA,D9,DQ,DK;SQ,DJ,D7,D8;D2,D4,SA,D10;HJ,D3,HK,D6;H7,SK,S8,S2;S7,S10,H3,S4;H2,SJ,S6,S3;S5,HQ,CK,S9;C7,C6,CQ,C5;CJ,H10,H8,C3;H6,H5,C10,H9;H4,D5,C4,HA"
1571990122,2,0,1,"CK,C8,CA,C2;DK,D8,DA,D10;D5,DJ,SA,DQ;D3,D6,SK,D9;HA,D4,HK,D7;S8,SJ,S10,SQ;CQ,CJ,HQ,C5;S9,S7,H10,S2;S5,H9,S6,S3;C10,HJ,H7,C4;H5,H6,C9,C3;C6,H3,H2,C7;H4,S4,D2,H8"
1571990122,2,17,1,"CJ,CQ,CA,C2;D10,DK,D9,DA;D5,D8,SA,DQ;D2,D7,HA,DJ;H8,D6,HQ,D3;S10,SK,SJ,S4;S2,S9,S6,S3;HJ,S5,H7,S7;H6,SQ,H4,S8;C10,C9,C8,C3;HK,C7,CK,C4;H3,H10,C6,H5;C5,H9,H2,D4"
1571990122,2,0,1,"CA,CK,CQ,C2;DJ,D5,DA,DK;DQ,D10,HK,D6;D7,HJ,D3,D9;D4,H10,D2,D8;SA,S6,S9,S10;S4,S8,SQ,S2;C7,CJ,C10,C3;S7,HA,SK,S3;H8,S5,H3,SJ;C6,C9,C8,C4;H2,H6,H5,H7;C5,HQ,H4,H9"
1571990122,2,3,1,"CA,DA,C6,C2;DJ,D5,DK,DQ;D10,D9,SK,D8;D7,HA,D6,D3;HJ,HK,CK,D4;S7,SJ,S6,S9;S3,SA,S4,S5;S2,S8,CQ,S10;H10,H5,CJ,SQ;H9,H4,C10,D2;H8,H3,C9,H6;C8,C7,HQ,C4;C3,H7,C5,H2"
