1571993048,2,7,2,"C8,CQ,C7,C2;D10,DJ,DA,DK;D7,D9,D6,DQ;D2,HK,D4,D8;HA,HJ,SK,D5;HQ,H6,CA,D3;S10,SJ,S8,S7;S6,SA,S4,S2;H10,S9,CK,SQ;C9,C6,CJ,C4;H9,H8,H4,C3;H3,H7,S5,C5;H2,H5,S3,C10"
1571993048,2,3,2,"CK,C7,C5,C2;DK,DQ,DJ,DA;D10,D4,D5,D8;D3,SQ,D2,D9;HQ,SA,SK,D7;HJ,HA,HK,D6;SJ,S9,S7,S3;H7,S2,S8,S4;S10,CA,H5,S6;CQ,H4,H10,S5;CJ,C10,C4,C3;C6,H8,H9,C8;H2,H6,H3,C9"
1571993048,2,2,2,"CJ,CK,CA,C2;D10,DJ,DA,DQ;D7,D9,D8,DK;D4,D5,SA,D6;D3,HQ,HK,D2;C8,C10,C9,CQ;SJ,S4,SK,S3;S8,S10,H10,S2;H8,S7,S6,S9;H2,HJ,H9,H3;S5,H7,H4,SQ;C6,H6,C7,C3;C4,HA,H5,C5"
1571993048,2,0,2,"CK,CJ,CA,C2;D10,DQ,DA,DK;DJ,HQ,D3,D9;HJ,SQ,D8,D4;D2,H10,HK,D7;SA,H6,H9,D6;SK,S7,S10,S2;H2,S6,SJ,S4;S8,C10,S3,S9;CQ,C7,C9,C6;C5,H8,HA,S5;C4,H4,H5,C8;C3,H3,D5,H7"
1571993048,2,17,2,"CK,C4,C8,C2;DA,DK,D10,D8;DQ,D9,D7,DJ;HJ,SQ,D6,D3;D2,H5,HA,D5;SA,CA,H8,D4;SK,S10,S7,S3;S5,S4,S9,S8;SJ,S2,H6,S6;CQ,C9,C3,C7;C6,HK,HQ,C5;H3,H7,CJ,H2;C10,H4,H9,H10"
1571993048,2,0,2,"C8,CA,C10,C2;DA,DQ,DK,DJ;D5,D7,D9,D10;D3,D2,D4,D8;SA,SK,HA,D6;CQ,C4,CK,C7;S8,H10,S6,S4;H9,S5,SJ,S2;SQ,H3,S3,S7;CJ,HK,H8,C5;HJ,H7,HQ,C3;H5,S10,H6,C6;H4,S9,H2,C9"
1571993048,2,21,2,"CJ,C9,C8,C2;DA,D8,DK,DQ;D7,D2,DJ,D9;D5,D6,HK,D10;C3,HA,CA,C10;C6,SQ,HJ,CK;SA,SK,S10,S3;S8,S4,S9,S2;SJ,S6,H8,S7;HQ,H7,H4,S5;H9,H5,CQ,C4;H10,H2,H3,C5;H6,D4,D3,C7"
1571993048,2,5,2,"C8,CJ,CK,C2;D9,DQ,D6,DA;D8,DJ,HQ,DK;SQ,D10,H9,D7;H6,D4,SK,D5;C9,C10,CA,C5;SA,SJ,S3,S6;S10,H5,HA,S2;D3,H10,S8,S4;S9,D2,H8,S7;C7,H2,HK,S5;C6,CQ,H7,H3;H4,C3,C4,HJ"
1571993048,2,0,2,"C9,C10,CK,C2;DA,DQ,DJ,DK;SA,D9,D10,D7;D5,HA,D8,D3;H10,D2,HK,D6;H9,SK,H8,D4;H5,S8,SJ,S2;S6,H2,S7,S5;S10,S3,CQ,S4;SQ,CJ,HQ,S9;C8,CA,C5,C3;H7,HJ,C6,C7;H3,H4,C4,H6"
1571993048,2,26,2,"CJ,CA,CK,C2;DQ,D9,DA,DK;D8,DJ,D6,D10;D5,D2,D7,D4;SQ,HQ,HK,D3;CQ,C6,C8,C10;SJ,S10,SA,S5;S9,S6,S4,S7;C4,C7,C9,C3;HA,S3,S2,S8;HJ,H9,H10,SK;H8,H5,H4,C5;H6,H2,H3,H7"
1571993048,2,15,2,"CQ,CK,CA,C2;DK,D9,DJ,DA;DQ,D5,D10,D7;D4,D2,D3,D8;HK,SA,SQ,D6;C7,CJ,SK,C10;SJ,S10,S8,S3;S6,S7,S4,S2;C8,HJ,C9,C3;H10,HA,S9,S5;H4,H7,H6,H2;HQ,H8,C4,C5;H9,H3,H5,C6"
