1571993049,2,13,2,"CQ,C10,CJ,C2;D9,DJ,DK,DA;D5,D10,D6,DQ;D3,D4,HQ,D8;D2,SA,HJ,D7;C9,C5,CA,C8;SK,S8,SJ,S2;SQ,S6,S9,S5;C4,CK,C7,C3;S10,HA,S4,S3;H7,H10,H9,C6;H5,H3,H4,H6;H2,H8,S7,HK"
1571993049,2,6,2,"CJ,CQ,CK,C2;D10,DA,DK,DQ;DJ,D9,D6,D7;D3,D5,D2,D8;C5,CA,C6,C10;SQ,H9,SA,D4;SJ,S9,SK,S5;S10,S7,S8,S4;HK,C8,C3,C7;HA,HJ,S6,S2;H4,H3,H2,H5;C4,H7,H8,H6;H10,S3,HQ,C9"
1571993049,2,8,2,"CA,C8,C9,C2;DK,DJ,D5,DA;D10,D6,D3,DQ;D9,D2,SK,D7;SQ,H9,D4,D8;C6,CJ,CK,C7;SJ,SA,S10,S3;S7,S5,S6,S4;CQ,HQ,HA,C3;H10,HJ,C5,C10;H4,H5,H2,H3;H8,HK,S2,S8;C4,H6,H7,S9"
1571993049,2,4,2,"CQ,C9,CA,C2;DQ,DA,D8,DJ;D6,D7,D10,DK;HA,D5,D2,D9;HJ,D3,SQ,D4;C5,CK,CJ,C7;SA,S6,S9,S7;HK,S8,SK,S2;SJ,H10,S4,S10;H7,S3,HQ,S5;H6,C4,C10,C6;H9,H5,C3,C8;H8,H3,H2,H4"
1571993049,2,18,2,"C7,CK,CA,C2;D4,DA,D7,D9;D6,D8,SK,DK;D5,SA,HJ,DQ;D3,H9,H5,DJ;D2,H8,H4,D10;S7,S10,SJ,SQ;CQ,C10,C9,C3;S8,S9,HA,S5;HK,HQ,S4,S2;S6,H7,H10,S3;C4,CJ,C8,C5;H6,C6,H3,H2"
1571993049,2,0,2,"CK,CJ,CA,C2;DA,DQ,DK,D10;D7,D3,D8,DJ;D4,SQ,D6,D9;SA,HA,HJ,D5;HQ,HK,H6,D2;S8,S7,S9,S10;H9,S6,S5,SJ;H5,H10,S4,SK;CQ,C7,C5,C4;C6,H3,C10,C3;C9,H4,S3,H2;S2,H7,C8,H8"
1571993049,2,15,2,"CK,C5,CQ,C2;DQ,DA,D8,DK;D6,D9,DJ,D10;D4,D5,D7,D2;C4,C9,CA,CJ;HJ,SQ,H9,D3;SJ,SA,S10,S2;S8,HA,S7,S5;HK,S6,SK,S3;S4,H10,H8,S9;H2,H3,H5,H4;HQ,C6,C7,C8;H6,H7,C3,C10"
1571993049,2,1,2,"CA,CK,C9,C2;SK,DK,DA,D10;D6,HK,D9,DQ;D4,H4,D8,DJ;C4,CJ,C6,CQ;SQ,C8,C3,C10;SA,S10,S8,SJ;S7,S6,HA,S4;S5,HQ,S9,S2;H3,D7,HJ,D2;H10,D3,C7,D5;H5,H6,C5,H7;H9,H2,S3,H8"
1571993049,2,5,2,"CK,CA,C8,C2;D10,DK,DA,D7;D5,D4,DJ,DQ;SK,D3,D9,D8;C9,CQ,C7,CJ;C3,C10,SQ,C6;SA,S10,S8,SJ;S9,S6,HA,S4;S3,HK,H6,S5;S2,HQ,H4,S7;H5,H7,H3,H2;D6,H10,HJ,C4;D2,H8,H9,C5"
1571993049,2,21,2,"CQ,CK,C9,C2;DK,D3,DA,D9;D8,DQ,H9,D10;H8,D7,D2,DJ;H5,D5,HA,D6;CA,SA,HQ,D4;S9,SJ,S8,S2;S7,SK,S5,S10;S3,HK,S6,SQ;CJ,C8,C3,C6;C5,H10,HJ,C4;H2,H3,C10,H4;S4,H7,C7,H6"
1571993049,2,18,2,"C9,CK,CA,C2;DJ,DA,DK,D7;D9,SA,D4,DQ;D6,H9,D3,D10;D5,H8,HQ,D8;SQ,H2,HJ,D2;SK,S9,S8,S6;S7,S3,S10,SJ;C6,CJ,C7,C8;C3,CQ,C5,C4;S5,H10,H7,C10;S4,H6,H4,HK;S2,H5,H3,HA"
