1571993050,2,3,3,"C8,C10,CA,C2;D10,DA,DJ,DK;SQ,DQ,D8,D7;D5,D6,HK,D9;D3,D4,HQ,D2;C4,CQ,CK,C7;SA,SJ,S9,S10;S8,S7,HA,S2;S6,HJ,SK,S5;H10,S3,H3,S4;H2,H4,CJ,H5;H7,C9,C6,H6;C5,C3,H9,H8"
1571993050,2,1,3,"CJ,CA,C10,C2;DA,DK,D6,D10;DJ,HJ,D4,DQ;D9,H8,SQ,D8;H7,SA,D3,D7;H4,HK,D2,D5;S9,S8,SJ,S5;SK,S7,S3,S2;C5,CK,HQ,C7;H9,C9,C4,C6;C3,CQ,H5,C8;S10,H3,H2,H6;S4,HA,S6,H10"
1571993050,2,4,3,"C10,CJ,CA,C2;DA,DK,D9,DQ;DJ,D7,D10,D3;D4,D6,D2,D8;HK,SQ,SK,D5;C7,C6,CK,C9;HQ,SJ,SA,S4;S9,HJ,S10,S3;S8,S5,H8,S2;H9,H7,S6,S7;H5,H4,H10,H2;HA,CQ,C3,C4;H6,C5,H3,C8"
1571993050,2,0,3,"C7,CA,C8,C2;D9,D5,DA,DJ;D10,D6,D2,DK;D8,HA,SQ,DQ;D7,HJ,SK,D4;C4,CJ,HQ,CK;S10,S3,SJ,S4;SA,S9,HK,S2;S8,H8,S6,S5;C10,H2,H3,H4;C9,H6,CQ,H5;C5,H10,C6,D3;S7,H7,C3,H9"
1571993050,2,1,3,"DJ,CJ,CA,C2;DQ,D10,DA,D8;D6,SA,D9,DK;D2,H10,D7,D4;SQ,HK,H9,D5;H7,HQ,H8,D3;S9,S8,H4,S2;S6,H3,SK,S4;S5,HJ,CK,S3;CQ,C9,HA,C5;C8,SJ,C10,C7;H5,C4,S10,C6;H2,C3,S7,H6"
1571993050,2,20,3,"CQ,CJ,CA,C2;D8,DA,D3,DQ;SA,D10,D5,DK;HJ,D9,D2,DJ;H9,D6,HA,D7;C10,C9,CK,C8;SK,S8,SJ,S3;S7,S9,S10,S5;C5,C6,HQ,C3;S4,HK,S6,S2;H5,H10,H7,SQ;H2,H6,H4,H3;C7,H8,C4,D4"
1571993050,2,2,3,"CQ,CK,C8,C2;DJ,DA,DK,D8;DQ,SK,D7,D10;C10,C6,CA,CJ;SQ,HA,D6,D9;H9,HQ,D5,D4;S10,S8,SJ,S4;SA,S2,S5,S7;HK,S3,S9,S6;HJ,C4,C5,C7;H6,H8,C3,C9;H3,H4,H2,H5;D3,D2,H7,H10"
1571993050,2,3,3,"CQ,CK,CA,C2;DA,D10,SK,DJ;D6,H10,D7,DK;D4,H9,SQ,DQ;D3,H7,SA,D9;HA,H6,HK,D8;S9,S3,S5,S2;H4,H8,SJ,S7;S8,C10,H3,S4;C8,CJ,D5,C3;D2,HQ,C7,C6;C9,S10,HJ,C4;S6,H5,C5,H2"
1571993050,2,11,3,"CK,CQ,CA,C2;D8,DA,DJ,DK;D10,D4,D6,DQ;D7,D2,D5,D9;HK,SQ,HJ,D3;C3,SA,CJ,C4;H10,HQ,SK,C5;H3,H7,HA,C6;H2,H5,H9,C7;S10,SJ,H8,C8;S9,S7,H4,C9;S8,S6,S5,C10;S3,S4,S2,H6"
1571993050,2,0,3,"CQ,CK,C10,C2;DK,DA,D8,DJ;D3,D10,D9,DQ;C5,C4,C8,CA;SA,SQ,C7,CJ;H10,SK,C6,C9;SJ,S6,S7,S2;HQ,S4,S10,S8;S9,H7,HJ,S3;D7,D6,HA,D2;H9,HK,H5,D4;H4,H8,H3,D5;C3,S5,H2,H6"
1571993050,2,9,3,"CK,CQ,CA,C2;DA,D10,DK,D9;D8,DJ,D7,DQ;D5,D3,D6,D4;CJ,C4,C10,C6;SA,SQ,HQ,D2;SK,S9,S8,S6;S7,HJ,SJ,S2;S5,S3,H9,S10;H8,C8,C3,C9;H2,HA,H5,H3;H7,HK,H4,C5;H6,H10,S4,C7"
