1571994351,2,3,0,"CK,CQ,CA,C2;DK,DA,DJ,DQ;D7,D10,D4,D9;SQ,HJ,D6,D8;SA,H9,D5,D2;SK,S8,S5,S9;S7,S3,S10,S4;CJ,C6,C10,C7;S6,H7,HK,SJ;C5,C9,HQ,C3;H5,HA,C4,C8;H4,H2,H10,H3;H6,D3,H8,S2"
1571994351,2,13,0,"C7,C10,CA,C2;DA,D10,DK,DQ;C3,C5,CK,CJ;SQ,D8,D9,DJ;H10,D7,D5,D6;S8,S2,S10,S3;SA,S5,HK,S4;HQ,HJ,S9,S7;SK,H8,H7,S6;H5,H3,H6,SJ;D3,H2,C9,D4;H4,CQ,C6,H9;D2,C8,C4,HA"
1571994351,2,7,0,"CA,CQ,C10,C2;DQ,D6,DJ,DA;D8,D5,D10,DK;D4,D3,D9,D7;CK,C9,C8,CJ;S9,SJ,SK,S7;SA,S3,S6,S10;S2,S5,HA,S8;C4,HJ,C6,C7;SQ,H10,HK,D2;H7,H2,H3,H4;H8,C5,HQ,C3;H6,H9,S4,H5"
1571994351,2,0,0,"CA,C10,CQ,C2;DJ,D5,DK,DA;D10,D2,D4,DQ;D9,SK,SQ,D7;HK,H9,D6,D8;S8,SJ,S10,S6;S9,SA,S4,S5;C3,CK,C7,C6;S2,HA,S3,S7;C5,C8,HQ,C4;H7,H8,HJ,D3;H4,CJ,H2,H5;H3,C9,H6,H10"
1571994351,2,20,0,"CK,CJ,CA,C2;D4,DQ,D7,DA;SQ,D9,D6,DK;HJ,D5,D3,DJ;H4,SA,SK,D10;C10,C6,HK,C5;S10,SJ,HA,S2;H10,S8,S9,S3;S6,H8,S7,S5;C4,HQ,CQ,C3;C9,H9,H7,D2;C8,H6,H2,D8;C7,H5,S4,H3"
1571994351,2,0,0,"C8,C9,CA,C2;H9,DQ,DA,DJ;D10,H2,D8,DK;D9,CK,D6,D7;CQ,D2,D3,D5;S10,SJ,S3,SQ;CJ,C6,C5,C7;S9,SA,HA,S2;HQ,S8,S7,SK;H3,C10,H5,H6;H7,C4,H4,H8;HJ,C3,S6,H10;S4,S5,HK,D4"
1571994351,2,7,0,"CJ,CA,C5,C2;C3,CK,C4,CQ;DJ,SK,DA,DQ;D8,D6,HK,DK;D5,D4,H4,D10;SJ,SA,S9,S3;S7,HA,S10,S8;SQ,S5,HQ,S2;H3,D9,HJ,D2;H5,H10,C9,D3;C10,H9,C8,D7;S6,H7,C7,H2;C6,H6,S4,H8"
1571994351,2,3,2,"CA,CQ,CK,C2;D6,D7,DQ,DA;D5,SA,D9,DK;SQ,SK,D4,DJ;HA,H10,H7,D10;HK,S5,SJ,S2;S6,HJ,S3,S4;C8,CJ,C9,C10;H2,HQ,C7,C4;C5,S10,H6,C3;S9,D8,H3,H4;S8,D3,H8,H5;H9,S7,D2,C6"
1571994351,2,5,2,"CA,C8,CK,C2;DQ,DK,DJ,DA;D9,D3,D6,D10;D8,SQ,SA,D4;SK,HA,HK,D7;S9,S7,SJ,S8;S10,S6,S4,S3;CJ,CQ,C9,C3;HQ,H4,S5,S2;C5,C6,C4,C7;HJ,H10,H2,C10;H3,H8,D5,H5;D2,H6,H7,H9"
1571994351,2,17,2,"C7,CJ,CQ,C2;DK,DA,D5,D8;D2,D6,D3,DQ;HA,SQ,SK,DJ;HQ,HJ,HK,D10;SJ,S3,S9,S5;S2,S7,SA,S4;S10,H10,S6,S8;C9,CA,C6,C10;C4,H9,C5,C8;D9,H7,C3,CK;D7,H2,H4,H3;H5,D4,H6,H8"
1571994351,2,18,2,"C8,CK,CA,C2;DA,DK,DJ,DQ;D7,D9,D3,D10;D5,D8,D2,D6;SQ,HQ,SA,D4;SK,SJ,S8,S4;S10,S7,S5,S2;S6,HA,S9,S3;CJ,C5,C7,C6;C3,C4,CQ,C10;HJ,H10,HK,C9;H7,H3,H4,H5;H2,H9,H6,H8"
