1571994882,2,1,2,"CQ,CK,CJ,C2;D9,DK,DQ,DA;D7,DJ,D8,D10;D6,D3,D5,D4;SJ,SA,S3,S5;HK,SK,S9,S4;H10,SQ,H2,H3;S10,HQ,HA,S2;H9,HJ,S8,S6;C8,CA,H8,C4;H7,C10,C7,C5;C3,H4,H6,C6;S7,D2,H5,C9"
1571994882,2,4,2,"CK,C10,CQ,C2;D7,D10,DJ,DA;D5,D8,D9,DK;D4,D3,SQ,DQ;SA,S9,S6,S7;S3,S5,SJ,S2;SK,HK,S4,S10;HQ,H8,H10,S8;C9,CA,C8,C3;C7,C5,HJ,C4;HA,D2,H6,D6;H2,H4,CJ,H5;H7,H3,C6,H9"
1571994882,2,0,2,"CJ,CA,CK,C2;DQ,DA,D10,DK;D8,D9,DJ,D6;CQ,C9,C10,C4;S10,SK,SA,S3;S8,HQ,SJ,S2;S7,S5,H9,S9;S6,H6,H4,SQ;H10,C8,C5,C6;C3,HA,H8,C7;D5,D7,H7,D2;H3,H5,H2,HJ;S4,D4,D3,HK"
1571994882,2,12,2,"C9,CA,CJ,C2;DA,DK,DQ,DJ;D9,D10,D7,D8;C8,C10,CK,C7;SJ,SA,SK,S2;S7,S5,S8,S6;SQ,C3,CQ,C4;HK,S10,S4,S3;HA,HQ,HJ,S9;D2,D4,H9,D3;H4,H7,H3,H5;H8,H10,C6,D5;H2,H6,C5,D6"
1571994882,2,1,2,"CK,C6,CA,C2;D10,DA,D8,DK;D3,DQ,D4,DJ;D2,D6,HQ,D9;CQ,SQ,C5,C4;SA,S9,HJ,S6;S7,H7,SK,S3;SJ,S4,H5,S10;S2,H4,HA,S5;H8,D7,HK,S8;H2,D5,CJ,H3;H6,C8,C10,H9;C3,C7,C9,H10"
1571994882,2,14,2,"C7,CK,CQ,C2;DA,DK,DQ,DJ;D7,D10,D3,D5;SQ,D2,H9,D9;SK,S8,SJ,S3;S2,S10,SA,S6;HA,H10,S9,S7;HQ,HK,H8,S4;H3,HJ,H7,S5;C6,C5,CJ,C8;CA,D8,C4,C9;D6,H4,H5,H2;H6,D4,C3,C10"
1571994882,2,1,2,"CA,CK,CJ,C2;DQ,SQ,DK,DA;D7,HJ,DJ,D8;D6,D3,H10,D10;SA,SK,S8,S5;C9,C8,H8,C10;C7,C4,H6,CQ;D2,H9,D9,D4;HA,S4,S7,S6;D5,HK,C6,C3;H4,SJ,HQ,S2;H7,S3,H3,S9;H5,C5,H2,S10"
1571994882,2,18,2,"CQ,CA,C7,C2;D5,DQ,DK,DA;D3,D10,DJ,D8;D2,SQ,SA,D9;S10,SK,SJ,S2;S8,HK,S9,S3;S7,S5,H3,S6;HA,D7,HQ,S4;H5,D6,H2,H4;CJ,C9,H10,C4;C8,H9,CK,C3;C6,HJ,H7,C5;H8,H6,C10,D4"
1571994882,2,21,2,"CA,CK,CJ,C2;DK,DA,DJ,DQ;D9,D5,D10,D8;D7,SA,D4,D6;SK,S5,S10,S7;S2,S6,SJ,S3;H6,H4,HJ,H2;HK,S9,SQ,S4;CQ,HQ,C7,C5;H10,C4,C8,C6;D2,H9,HA,D3;C10,H3,C3,H5;C9,H7,S8,H8"
1571994882,2,0,2,"C10,CK,CA,C2;D9,D10,DA,DQ;DJ,D8,D7,DK;D5,D4,D3,D6;SA,S10,S6,S3;S5,HA,SK,S7;SJ,S2,HK,S4;H9,HQ,S8,S9;H6,HJ,H10,SQ;CQ,C8,C9,C3;C6,C4,CJ,C5;H2,H5,H8,C7;D2,H3,H4,H7"
1571994882,2,12,2,"DK,CK,CA,C2;DA,D9,D5,DJ;D8,D2,D7,DQ;SQ,H9,D6,D10;SA,S10,S8,S2;S9,S5,S7,S3;HA,H6,SK,S4;H7,HK,H5,S6;CQ,H8,D3,SJ;CJ,H2,C10,H3;C9,H4,C6,H10;C8,D4,C5,HJ;C7,C4,C3,HQ"
