1571995169,2,14,0,"CK,C7,CA,C2;DQ,D10,DA,DJ;D3,D9,D7,DK;CQ,CJ,C8,C6;SJ,S10,SA,S5;S9,S3,S4,SQ;S8,H9,S2,SK;HJ,H5,H2,H3;D8,H8,HK,S6;D5,H6,HQ,S7;C10,C4,H10,C5;D6,H7,C9,C3;D4,D2,H4,HA"
1571995169,2,1,0,"CA,CQ,C10,C2;DK,D10,DA,DJ;D3,DQ,D5,D9;SA,D8,HA,D7;S10,SJ,S9,S2;S7,SK,S8,S4;HJ,SQ,S6,S3;C3,C8,CK,C5;CJ,HK,C6,C4;H9,D4,H7,D6;H4,H2,H5,H6;H3,H8,C9,H10;S5,D2,C7,HQ"
1571995169,2,1,0,"CA,CQ,CJ,C2;D7,D10,DK,DA;SQ,D9,DQ,D6;D5,SA,D8,DJ;S2,S9,SK,S4;S10,HK,S8,S5;CK,HA,C6,C7;HQ,C4,C8,C3;D2,HJ,D4,D3;H10,H4,S7,SJ;H3,C10,H9,H5;H8,H7,C9,S3;H6,H2,C5,S6"
1571995169,2,12,0,"CQ,CK,CA,C2;D9,D6,DA,DK;D10,D8,D5,DQ;D7,HQ,D3,DJ;SK,S5,S4,S2;S3,SQ,SA,S7;SJ,HJ,HA,S6;H9,HK,H5,S8;H8,H10,H3,S9;H7,H4,D4,S10;C5,C9,C8,C10;C3,C7,C6,CJ;H6,H2,C4,D2"
1571995169,2,2,0,"CK,CA,C8,C2;DK,DQ,D10,DA;DJ,D3,D7,D9;SQ,D6,D4,D8;SK,S4,SA,S3;SJ,S10,S2,S7;S5,HA,S9,S6;HK,CQ,C9,C5;C6,C10,H5,C3;H4,CJ,C4,C7;H2,H7,H3,H6;D5,H9,H10,H8;HQ,S8,HJ,D2"
1571995169,2,3,0,"C10,CJ,CK,C2;D7,D9,DK,DA;SQ,D8,DQ,DJ;D5,HK,D6,D10;S4,S10,SA,S5;HA,S3,S8,S7;SK,HQ,S2,S6;HJ,H9,H8,S9;H10,H3,H7,SJ;C9,CQ,CA,C5;C8,C6,H2,C3;H6,D4,C7,D2;C4,H4,H5,D3"
1571995169,2,2,0,"CA,CQ,CK,C2;DJ,DQ,HA,DA;D10,D9,HJ,DK;D2,D7,H9,D8;SK,SA,S9,S3;S8,SJ,S5,S7;C4,C10,CJ,C5;H6,SQ,S10,S2;C6,C8,C9,C3;HQ,HK,H7,C7;H10,D6,H5,D3;S6,D5,H8,D4;H4,H2,S4,H3"
1571995169,2,0,0,"CQ,CA,CK,C2;D10,D8,DA,DQ;D9,SK,D7,DK;D4,HA,D6,DJ;SA,S3,S10,S2;HK,S6,SJ,S5;SQ,C10,CJ,C5;H10,S9,HQ,S4;HJ,H3,H9,S7;H8,C8,H7,S8;H4,C7,D5,D3;H6,C9,C6,D2;H2,C4,C3,H5"
1571995169,2,2,0,"C7,CK,C10,C2;DJ,DK,DA,DQ;D9,D4,D10,D6;D5,SK,D3,D8;S9,SJ,SA,S5;HQ,S2,S8,S3;S10,H7,SQ,S4;CJ,C5,CA,C4;C6,C9,H8,C3;S7,H5,HA,S6;D7,HJ,H6,H2;H10,H4,CQ,D2;H9,H3,C8,HK"
1571995169,2,0,0,"CQ,C8,CA,C2;DK,D10,D7,DA;D3,D9,D5,DQ;SQ,D8,D4,DJ;SJ,SK,SA,S4;S6,S10,S9,S2;S5,S7,HJ,S8;C7,C6,CK,C4;CJ,HQ,C5,C10;H10,C3,H9,C9;H2,H4,H7,H3;HA,H6,HK,D2;H5,S3,H8,D6"
1571995169,2,0,0,"C9,CK,C7,C2;DQ,DA,DK,D6;DJ,D5,D10,D9;SQ,D3,D4,D8;S10,SA,SK,S7;SJ,H10,S8,S2;H3,HK,S9,S5;HA,H2,H9,S3;H7,D7,H8,S4;CA,D2,H5,S6;CQ,C6,H4,H6;CJ,C5,C10,HJ;C8,C4,C3,HQ"
