1570458972,3,0,1,"C8,C5,C6,C2;S3,S5,S6,S2;SJ,S4,S7,S9;S10,S8,SA,SQ;C10,CK,C7,C3;D8,D7,D2,D5;C4,HK,HA,C9;CQ,H3,H10,CJ;DK,H6,HQ,CA;D6,H2,H5,H4;HJ,D3,D9,D10;H9,D4,DJ,DA;H8,SK,DQ,H7"
1570458972,3,13,1,"C9,CA,C4,C2;S4,S3,S2,S5;S6,SQ,S10,S7;C10,HJ,C5,C3;S8,SK,HK,SA;H9,C6,C7,CJ;D2,D9,D3,D6;C8,HA,H4,CQ;DQ,HQ,H3,CK;D4,DK,D5,DJ;DA,H5,D10,H2;D8,H6,SJ,H8;D7,H7,S9,H10"
1570458972,3,5,1,"C4,C3,C7,C2;S4,S2,S3,S6;S8,S5,S7,S9;SK,SJ,S10,SQ;C9,C6,CA,C5;D2,D5,D6,D4;HQ,H9,HA,SA;H8,C10,HK,C8;H10,CK,H6,CJ;D10,D3,D7,D9;D8,DK,HJ,DJ;H3,DQ,H5,DA;H2,H4,CQ,H7"
1570458972,3,0,1,"C4,C9,C3,C2;S5,S6,S8,S2;S3,S7,S9,SJ;S4,SQ,HK,SA;CK,C8,C5,C7;HA,HJ,HQ,S10;H10,H2,H9,SK;D2,D3,D5,D6;D8,D4,DJ,D7;H8,H5,C6,C10;H7,H4,CJ,CQ;DK,H3,DQ,CA;D9,DA,D10,H6"
1570458972,3,0,1,"C10,C3,C5,C2;S4,S10,S5,S2;CQ,CK,C4,C6;S6,HK,S7,S3;SQ,SA,H7,S8;C8,HA,HQ,C7;H10,HJ,CA,C9;D4,D8,D2,D6;H8,H6,H3,S9;H2,H5,DK,SJ;DA,DJ,DQ,SK;D10,D9,D5,H4;D3,D7,CJ,H9"
1570458972,3,3,1,"C4,C3,C5,C2;S2,S3,S6,S4;SA,S5,S10,S8;CQ,C8,C10,C6;SJ,HK,H8,S7;H9,H6,S9,SK;H5,C7,HQ,C9;H3,CJ,HJ,CK;D2,D5,D4,D3;H10,HA,H2,CA;DJ,D9,D6,D7;H4,DK,DQ,SQ;DA,D8,D10,H7"
1570458972,3,14,1,"C6,C4,C3,C2;S4,S5,S3,S2;SJ,S10,S6,S8;SA,S7,S9,SQ;C8,CQ,C5,C7;C9,C10,HK,CA;D7,D2,D3,D4;H6,HQ,HJ,CJ;H3,H9,H10,CK;D5,D8,D6,DK;H2,H7,H4,H5;DQ,HA,DA,SK;D10,H8,DJ,D9"
1570458972,3,2,1,"CK,C4,C3,C2;S3,S8,S2,S7;CQ,CA,C5,C7;DA,D2,D7,D3;H9,S5,HK,S4;HQ,S10,H4,S6;DK,S9,HJ,SJ;C8,H8,H6,C6;H7,D10,C10,C9;DQ,H2,D9,H3;DJ,SA,D8,H5;D5,SK,D6,H10;CJ,SQ,D4,HA"
1570458972,3,0,1,"CA,C3,C4,C2;SQ,S3,S8,S2;S6,S10,S4,SK;S7,H9,S5,SA;C5,CQ,HA,C6;H8,C7,C10,CK;D3,DQ,D4,D2;HK,H6,H7,C8;HJ,H4,H3,C9;H5,DK,DA,CJ;D10,D8,DJ,H2;D5,D7,D9,H10;SJ,D6,S9,HQ"
1570458972,3,3,1,"C6,CK,C10,C2;S2,S4,S3,S6;S7,S8,S5,SQ;S9,S10,SJ,SK;CQ,C3,C8,CA;D7,D2,D4,D3;D6,D9,D5,D8;HK,HJ,C4,C9;H6,H9,C5,CJ;D10,DK,HQ,DJ;H10,HA,DQ,DA;C7,H5,H3,H2;H4,H7,SA,H8"
1570458972,3,5,1,"C5,C7,C4,C2;S7,S6,S2,S4;S8,S3,S5,S10;HK,SJ,S9,SQ;H10,HJ,SK,SA;C3,C8,C9,CA;DJ,D2,D5,D4;H9,CJ,HA,C6;HQ,C10,DA,CQ;D10,H7,D3,D7;H6,D6,D8,DK;H5,DQ,H4,H2;D9,H8,H3,CK"
1570458972,3,11,1,"C9,C6,C3,C2;S5,S4,S8,S2;S3,SJ,S10,S9;HA,SQ,S6,SK;C5,C4,C10,CJ;CA,C7,HJ,CQ;D8,D3,D4,D2;H10,H9,HQ,C8;DK,H8,H6,CK;D9,D7,D5,DJ;D10,DQ,D6,DA;SA,H3,H2,H7;S7,H5,H4,HK"
