1571925881,3,16,1,"CA,CK,C6,C2;S3,S5,SQ,S2;C7,C5,SA,C3;S8,S6,HA,S4;S9,HQ,S7,S10;HJ,H5,HK,SJ;H10,D4,H9,SK;H6,C4,H2,C8;H4,C10,DA,C9;DK,H8,DQ,CJ;D10,H7,DJ,CQ;D7,D5,D6,D2;H3,D9,D3,D8"
1571925881,3,0,1,"C7,CK,C8,C2;S3,S2,S4,S5;S9,S8,SQ,S10;SA,SJ,S7,SK;C5,C3,C6,C4;D8,D2,D4,D3;HJ,C9,HK,C10;H7,CA,H9,CJ;D9,HA,D6,D7;H10,D10,DQ,DJ;H8,H5,H3,H2;H6,D5,HQ,DK;CQ,S6,H4,DA"
1571925881,3,0,1,"CA,CK,CJ,C2;S3,S7,S2,S4;S8,S6,SQ,S9;SK,S10,SJ,SA;C5,C4,C6,C7;C9,C10,HK,CQ;D5,D9,D8,D2;HQ,H10,C8,C3;DJ,DA,D7,DQ;H8,HA,H5,S5;D6,H4,H3,H2;DK,H6,D4,H7;D10,H9,D3,HJ"
1571925881,3,5,1,"CQ,CA,C10,C2;S3,S10,S4,S5;C9,C5,C8,C3;S7,S2,HK,S6;SQ,HJ,S9,SA;SK,C4,H7,C6;HA,CJ,H5,C7;D4,DK,D6,D2;HQ,H6,H2,CK;H4,DJ,DA,H3;D8,DQ,H10,S8;D5,D10,H9,SJ;D3,D7,H8,D9"
1571925881,3,6,1,"CA,CJ,DJ,C2;S7,S9,S8,S10;C3,SQ,C8,C4;HK,S5,S3,S2;SJ,SK,H10,SA;HA,C9,C6,C5;H6,H5,S6,S4;DQ,D9,D4,D2;CQ,C10,H9,CK;H3,H4,H8,H2;HQ,DK,D7,D3;D10,D6,HJ,C7;D8,D5,H7,DA"
1571925881,3,13,1,"CQ,D10,C5,C2;S8,S6,S4,S9;S7,SQ,S10,SJ;D6,D5,D7,D2;HJ,S3,SK,S2;S5,H9,HQ,SA;HA,H6,C7,C8;HK,H5,C6,C9;H10,DA,C4,C10;H8,DK,C3,CJ;D9,DJ,H3,DQ;H2,D4,CA,H4;D8,D3,CK,H7"
1571925881,3,11,1,"CK,DK,CA,C2;SQ,S2,S5,S3;S8,SK,HK,SA;CJ,HA,C3,C4;S6,HJ,H8,S4;H7,H6,HQ,S7;DA,D9,H10,S9;D5,D8,H9,S10;D4,D3,H5,SJ;CQ,D2,D6,D7;C8,C10,DQ,D10;H3,C6,C9,H2;C5,C7,H4,DJ"
1571925881,3,19,1,"CA,CK,C10,C2;S4,S3,S6,S5;S7,S2,HA,S8;SQ,S9,H9,S10;SJ,H7,HK,SK;H10,H6,HQ,SA;C6,C8,C5,C9;C3,C7,CJ,CQ;D8,D5,D2,D3;DJ,DQ,DK,DA;H3,HJ,H5,H2;D6,H8,D10,D4;D9,D7,H4,C4"
1571925881,3,2,1,"C10,CK,CA,C2;S3,S7,S4,S5;S2,S9,S10,SJ;HQ,S6,S8,SQ;C4,C5,C6,C7;D3,SA,D2,D4;D7,SK,D5,D6;C8,CQ,H8,C3;DQ,D8,HA,DK;H6,H5,H2,H3;DA,HJ,HK,D9;CJ,H9,DJ,C9;H4,D10,H7,H10"
1571925881,3,0,1,"C8,CK,CA,C2;S2,S3,S8,S4;SQ,SJ,S9,SK;HK,S10,S6,SA;CJ,C7,C4,C3;D2,D8,D5,D3;C5,HQ,HA,C6;D9,D7,D4,D10;DA,DQ,HJ,DK;H9,H10,H7,C9;H8,H2,H5,C10;DJ,S7,H4,CQ;D6,S5,H3,H6"
1571925881,3,6,1,"CQ,CA,CK,C2;SQ,S3,S5,S2;S9,SK,SJ,SA;C9,C7,C4,C3;S10,S4,HQ,S6;D8,D2,D4,D3;H9,H10,HA,S7;H7,H6,HK,S8;C8,CJ,HJ,C5;D5,H8,D6,D7;DJ,H4,DQ,D9;D10,DA,C10,DK;C6,H5,H2,H3"
