1571989795,3,21,3,"CQ,CJ,CK,C2;D9,DK,DA,DQ;D6,D8,DJ,D10;SA,D4,D7,D3;SQ,HA,D2,D5;S7,S10,SK,SJ;HJ,S6,S9,S8;HK,H10,S3,S4;H8,H9,S2,S5;C6,CA,C10,C3;C4,C9,C5,C7;H3,H7,H6,H2;HQ,H4,H5,C8"
1571989795,3,0,3,"CA,C9,C10,C2;D2,D10,DA,DQ;D5,HA,D9,DK;D3,HK,D8,DJ;SQ,H7,D7,D6;SK,SA,S9,S8;S5,HJ,SJ,S6;S7,S4,H10,S10;CK,C4,C8,C6;H6,C5,CQ,C7;HQ,H3,C3,CJ;H2,S3,H9,H4;H5,H8,S2,D4"
1571989795,3,16,3,"C10,CK,C7,C2;DQ,DA,D10,DK;D7,D9,DJ,D4;HJ,D6,D8,D3;D2,H9,SQ,D5;C6,CA,C9,C3;SA,HA,S10,S4;HK,S9,S8,S2;H7,SK,H6,S3;H3,S7,H5,S5;H4,SJ,H2,S6;CQ,HQ,C8,H8;C4,H10,CJ,C5"
1571989795,3,5,3,"C10,CQ,CA,C2;DK,D8,D4,DA;DQ,D2,HJ,D9;HA,H8,D7,DJ;HK,H5,D6,D10;S8,SJ,SK,S2;SA,S4,S9,S5;H3,S7,SQ,S10;CK,C8,C9,CJ;C7,H4,H9,C3;H2,H7,HQ,C4;S6,H6,H10,C5;S3,D3,D5,C6"
1571989795,3,20,3,"CQ,CA,CK,C2;DA,D8,DQ,DJ;D5,D6,D10,DK;D2,SQ,D9,D7;D3,SK,SA,D4;HK,S10,SJ,S2;S3,H8,S7,S5;S9,HA,H5,S4;HQ,CJ,S6,S8;H7,C10,H2,H3;C9,C7,HJ,C3;C5,H9,C6,C4;C8,H4,H6,H10"
1571989795,3,0,3,"CK,C6,CA,C2;D10,DA,DQ,DK;D2,DJ,D8,D4;D6,D3,SK,D9;H8,SQ,H10,D7;CJ,C7,H9,C3;SA,SJ,HK,S5;S4,HJ,S10,S6;S9,S3,H5,S7;S2,D5,H3,S8;H6,CQ,C10,H7;H4,C8,C9,HQ;H2,C5,C4,HA"
1571989795,3,3,3,"CA,C8,CK,C2;DJ,DA,D9,DK;D6,DQ,D8,D10;D5,D3,D2,D7;C5,C6,CQ,C9;S2,SK,SA,S5;SQ,HA,S6,S4;C7,C4,H7,C3;H5,SJ,H3,H4;S10,H8,HJ,S3;H2,H10,HK,S7;CJ,H9,HQ,S8;C10,H6,D4,S9"
1571989795,3,0,3,"CA,CQ,CJ,C2;D9,DJ,DA,DK;DQ,SA,D6,D7;SK,D4,D3,D10;HQ,D2,SQ,D8;S10,S7,SJ,S2;C5,C9,C4,C8;S6,HA,S3,S8;S5,H10,HJ,S9;HK,CK,C3,C6;H8,C7,H7,C10;H3,H4,H2,H5;D5,H9,S4,H6"
1571989795,3,0,3,"C8,CJ,CA,C2;D9,D4,DA,DQ;DJ,D8,D3,DK;D10,D7,H9,D6;H10,C7,C10,CK;S9,SJ,SK,S3;SA,H7,S7,S4;H6,S6,S10,S5;CQ,H5,C4,C5;H4,S2,HA,S8;H2,H8,HK,SQ;D5,C3,C9,C6;HQ,D2,H3,HJ"
1571989795,3,21,3,"CA,C10,CQ,C2;D9,DQ,DA,DK;D8,D4,DJ,D10;D6,SA,D3,D7;D2,H10,SQ,D5;S7,SJ,SK,S6;S10,S3,S5,S4;S2,H8,S9,S8;C9,CK,C7,C3;C4,C8,C6,CJ;H5,H7,H3,H6;HK,H9,H4,HJ;HA,H2,HQ,C5"
1571989795,3,2,3,"CQ,D10,CA,C2;DA,D8,D9,DK;D5,D7,DQ,DJ;HK,SQ,D4,D6;H6,SA,D3,D2;S10,SJ,SK,S3;S8,HA,S9,S2;C10,HJ,CJ,C3;CK,C9,H10,C4;C8,H7,C7,C5;S7,HQ,H4,S4;H9,H2,H8,S5;H3,C6,H5,S6"
1571989795,3,18,3,"CQ,CA,C10,C2;DA,DQ,SK,D7;DJ,HJ,D6,DK;D9,H9,D4,D10;HA,H8,D3,D8;SJ,S9,SA,S2;S7,S10,S4,S3;H6,S6,HQ,S5;H7,S8,H5,SQ;C8,CJ,C9,C6;C7,CK,H4,C3;D5,H10,H3,H2;C4,HK,D2,C5"
