1571989798,3,0,2,"C7,CQ,CK,C2;DJ,DQ,D10,DA;D5,D8,D9,DK;SA,D6,D7,D4;D3,HK,SK,D2;S10,S8,S6,S5;C6,HA,C10,C4;H10,S7,S3,S9;H7,S4,HQ,SJ;H2,S2,H9,SQ;CA,C5,H5,C9;C3,H4,H8,C8;HJ,H3,H6,CJ"
1571989798,3,8,2,"C6,CA,C10,C2;DK,DQ,D10,DA;D7,D8,D4,DJ;D6,D5,HA,D9;SA,S7,S9,SJ;S6,S3,S10,SK;CK,C4,SQ,C7;H10,S8,HQ,S4;HJ,H8,H9,S2;H6,D2,H7,S5;D3,CQ,H3,H2;HK,C9,CJ,C3;H5,H4,C8,C5"
1571989798,3,0,2,"CA,CQ,C10,C2;DA,DK,D4,D8;DQ,HA,D7,DJ;HJ,D5,SQ,D10;H10,SA,HK,D9;S7,SK,SJ,S5;S10,S6,S4,S8;HQ,S2,H6,S3;H9,H5,H3,S9;C4,CJ,CK,C7;C8,D6,C5,C6;D3,H4,H2,H7;D2,C3,C9,H8"
1571989798,3,0,2,"CA,CQ,CK,C2;DQ,DJ,DA,DK;D10,D7,D9,D3;D2,SA,SQ,D8;SK,HK,HQ,D6;SJ,S4,S10,S7;S3,S9,S8,S6;H8,HA,HJ,S2;H7,H10,H6,S5;C9,CJ,C6,C3;C5,C8,H5,C7;D5,C10,H4,C4;H3,H9,D4,H2"
1571989798,3,1,2,"CA,CQ,C10,C2;D4,DA,DQ,DK;D9,DJ,SA,D10;H8,D8,D5,D2;SK,HA,H7,D7;S10,SJ,S7,S3;S5,SQ,S9,S4;CK,HK,CJ,C3;HJ,C8,C4,C6;H9,HQ,S8,S2;H4,H2,H6,S6;H3,D6,C9,H5;C5,D3,C7,H10"
1571989798,3,15,2,"CK,CA,CJ,C2;DA,DJ,D8,DK;D5,SA,DQ,D7;D2,D4,HA,D10;SK,D3,H10,D9;HK,S9,SJ,S8;S10,HQ,S5,S3;C5,C6,CQ,C7;H9,HJ,S2,S4;H6,H7,SQ,S6;C10,C9,C4,C3;D6,H4,H8,S7;C8,H3,H2,H5"
1571989798,3,0,2,"CA,C9,CJ,C2;DA,D9,DJ,DQ;D8,D7,D10,DK;D5,SK,D6,D3;HQ,C3,CK,C10;SJ,S10,SA,S7;H8,SQ,S5,S3;HJ,HK,CQ,C5;C8,H9,H10,C4;H2,D4,H4,H3;HA,D2,S9,C6;H6,S4,S8,C7;H5,S2,S6,H7"
1571989798,3,7,2,"C9,CQ,CA,C2;DA,D9,DQ,DJ;D8,D3,D7,DK;D6,D2,D4,D10;SA,SK,HQ,D5;SJ,S10,S7,S3;S8,S5,SQ,S9;C4,C10,CJ,C5;H10,HA,S6,S2;C7,CK,C3,C8;HK,HJ,H7,C6;H6,H3,H4,H2;H5,S4,H8,H9"
1571989798,3,0,2,"CQ,CA,CK,C2;DQ,DA,D7,DK;D2,D10,DJ,D9;SQ,H5,D5,D8;HJ,C10,D3,D6;H10,S10,SK,S3;SA,H9,S9,S4;H8,S7,SJ,S5;HK,H7,S6,S8;CJ,C7,C8,C9;H4,C6,HA,D4;C4,C5,H6,H2;H3,C3,S2,HQ"
1571989798,3,26,2,"CQ,C10,CA,C2;DA,D10,DQ,DK;D6,D9,DJ,D5;D4,D2,HJ,D8;SQ,SA,H4,D7;S6,SK,SJ,S5;S8,S9,H10,S2;CK,C4,C8,C9;HQ,C7,CJ,C5;H9,H8,H2,D3;H6,S10,C6,H7;H5,S4,C3,HK;H3,S3,S7,HA"
1571989798,3,0,2,"CK,DA,CJ,C2;DQ,D7,D8,DK;D10,D3,D5,DJ;D6,SA,D2,D9;HA,C4,CA,CQ;S9,S7,SK,S6;H10,S5,S2,S4;HQ,SJ,C10,S3;C9,SQ,H9,S8;H7,H8,C8,C3;HK,H6,H5,C5;HJ,H3,H4,C6;H2,D4,S10,C7"
