1571990119,3,12,1,"C7,CK,C6,C2;DK,DA,D10,DQ;D9,D8,D5,DJ;D7,D6,D3,D4;CQ,SQ,CA,C4;SA,S7,S8,S3;S5,S6,H10,S4;H9,SK,HK,S2;HJ,HA,H4,S9;H8,H7,D2,S10;C10,H6,CJ,SJ;C8,H2,C9,H3;C3,H5,C5,HQ"
1571990119,3,1,1,"C9,CK,CA,C2;DK,DA,D6,D8;D3,D5,D10,DQ;HJ,D4,D7,DJ;H9,D2,SQ,D9;S10,S8,S9,S5;S3,S7,SA,S2;S6,HA,S4,SJ;H5,H4,HQ,SK;CQ,C10,CJ,C5;C7,C3,HK,C6;H8,H10,C8,C4;H3,H6,H7,H2"
1571990119,3,1,1,"CA,CK,C10,C2;DA,DJ,D2,DK;D10,SK,DQ,D9;D7,D5,HA,D8;D6,D4,H8,D3;SA,S10,S9,S4;S5,S8,SJ,S3;HJ,S2,S7,S6;HK,H10,H6,SQ;CQ,C7,CJ,C3;C6,C8,C4,C9;H2,H5,H9,H3;H4,H7,C5,HQ"
1571990119,3,0,1,"CQ,C9,CJ,C2;D5,D9,DA,DK;DJ,D3,HA,DQ;D7,SQ,HK,D10;D6,H7,HJ,D8;C10,C7,C3,C4;SJ,S9,HQ,S2;S6,H9,SA,S3;S10,S4,H6,S7;H10,D4,SK,S5;C6,H8,CA,C5;H5,H2,H4,C8;D2,S8,H3,CK"
1571990119,3,0,1,"CA,CJ,CK,C2;DA,DJ,DQ,DK;D7,D10,D5,D9;D4,D6,HA,D8;D2,SQ,H8,D3;SK,S6,S9,S8;S5,S7,SA,S3;C3,C9,CQ,C7;H10,SJ,HK,S2;H4,H6,H9,S4;H2,H5,H7,S10;C8,C6,H3,HJ;C4,C5,C10,HQ"
1571990119,3,12,1,"CJ,CK,CA,C2;DQ,DJ,DK,DA;D7,D10,D3,D9;HK,D8,SQ,D6;C9,C8,C10,CQ;S7,SK,SJ,S10;S9,SA,S5,S3;HQ,C6,H10,C3;S6,HA,HJ,S8;H4,H9,H8,D2;H3,C7,H7,D4;S4,C5,H5,D5;S2,C4,H2,H6"
1571990119,3,2,1,"CA,CK,CQ,C2;DQ,DA,D9,D10;D7,D5,D4,DK;D6,D3,D2,DJ;HK,SA,HA,D8;S2,SK,SJ,S6;S4,S10,HQ,S3;H3,S9,HJ,S7;H9,SQ,CJ,S5;C10,C7,C9,C8;H7,C5,H10,C3;H6,C6,H5,H2;C4,S8,H4,H8"
1571990119,3,15,1,"CA,C10,C9,C2;D8,DA,D10,DJ;SQ,D6,D5,DK;SK,D4,D3,DQ;HJ,HQ,SA,D9;S6,S10,SJ,S2;HK,S3,S7,S4;S9,H10,H6,S5;D7,H4,H8,S8;C8,CK,CQ,C7;C6,HA,C5,C4;H7,D2,H3,H2;C3,CJ,H5,H9"
1571990119,3,2,1,"CK,CA,CQ,C2;DK,DQ,DA,D10;D9,D3,DJ,D6;D5,D8,D2,D7;SA,HA,H10,D4;SJ,S4,S7,S5;HJ,S2,SK,S3;S10,H9,H7,S6;H8,H2,SQ,S8;C10,CJ,C9,C4;C8,HK,H6,C5;HQ,H4,C7,C3;C6,H5,S9,H3"
1571990119,3,7,1,"CK,C5,CQ,C2;DA,D8,D10,D9;D3,D6,D7,DK;SQ,D2,SA,DQ;SK,HK,HQ,DJ;S5,S9,SJ,S2;S10,S3,H6,S4;HA,H4,S8,S7;H9,HJ,H3,S6;H5,C3,CA,C4;C10,H2,H10,C8;D5,H8,CJ,C6;C7,D4,H7,C9"
1571990119,3,2,1,"C8,CA,CK,C2;D10,DA,D6,DK;D5,D2,D8,DQ;D3,SQ,D7,DJ;HA,HQ,SK,D9;S10,SJ,S8,S9;S7,SA,S6,S5;C4,CJ,CQ,C3;HK,H9,C9,C5;C10,H10,H5,C6;H2,S4,H3,H4;H6,S3,H7,H8;D4,S2,C7,HJ"
