1571995168,3,2,1,"C8,CA,C9,C2;DK,DQ,DA,D4;D2,DJ,D8,D10;D7,D3,SA,D9;SK,SJ,S6,S4;S9,S2,S10,S8;SQ,S5,HK,S7;C4,CQ,C6,C5;C3,CK,HA,C10;HQ,CJ,H9,C7;H4,H6,H2,H3;H10,H7,D6,H8;H5,D5,HJ,S3"
1571995168,3,15,1,"C4,CA,CK,C2;D9,DQ,DA,DK;DJ,D8,D7,D10;SQ,D4,D6,D5;SA,SJ,SK,S4;S6,S9,S10,S2;S8,HK,HJ,S5;H10,H7,S7,S3;D3,H9,H4,D2;C9,CQ,HA,C3;HQ,CJ,C8,C7;C5,C10,H6,C6;H2,H8,H5,H3"
1571995168,3,2,1,"C10,C4,CA,C2;DA,DK,DQ,D10;DJ,D8,D7,D9;D4,HA,D6,D5;S6,SK,S3,S7;S2,SA,S5,S4;SQ,SJ,H9,S9;C3,CK,CJ,C6;C9,C8,HJ,C5;HQ,S8,H5,S10;H10,D3,H3,D2;CQ,H7,H2,H4;H6,H8,C7,HK"
1571995168,3,22,1,"C8,CA,C9,C2;DK,DA,DQ,D9;C3,CK,C5,CQ;DJ,SK,D10,D8;S8,SA,SJ,S4;S7,S10,S5,S2;S3,S6,HK,S9;HA,HJ,H5,SQ;HQ,D6,D3,D5;H2,D7,H4,D2;H3,H6,CJ,H7;C7,H9,C10,H8;C4,H10,C6,D4"
1571995168,3,2,1,"CA,C10,CQ,C2;DA,DJ,D5,D10;D6,D2,D8,DK;D4,SA,D7,DQ;S10,HJ,SK,S2;SJ,S8,H10,S9;S7,H9,HK,S3;H7,H5,S6,S4;HQ,H2,H4,S5;H8,CK,D3,SQ;H6,CJ,C9,D9;C8,C6,C7,H3;C3,C4,C5,HA"
1571995168,3,0,1,"CQ,C10,CK,C2;DJ,DK,D6,DA;D5,D10,D2,DQ;HA,D9,SA,D8;S10,SK,SJ,S5;CA,C9,C6,C3;S9,S7,H10,S3;S6,H9,H8,S8;S4,H7,H6,SQ;C5,C8,CJ,C4;HQ,HK,H4,C7;D7,HJ,H3,H2;D3,H5,D4,S2"
1571995168,3,0,1,"CA,CK,C9,C2;DJ,DA,D6,DK;D5,DQ,D7,D10;SQ,D9,D3,D4;SA,SJ,SK,S5;S9,S8,HA,S4;S2,HK,S10,S3;H10,HQ,H9,S6;H7,HJ,H6,S7;CQ,CJ,C8,C10;C5,C7,H4,C3;D2,H5,H8,D8;H3,C6,C4,H2"
1571995168,3,2,1,"C7,CK,CA,C2;DA,DK,DJ,DQ;D10,D9,D7,D2;C9,CQ,C10,C6;SJ,S5,SA,S3;SK,S4,S2,S8;SQ,HA,S10,S6;C5,C4,CJ,C3;HQ,HK,HJ,S7;H10,H7,H5,S9;H9,H4,D8,D3;D6,H6,H3,D4;C8,H2,D5,H8"
1571995168,3,0,1,"CQ,C8,CJ,C2;D9,DK,DA,DQ;D10,D8,DJ,D6;D5,D3,D7,D2;SJ,S10,SA,S4;S8,S7,S5,S2;HQ,SQ,SK,S6;HA,HJ,H10,S3;HK,H6,H7,S9;C5,C6,CA,C9;H8,C4,C3,C7;H4,H9,H5,C10;H2,D4,H3,CK"
1571995168,3,0,1,"CJ,CK,CA,C2;D10,DK,D5,DA;D9,D7,SK,DQ;D8,D4,HA,DJ;SA,SJ,S8,S5;S9,S3,SQ,S7;C7,C6,C10,C3;HK,S10,S6,S2;H9,C9,CQ,C4;H10,H8,C5,C8;D2,D3,HQ,D6;H5,H7,H2,H3;H4,HJ,H6,S4"
1571995168,3,0,1,"C8,CA,CQ,C2;DQ,DK,DA,DJ;D9,D7,D10,D8;D5,SA,D6,D3;SJ,SK,S7,S3;S5,S10,S4,S8;HJ,SQ,S2,S6;C10,C9,CK,C4;C7,HA,C5,C3;H7,H6,H5,H2;HK,D2,H4,H8;CJ,H9,HQ,S9;C6,H3,H10,D4"
