1571995177,3,2,0,"CA,CK,DA,C2;DQ,D4,D10,DK;DJ,HA,D8,D9;HK,D5,D6,D7;SJ,S8,SA,S9;SK,S7,S3,S10;HJ,C10,C7,C3;HQ,H10,S6,S2;SQ,H9,CQ,S4;D3,CJ,H8,D2;C9,H3,H6,C4;H2,H5,C5,C6;S5,H4,H7,C8"
1571995177,3,0,0,"CA,CQ,C7,C2;DK,DA,DJ,D3;D6,D2,D9,DQ;D5,SA,D8,D10;SK,S9,S4,S3;S7,S2,SJ,S6;C8,CK,C6,C5;HA,HQ,S10,S5;H7,HJ,H5,S8;H6,H9,H4,SQ;CJ,C4,H2,C3;H8,D7,HK,C9;H3,D4,H10,C10"
1571995177,3,2,0,"CJ,CA,C7,C2;D8,DK,DQ,DA;D6,D10,D7,DJ;C6,C3,C10,CK;S6,SK,SJ,S3;H10,SA,HJ,S2;H6,S7,H9,S5;H7,S10,H4,S4;H2,HK,H5,S8;D5,HQ,D3,S9;D4,H8,C9,SQ;C5,H3,C8,CQ;D2,D9,C4,HA"
1571995177,3,18,0,"C9,CA,CJ,C2;DK,D9,DA,DQ;D10,D7,D8,DJ;D4,D3,D6,D5;SK,SJ,S10,S6;S5,S7,SA,S2;S4,S3,HK,S8;SQ,H9,HJ,S9;CK,C7,CQ,C8;C4,H8,HA,C5;C3,H7,HQ,C6;H5,H6,H10,C10;D2,H3,H4,H2"
1571995177,3,26,0,"C10,CJ,CA,C2;DQ,DK,DA,D10;D9,D6,D8,DJ;D7,D2,D4,D5;SA,SJ,S8,S6;S10,S7,SK,S2;C6,C9,C5,C4;SQ,CK,C3,C7;HA,H10,H7,C8;HJ,H8,D3,CQ;H5,H4,S5,H6;H9,H3,S4,HQ;S9,H2,S3,HK"
1571995177,3,8,0,"C6,C7,CQ,C2;DK,DA,DJ,DQ;D5,D7,SK,D10;HQ,D6,HJ,D9;SJ,SA,S7,S2;S5,HK,S9,S10;H2,H8,S8,SQ;CA,H7,C4,C10;H5,C3,HA,C5;H4,H6,H10,C8;D8,S6,H9,C9;D4,S4,H3,CJ;D3,S3,D2,CK"
1571995177,3,1,0,"CJ,CA,CK,C2;DK,DA,D10,DQ;D9,D2,DJ,D7;D6,D4,H10,D8;S9,S6,SJ,S10;SA,S8,SQ,S3;S7,HQ,S4,SK;C9,H9,CQ,C4;C10,C6,H7,C3;HA,H5,C7,C8;H3,D3,H8,D5;S5,H4,H6,HJ;S2,H2,C5,HK"
1571995177,3,6,0,"CQ,C10,CA,C2;D5,DA,D10,DK;D4,DJ,H8,DQ;SQ,D9,H7,D8;S10,SJ,SK,S2;SA,S8,S6,S9;S7,S5,HA,S4;HK,H10,HJ,S3;C5,C9,CK,C3;CJ,HQ,C6,C7;H4,C4,D7,C8;H2,H5,D3,H3;D2,H6,D6,H9"
1571995177,3,0,0,"CK,CA,CJ,C2;DQ,DA,DJ,D7;D9,D6,D10,DK;CQ,C6,C9,C10;SK,S10,S7,S8;S6,S5,SA,S3;S9,SQ,S4,SJ;C8,C4,C5,C7;H10,HK,H9,S2;H4,H5,H7,H8;H3,H2,H6,HJ;D8,D3,D5,HQ;C3,D2,D4,HA"
1571995177,3,15,0,"CA,CK,CQ,C2;DK,D7,DA,DQ;D10,D3,D6,DJ;H9,SQ,HA,D9;C6,CJ,C9,C8;SJ,HK,S9,S3;H10,S6,SA,S2;S10,H5,S5,SK;C7,H4,C5,C4;D8,H8,HQ,S4;D5,H6,HJ,S7;D4,H3,H7,S8;D2,C3,C10,H2"
1571995177,3,0,0,"CK,CQ,C10,C2;D9,D8,DK,DA;D6,D7,DQ,DJ;D10,D3,D4,D5;S5,SJ,SK,S9;SA,S4,S8,S6;S3,S2,S10,SQ;HK,C8,CA,C4;H7,HJ,HA,S7;CJ,H10,C7,C3;H9,C6,HQ,C5;H4,H5,H6,D2;H2,C9,H3,H8"
