1571995178,3,14,0,"DA,CK,CA,C2;DK,D10,D9,DQ;D6,D4,DJ,D8;C6,SQ,CQ,C9;SJ,S7,SA,SK;HJ,S10,S4,S2;HK,S8,H9,S3;D2,H5,D7,D3;HA,CJ,C8,C3;C7,HQ,H10,C4;H7,H8,H4,S5;H6,H3,C10,S6;H2,D5,C5,S9"
1571995178,3,3,0,"CA,C6,CQ,C2;DA,DQ,DK,D2;DJ,D9,HA,D8;D4,HQ,D6,D10;SJ,S10,SA,S2;SK,S3,S9,S5;SQ,S6,S8,S7;CK,C5,CJ,C3;HJ,HK,H8,S4;H9,C10,C8,C4;D3,H10,D5,D7;H3,C9,H4,H2;H6,H5,C7,H7"
1571995178,3,0,0,"CJ,CK,C9,C2;DA,DQ,DK,DJ;D6,SA,D5,D10;D3,HK,D4,D9;S8,S10,SK,S9;SQ,HA,S6,S2;CA,C6,C10,C7;C3,HJ,C8,C4;HQ,H10,H9,D2;H7,H6,H4,D7;H3,H5,SJ,D8;CQ,S5,S7,H2;C5,S4,S3,H8"
1571995178,3,0,0,"C10,CK,D9,C2;D8,D10,DA,DK;D7,SA,D6,DQ;D5,HQ,D4,DJ;SK,S9,SJ,S4;S5,S6,HK,S2;H6,S10,S3,SQ;C8,CQ,H10,C7;H9,HJ,D3,S7;H8,H4,D2,S8;H7,CA,C6,C4;C5,C9,H5,CJ;C3,HA,H2,H3"
1571995178,3,13,0,"CA,CK,CJ,C2;DK,DQ,DA,D10;SQ,D9,DJ,D7;D5,SK,D8,D6;S8,S9,SJ,S4;SA,S2,S5,S3;HA,HQ,S10,S6;C10,C4,HJ,C5;H9,H7,H10,S7;C3,H5,CQ,C6;C7,H6,H4,C8;HK,H3,H2,C9;D2,D3,D4,H8"
1571995178,3,7,0,"CQ,CK,CA,C2;DA,DQ,DK,D9;D8,DJ,D6,D10;CJ,C4,C10,C7;SA,S6,S8,S3;S2,S5,S10,S7;SJ,H9,S4,SQ;SK,C9,HA,C3;H7,C6,HQ,C8;H6,HK,D5,D2;H8,H5,HJ,S9;D7,H4,H2,D4;H3,C5,H10,D3"
1571995178,3,22,0,"CJ,CQ,CA,C2;DK,DA,DQ,D9;DJ,D5,D6,D10;D2,SQ,D4,D8;SK,S8,SJ,S9;S5,S7,SA,S4;CK,C8,C7,C3;S2,S3,HQ,S6;HA,HK,HJ,S10;C4,C6,C10,C9;H10,H7,H9,D3;H8,H6,H2,D7;H4,H3,C5,H5"
1571995178,3,5,0,"CK,CA,CJ,C2;D4,DQ,DK,DA;D2,DJ,D10,D8;D5,D6,SK,D9;S8,S5,S9,S7;C10,CQ,C8,C3;S3,HA,SA,S4;S6,S2,HK,S10;SQ,HQ,H8,SJ;C7,H7,C9,C4;D3,H9,H6,D7;H4,C6,H2,H3;C5,H5,H10,HJ"
1571995178,3,16,0,"C10,CK,CJ,C2;DQ,D4,DK,DA;D10,SA,DJ,D9;D7,D8,HA,D3;S7,SJ,SK,S3;S4,S6,SQ,S2;C6,C5,CA,C7;H9,S10,HQ,S5;HJ,HK,H7,S8;H10,H5,H6,S9;H8,CQ,C9,C3;H3,D2,D6,H2;C4,D5,H4,C8"
1571995178,3,6,0,"CA,CK,C8,C2;D8,DQ,SA,DA;D7,DJ,H9,DK;SK,D10,H8,D4;S10,S9,SJ,S6;S8,S3,S4,S5;CJ,C5,CQ,C3;H6,S2,SQ,S7;C10,C7,C9,C4;D9,H5,H7,H10;D6,H4,H2,HJ;D5,H3,HA,HQ;HK,D3,C6,D2"
1571995178,3,0,0,"C9,CQ,CA,C2;DK,D10,D4,DA;DQ,D9,HQ,DJ;D6,HJ,D5,D8;S10,S9,SJ,S8;SA,S7,S6,S3;HK,S5,S4,SK;C7,C8,CK,CJ;H10,H9,S2,SQ;H7,C6,C5,C10;H4,D2,H2,H3;C4,H8,HA,D3;C3,H6,H5,D7"
